GenBank accession number	Regulated	Name	Description	Signal intensity; G1/V1	Signal intensity; G2/V1
NM_002592	up-regulation	PCNA	Proliferating cell nuclear antigen	4.98	2.09
NM_000321	up-regulation	RB1	Retinoblastoma	2.29	2.53
NM_002916	up-regulation	RFC4	Replication factor C4	3.23	2.24
NM_003816	up-regulation	ADAM9	A disintegrin and metaloproteinase domain 9	2.55	2.68
NM_003908	up-regulation	EIF2S2	Eukaryotic translation initiation factor 2, subunit 2	2.56	2.4
NM_012341	up-regulation	CRFG	GTP binding protein	2.21	2.35
NM_145792	up-regulation	MGST1	Glutathion S-transferase, microsomal 1	2.1	2.22
X12533	up-regulation	RAP1A	Ras-related protein 1A	2.76	2.78
BC000908	up-regulation	SMN1	Survival of motor neuron 1	2.46	2.21
NM_005529	down-regulation	HSPG2	Heparan sulfate proteoglycan 2	0.15	0.45
X03100	down-regulation	HSHLASBA	Human mRNA for SB class II histocompatibility antigen alpha chain	0.5	0.46
NM_004148	down-regulation	NINJ1	Ninjurin 1	0.48	0.46
