Order	microRNA	P- value	Fold change	Chromosome	Cluster
1	hsa-mir-145	5.68E-04	24.38	5q33.1	143-145
2	hsa-mir-574	2.65E-02	12.82	4p14	NA
3	hsa-mir-200c	9.67E-03	11.12	12p13.31	141-200c
4	hsa-mir-199a-1	2.60E-02	8.58	19p13.2/1q24.3	199a-214
5	hsa-mir-143	3.84E-03	7.38	5q33.1	143-145
6	hsa-mir-214	3.43E-03	4.94	1q24.3	199a-214
7	hsa-mir-98	2.48E-03	4.91	Xp11.22	98-let-7f
8	hsa-mir-518a-1	5.08E-03	3.18	19q13.41	NA
9	hsa-mir-7-1	5.23E-03	2.46	9q21.32/15q26.1/19p13.3	NA
10	hsa-mir-152	2.66E-02	2.05	17q21.32	NA
