Loading Score	Genbank ID	Gene Product
30.07	Z19574	Cytokeratin 17
29.6	S72493	Keratin 19
26.94	J00124	Keratin 14
25.25	D49824	HLA-B
24.03	M55998	Alpha-1 type I collagen
18.95	V00594	Metallothionein 1L
17.35	M63438	Immunoglobulin kappa constant
17.15	M87789	Immunoglobulin heavy constant gamma 3
15.58	M34516	Omega protein
14.51	M86757	S100 calcium-binding protein A7 (psoriasin 1)
14.32	L10343	Protease inhibitor 3, skin-derived (SKALP)
12.93	J00105	Beta-2 microglobulin
12.26	X57809	Immunoglobulin lambda light chain
11.99	L42583	Keratin 6a
11.98	L00205	Keratin 6b
11.76	M34516	Omega protein
11.36	L42601	Keratin 6c
11.18	V01516	Keratin (type II)
10.73	X57351	1-8D gene from interferon-inducible gene family
10.44	X67325	p27
10.43	S71043	Immunoglobulin A heavy chain
10.19	HG658-HT658	MHC Class 1C
9.66	Z74616	Prepro-alpha2(I) collagen
9.62	X02761	Fibronectin precursor
9.6	D32129	HLA-A26
9.28	M94880	HLA-A
9.23	L42611	Keratin 6e
8.96	J03040	Osteonectin
8.29	S82297	Beta-2-microglobulin
8.21	M94856	Fatty acid binding protein 5 (psoriasis-associated)
8.12	M11147	Ferritin, light polypeptide
-8.21	Y07909	Progression associated protein
-8.46	X03342	Ribosomal protein L32
-8.79	M17885	Ribosomal protein, large, P0
-9	M25079	Hemoglobin, beta
-9.73	HG3214-HT3391	Metallopanstimulin 1
-9.86	M17886	Ribosomal protein, large, P1
-11.52	U65932	Extracellular matrix protein 1
-12.07	X77584	Thioredoxin
-12.6	X53296	Interleukin-1 receptor antagonist
-13.11	D88422	Cystatin A
-14.18	X05908	Annexin I
-14.2	M26311	S100 calcium-binding protein A9 (calgranulin B)
-16.51	L05187	Small proline-rich protein 1
-18.72	L10386	Transglutaminase 3
-23.85	U46692	Cystatin B (stefin B)
-31.34	X76223	Mal, T-cell differentiation protein
-32.83	X67683	Keratin K4a
-38.27	X52426	Keratin 13
-44.99	X07695	Keratin 4
