GenBank ID	Category	Gene Description	Cluster
D11445	Cytokines,chemokines,growthfactors,andinflammationUpregulatedgenes	CINC-1(42.2)	C
M26744	Cytokines,chemokines,growthfactors,andinflammationUpregulatedgenes	IL-6(40.8)	C
U45965	Cytokines,chemokines,growthfactors,andinflammationUpregulatedgenes	MIP-2(26.0)	C
X55183	Cytokines,chemokines,growthfactors,andinflammationUpregulatedgenes	Amphiregulin(14.9)	C
X17053	Cytokines,chemokines,growthfactors,andinflammationUpregulatedgenes	MCP-1(8.0)	C
AJ011969	Cytokines,chemokines,growthfactors,andinflammationUpregulatedgenes	MIC-1(4.9)	C
U78102	Cytokines,chemokines,growthfactors,andinflammationUpregulatedgenes	Egr-2(4.3)	C
Z22812	Cytokines,chemokines,growthfactors,andinflammationUpregulatedgenes	IL-1Rtype2(3.7)	C
AF087943	Cytokines,chemokines,growthfactors,andinflammationUpregulatedgenes	CD14(3.2)	C
K02814	Cytokines,chemokines,growthfactors,andinflammationUpregulatedgenes	MAPa1(3.5)	C
M64711	Cytokines,chemokines,growthfactors,andinflammationUpregulatedgenes	Endothelin1(3.5)	C
L18948	Cytokines,chemokines,growthfactors,andinflammationUpregulatedgenes	MRP-14(3.5)	C
L05489	Cytokines,chemokines,growthfactors,andinflammationUpregulatedgenes	Heparin-bindingEGF-likegrowthfactor(3.3)	C
M98820	Cytokines,chemokines,growthfactors,andinflammationUpregulatedgenes	IL-1h(3.3)	C
Z50051	Complementandimmunoglobulins Upregulatedgenes	C4BPa(27.9)	C
X73371	Complementandimmunoglobulins Upregulatedgenes	Fcgreceptor(5.3)	C
X71127	Complementandimmunoglobulins Upregulatedgenes	C1qh(4.0)	C
U42719	Complementandimmunoglobulins Upregulatedgenes	C4(3.2)	C
J02962	Complementandimmunoglobulins Upregulatedgenes	IgE-BP(3.2)	C
AI176456	AntioxidantsandDNArepair Upregulatedgenes	Metallothionein-2(24.3)	D
J02722	AntioxidantsandDNArepair Upregulatedgenes	Hemeoxygenase(6.1)	C
AI102562	AntioxidantsandDNArepair Upregulatedgenes	Metallothionein-1(3.7)	D
AI172247	AntioxidantsandDNArepair Upregulatedgenes	Xantinedehydrogenase(3.7)	D
