Probe_ID	Entrez Gene ID	OMIM	Ensembl	Representative Public ID	RefSeq Transcript ID	Gene Symbol	meta_centroid	nometa_centroid
200853_at	3015	142763	---	NM_002106	NM_002106	H2AFZ	0.110567595	-0.148196569
201088_at	3838	600685	---	NM_002266	NM_002266 /// XM_001133253 /// XM_001133254 /// XM_001133256 /// XM_001133258 /// XM_001133262 /// XM_001133265 /// XM_001133267 /// XM_001133271	KPNA2	0.242120691	-0.057927479
201202_at	5111	176740	---	NM_002592	NM_002592 /// NM_182649	PCNA	0.078136232	-0.013497823
201292_at	7153	126430	ENSG00000131747	AL561834	NM_001067	TOP2A	0.327422923	-0.140240788
201710_at	4605	601415	---	NM_002466	NM_002466	MYBL2	0.098245708	-0.096285612
201890_at	6241	180390	ENSG00000171848	BE966236	NM_001034	RRM2	0.247629498	-0.25247264
202095_s_at	332	603352	---	NM_001168	NM_001012270 /// NM_001012271 /// NM_001168	BIRC5	0.42126592	-0.073421534
202240_at	5347	602098	---	NM_005030	NM_005030	PLK1	0.156438616	-0.000848315
202503_s_at	9768	610696	---	NM_014736	NM_001029989 /// NM_014736	KIAA0101	0.131039648	-0.199598452
202580_x_at	2305	602341	---	NM_021953	NM_021953 /// NM_202002 /// NM_202003	FOXM1	0.23416988	-0.072516494
202705_at	9133	602755	---	NM_004701	NM_004701	CCNB2	0.272283001	-0.062426523
202870_s_at	991	603618	---	NM_001255	NM_001255	CDC20	0.394772765	-0.078136726
202954_at	11065	605574	---	NM_007019	NM_007019 /// NM_181799 /// NM_181800 /// NM_181801 /// NM_181802 /// NM_181803	UBE2C	0.351230374	-0.124189811
203213_at	983	116940	ENSG00000170312	AL524035	NM_001786 /// NM_033379	CDC2	0.264270394	-0.201318974
203214_x_at	983	116940	ENSG00000170312	NM_001786	NM_001786 /// NM_033379	CDC2	0.333145404	-0.007232916
203362_s_at	4085	601467	ENSG00000164109	NM_002358	NM_002358	MAD2L1	0.383367618	0.015764152
203418_at	890	123835	---	NM_001237	NM_001237	CCNA2	0.269621594	0.019055598
203432_at	7112	188380	---	AW272611	NM_001032283 /// NM_001032284 /// NM_003276	TMPO	0.158378961	-0.052877724
203554_x_at	9232	604147	---	NM_004219	NM_004219	PTTG1	0.271538082	-0.134426441
203755_at	701	114500 /// 602860	---	NM_001211	NM_001211	BUB1B	0.23947349	-0.025903083
203764_at	9787	---	ENSG00000126787	NM_014750	NM_014750	DLG7	0.219782527	-0.030984086
204026_s_at	11130	609177	ENSG00000122952	NM_007057	NM_001005413 /// NM_001005414 /// NM_007057 /// NM_032997	ZWINT	0.186220005	-0.213523682
204033_at	9319	604507	---	NM_004237	NM_004237	TRIP13	0.337295497	-0.049673463
204092_s_at	6790	114500 /// 603072	---	NM_003600	NM_003600 /// NM_198433 /// NM_198434 /// NM_198435 /// NM_198436 /// NM_198437	AURKA	0.308058994	-0.074767732
204126_s_at	8318	603465	---	NM_003504	NM_003504	CDC45L	0.164736788	0.011798818
204146_at	10635	603070	ENSG00000111247	BE966146	NM_006479	RAD51AP1	0.179841759	0.017465744
204318_s_at	51512	607477	ENSG00000075218	NM_016426	NM_016426	GTSE1	0.197675556	-0.002631997
204444_at	3832	148760	---	NM_004523	NM_004523	KIF11	0.19888655	-0.052737064
204603_at	9156	606063	ENSG00000174371	NM_003686	NM_003686 /// NM_006027 /// NM_130398	EXO1	0.127438986	-0.015155358
204641_at	4751	604043	---	NM_002497	NM_002497	NEK2	0.316204963	-0.102842311
204817_at	9700	604143	---	NM_012291	NM_012291	ESPL1	0.120655611	-0.021106216
204822_at	7272	604092	ENSG00000112742	NM_003318	NM_003318	TTK	0.185123465	-0.020444902
204825_at	9833	607025	---	NM_014791	NM_014791	MELK	0.306253213	-0.097970675
204962_s_at	1058	117139	ENSG00000115163	NM_001809	NM_001042426 /// NM_001809	CENPA	0.308409278	-0.013178401
205034_at	9134	603775	---	NM_004702	NM_057735 /// NM_057749	CCNE2	0.254052991	-0.026760089
207828_s_at	1063	600236	---	NM_005196	NM_016343	CENPF	0.305289114	-0.039676507
208079_s_at	6790	114500 /// 603072	---	NM_003158	NM_003600 /// NM_198433 /// NM_198434 /// NM_198435 /// NM_198436 /// NM_198437	AURKA	0.409645451	-0.085887192
209408_at	11004	604538	ENSG00000142945	U63743	NM_006845	KIF2C	0.296537341	-0.003160759
209464_at	9212	604970	---	AB011446	NM_004217	AURKB	0.211477991	0.019706776
209642_at	699	602452	ENSG00000169679	AF043294	NM_004336	BUB1	0.303627795	0.045547806
209714_s_at	1033	123832	---	AF213033	NM_005192	CDKN3	0.299226106	-0.086658185
210052_s_at	22974	605917	ENSG00000088325	AF098158	NM_012112	TPX2	0.298351491	-0.081253442
210559_s_at	983	116940	ENSG00000170312	D88357	NM_001786 /// NM_033379	CDC2	0.373221072	-0.077095599
211762_s_at	3838	600685	---	BC005978	NM_002266 /// XM_001133253 /// XM_001133254 /// XM_001133256 /// XM_001133258 /// XM_001133262 /// XM_001133265 /// XM_001133267 /// XM_001133271	KPNA2	0.271354653	-0.022641289
212020_s_at	4288	176741	ENSG00000148773	AU152107	NM_002417	MKI67	0.1197131	-0.053964559
212022_s_at	4288	176741	ENSG00000148773	BF001806	NM_002417	MKI67	0.173436534	-0.082570239
212949_at	23397	602332	---	D38553	NM_015341	NCAPH	0.070049008	-0.041897578
213911_s_at	3015	142763	---	BF718636	NM_002106	H2AFZ	0.119914664	-0.183417201
214710_s_at	891	123836	---	BE407516	NM_031966	CCNB1	0.446494963	-0.075182352
218009_s_at	9055	603484	ENSG00000198901	NM_003981	NM_003981 /// NM_199413 /// NM_199414	PRC1	0.444693779	-0.049319918
218039_at	51203	---	ENSG00000137804	NM_016359	NM_016359 /// NM_018454	NUSAP1	0.195398994	-0.203369883
218115_at	55723	609190	---	NM_018154	NM_018154	ASF1B	0.075041046	-0.036485888
218308_at	10460	605303	ENSG00000013810	NM_006342	NM_006342	TACC3	0.198834145	-0.080446422
218355_at	24137	300521	---	NM_012310	NM_012310	KIF4A	0.303841903	-0.082518537
218542_at	55165	610000	ENSG00000138180	NM_018131	NM_018131	CEP55	0.182629967	-0.101438325
218585_s_at	51514	610617	ENSG00000143476	NM_016448	NM_016448	DTL	0.279086127	-0.135853437
218662_s_at	64151	606280	---	NM_022346	NM_022346	NCAPG	0.312420467	-0.005471431
218663_at	64151	606280	---	NM_022346	NM_022346	NCAPG	0.271163936	0.007551366
218726_at	55355	---	---	NM_018410	NM_018410	DKFZp762E1312	0.154547806	-0.085727967
218755_at	10112	605664	---	NM_005733	NM_005733	KIF20A	0.365123954	-0.057715931
218883_s_at	79682	---	---	NM_024629	NM_024629	MLF1IP	0.335714909	-0.147631323
219148_at	55872	---	---	NM_018492	NM_018492	PBK	0.386239573	0.063042521
219306_at	56992	---	ENSG00000163808	NM_020242	NM_020242	KIF15	0.16106623	0.015386791
219787_s_at	1894	600586	---	NM_018098	NM_018098	ECT2	0.22315486	0.023607103
219918_s_at	259266	605481 /// 608716	ENSG00000066279	NM_018123	NM_018136	ASPM	0.282185271	-0.094510893
220651_s_at	55388	609357	ENSG00000065328	NM_018518	NM_018518 /// NM_182751	MCM10	0.18653753	0.065100062
221436_s_at	83461	607749	---	NM_031299	NM_031299	CDCA3	0.168224781	-0.038361567
221520_s_at	55143	609977	---	BC001651	NM_018101	CDCA8	0.158198319	-0.029539943
222039_at	146909	---	ENSG00000186185	AA292789	NM_001080443 /// XM_085634 /// XM_941435	LOC146909	0.199674691	-0.023788422
222077_s_at	29127	604980	---	AU153848	NM_013277	RACGAP1	0.239102368	-0.133462905
38158_at	9700	604143	---	D79987	NM_012291	ESPL1	0.075008847	-0.070894371
	---	---	---	AFFX-PheX-M	---	---	0.034811837	0.003280971
