GenBank number	Normalized level of expression Normal	Normalized level of expression EAE	Normalized level of expression Recovery	Name	Function
X94418	0	0	389.09	Igh-VDJ-2F7	Immunoglobulins (Igs)
AF036736	0.29	0.88	13.42	Igh-V	Immunoglobulins (Igs)
L33943	0	1	5.93	Igh-V	Immunoglobulins (Igs)
L33954	0.41	1	5.45	Igh-V	Immunoglobulins (Igs)
M18237	0.16	1	6.25	Igk-V28	Immunoglobulins (Igs)
AF065324	0.58	1	3.02	Igh-V186.2	Immunoglobulins (Igs)
X67210	0.43	1	6.34	Igh-Cg2b	Immunoglobulins (Igs)
AB017349	0.71	1	3.49	Igk-V	Immunoglobulins (Igs)
M90766	0.79	1	3.28	Ig-J	Immunoglobulins (Igs)
M80423	0	1	7.8	Igk-C	Immunoglobulins (Igs)
V00793	0	0	69.86	Igh-Cg1	Immunoglobulins (Igs)
U19315	0.67	1	2.44	Igk-V	Immunoglobulins (Igs)
U10410	0.5	0.78	5.42	Igh-V	Immunoglobulins (Igs)
U62386	0.46	1	5.21	Igh-VDJ-1F6	Immunoglobulins (Igs)
J00475	0.33	1	12.58	Igh-Ca	Immunoglobulins (Igs)
L33952	0.39	1	1.82	Igh-V	Immunoglobulins (Igs)
AF025445	0.33	1	6.28	Igh-V	Immunoglobulins (Igs)
X02463	0.56	1	2.3	Igh-VIIH8	Immunoglobulins (Igs)
X02466	0.73	1	4.1	Igh-VIIH17	Immunoglobulins (Igs)
U55576	0.19	1	8	Igh-V	Immunoglobulins (Igs)
X04480	0.08	1	1.98	Insulin-like growth factor 1	Other genes
Z22661	0.29	1	2.68	Apolipoprotein CI	Other genes
AA726364	0.16	0.97	4.32	Lipoprotein lipase	Other genes
AF068182	0.34	1	2.3	B cell linker protein BLNK	Other genes
L20942	1.44	1	0.88	Myelin oligodendrocyte glycoprotein	Oligodendrocyte genes
L07508	1.09	0.84	0.92	Myelin basic protein	Oligodendrocyte genes
U81317	1.27	0.94	1	Myelin-associated oligodendrocytic basic protein	Oligodendrocyte genes
M31811	1.43	0.75	1	Myelin-associated glycoprotein	Oligodendrocyte genes
M16472	1.23	0.74	0.94	Proteolipid protein	Oligodendrocyte genes
