Agilent id	Unigene id	Genbank id	Gene name	Description	EHSPEL; Undifferentiated F9=Cy3 (log ratio 2^n)	F9-diff; Undifferentiated F9=Cy3 (log ratio 2^n)	E13.5 PE; Undifferentiated F9=Cy3 (log ratio 2^n)	PE PYS2; Undifferentiated F9=Cy3 (log ratio 2^n)	EHSPEL; NIH3T3 fibroblast=Cy3 (log ratio 2^n)	F9-diff; NIH3T3 fibroblast=Cy3 (log ratio 2^n)	E13.5 PE; NIH3T3 fibroblast=Cy3 (log ratio 2^n)	PYS2; NIH3T3 fibroblast=Cy3 (log ratio 2^n)
H3046B11-3	Mm.21146	XM_128828.2	AA410133	GATA-6	6.28	5.544	4.008	4.09	6.584	5.172	4.068	3.857
		NM_010446.1		HNF3ByFoxa2	5.997	4.619	5.45	5.456	5.595	4.271	5.076	5.367
C0026H06-3	Mm.2735	AF197159.1	AA408369	cubilin	5.437	4.818	3.075	3.382	4.71	3.847	1.771	2.515
H3024A05-3	Mm.35439	NM_009242.1	Sparc	Sparc	5.409	4.438	5.495	4.739	3.462	1.422	3.886	2.686
C0249A07-3	Mm.5080	AK004781.1	Sox17	sox17	5.097	2.317	3.301	4.71	5.259	2.2	3.596	4.804
H3108A04-3	Mm.196344	NM_013492.1	Clu	clusterin	4.858	1.567	4.716	3.324	4.893	3.087	4.945	4.724
H3029B03-3	Mm.243	NM_08480.1	Lama1	Laminin alpha1	4.766	4.497	4.461	3.655	4.768	4.495	4.418	4.274
H3014G02-3	Mm.3742	BC016397.1	F3	coagulationfactor III	4.446	3.471	4.069	2.059	3.912	2.933	3.657	2.011
L0227G09-3	Mm.4394	NM_021099.2	Kit	Kit	4.283	3.882	3.59	3.245	4.913	4.43	4.547	4.27
C0261H07-3	Mm.66061	AL132826.18	5530600M07Rik	fibronectin leucine rich transmembrane protein 3 (FLRT3yKIAA1469)	4.176	4.493	3.514	3.095	4.257	2.606	1.674	1.16
H3158F07-3	Mm.1428	AB075549.1	Gata4	GATA-4	4.124	3.413	1.584	4.217	3.598	2.359	2.106	3.809
L0543H05-3	Mm.79983	NM_011961.1	Plod2	procollagen lysine, 2-oxoglutarate 5-dioxygenase 2	3.901	3.566	3.835	3.563	2.549	1.802	3.397	2.352
K0127F02-3	Mm.22194	NM_011157.1	Prg	serglycin	3.888	4.716	4.872	4.082	4.621	4.55	4.834	4.605
