Functional Group	Parametric P	Fold difference of geometric means (T/N)†	Description	UniGene cluster	Gene Symbol	Map
Cell adhesion	0.00003	2.931	Claudin 1	Hs.7327	CLDN1	3q28-q29
Cell adhesion	0.00016	1.531	Integrin,  beta 4	Hs.85266	ITGB4	17q11-qter
Cell adhesion	0.00057	1.525	Integrin,  alpha 7	Hs.74369	ITGA7	12q13
Cell cycle	0.00002	2.274	Discs, large homologue 7 (Drosophila)	Hs.77695	DLG7	14q22.1
Cell cycle	0.00005	3.104	Cyclin D2	Hs.75586	CCND2	12p13
Cell cycle	0.00008	2.149	Centromere protein F, 350/400ka (mitosin)	Hs.77204	CENPF	1q32-q41
Cell cycle	0.00017	2.147	Cyclin B1	Hs.23960	CCNB1	5q12
Cell cycle	0.00029	1.86	Activator of S-phase kinase	Hs.152759	ASK	7q21.3
Cell cycle	0.00035	2.049	CHK1 checkpoint homologue (S. pombe)	Hs.20295	CHEK1	11q24-q24
Cell cycle	0.00054	3.753	MAD2 mitotic arrest deficient-like 1 (yeast)	Hs.79078	MAD2L1	4q27
Cell cycle	0.00064	1.281	Cyclin 1	Hs.79933	CCN1	4q21.21
Chaperone	0.00083	1.954	Prefoldin 4	Hs.91161	PFDN4	20q13
DNA replication	0.00001	2.74	Exonuclease 1	Hs.47504	EXO1	1q42-q43
DNA replication	0.00031	2.754	Topoisomerase (DNA) II alpha 170 kDa	Hs.156346	TOP2A	17q21-q22
Immunology	0.00006	1.734	T-Cell receptor delta locus	Hs.2014	NA	14q11.2
Immunology	0.00085	3.147	CD83 antigen (activated B lymphocytes, immunoglobulin superfamily)	Hs.79197	CD83	6p23
Ion homeostasis	0.0003	1.376	Solute carrier family 6 (neurotransmitter transporter, serotonin), member 4	Hs.553	SLC6A4	17q11.1-q12
Metabolism	0.00004	1.814	Exostoses (multiple) 1	Hs.184161	EXT1	8q24.11-q24.13
Metabolism	0.00064	2.968	Steroidogenic acute regulatory protein	Hs.3132	STAR	8p11.2
Nuclear protein	0.0001	1.848	Thymopoietin	Hs.406660	TMPO	12q22
Nucleotide synthesis	0.00025	2.089	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	Hs.90280	ATIC	2q35
Nucleotide synthesis	0.0008	2.741	Phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	Hs.117950	PAICS	4pter-q21
Oncogene	0.00025	1.783	Stathmin 1/oncoprotein 18	Hs.406269	STMN1	1p36.1-p35
Protease/Protease inhibitor	0.00046	2.317	Matrix metalloproteinase 11 (stromelysin-3)	Hs.155324	MMP11	22q11.23
Protease/Protease inhibitor	0.00073	1.427	Serine (or cysteine) proteinase inhibitor, clade F ( alpha-2 antiplasmin, pigment epithelium-derived factor), member 2	Hs.159509	SERPINF2	17p13
RNA splicing	0.00056	1.353	Splicing factor, arginine/serine-rich 3	Hs.388623	SFRS3	6p21
RNA splicing	0.00056	1.866	Splicing factor, arginine/serine-rich 10 (transformer 2 homologue, Drosophila)	Hs.30035	SFRS10	3q26.2-q27
Signal transduction	0.00003	1.965	V-ral simian leukemia viral oncogene homologue A (ras related)	Hs.6906	RALA	7p22-p15
Signal transduction	0.00006	1.6	RAB21, member RAS oncogene family	Hs.184627	RAB21	12q15
Signal transduction	0.00015	2.499	Frizzled homologue 7 (Drosophila)	Hs.173859	FZD7	2q33
Signal transduction	0.00027	1.811	Lymphocyte antigen 64 homologue, radioprotective 105 kDa (mouse)	Hs.87205	LY64	5q12
Signal transduction	0.00033	2.521	Diacylglycerol O-acyltransferase homologue 2 (mouse)	Hs.334305	DGAT2	11q13.3
Signal transduction	0.00076	1.523	Tumor necrosis factor receptor superfamily, member 9	Hs.73895	TNFRSF9	1p36
Signal transduction	0.00088	1.797	Dual-specificity tyrosine-(Y)-phosphorylation-regulated kinase 3	Hs.38018	DYRK3	1q32
Structural protein	<0.00001	2.681	Kinesin family member 14	Hs.3104	KIF14	1pter-q31.3
Structural protein	0.00025	1.9	Troponin T2, cardiac	Hs.296865	TNNT2	1q32
Structural protein	0.00029	2.156	Syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	Hs.1501	SDC2	8q22-q23
Structural protein	0.0006	2.242	H2A histone family, member Z	Hs.119192	H2AFZ	4q24
Transcription factor	0.00033	1.835	E2F transcription factor 3	Hs.1189	E2F3	6p22
Transcription factor	0.00034	1.491	Activator of basal transcription 1	Hs.109428	ABT1	6p21.33
Transcription factor	0.00048	2.276	Zinc finger protein 281	Hs.59757	ZNF281	1q32.1
Transcription factor	0.00065	1.713	Interleukin enhancer binding factor 2, 45 kDa	Hs.75117	ILF2	1q21.3
Transcription factor	0.00072	1.718	Zinc finger protein 230	Hs.193583	ZNF230	19q13.31
Transcription factor	0.00079	1.469	General transcription factor IIIC, polypeptide 4, 90 kDa	Hs.22302	GTF3C4	9q34.3
Transcription factor	0.00081	2.951	Spi-B transcription factor (Spi-1/PU.1 related)	Hs.192861	SPIB	19q13.3-q13.4
