Affymetrix number	Gene Name	Gene Symbol	Reference Number	Chi-Square Value	Above/Below mean
37960_at	carbohydrate chondroitin 6/keratan sulfotransferase 2	CHST2	AB014679	175.82	Above
31892_at	protein tyrosine phosphatase receptor type M	PTPRM	X58288	172.85	Above
994_at	protein tyrosine phosphatase receptor type M	PTPRM	X58288	172.85	Above
995_g_at	protein tyrosine phosphatase receptor type M	PTPRM	X58288	172.85	Above
41074_at	G protein-coupled receptor 49	GPR49	AF062006	139.36	Above
41073_at	G protein-coupled receptor 49	GPR49	AI743745	139.36	Above
34676_at	KIAA1099 protein	KIAA1099	AB029022	137.71	Above
36139_at	DKFZP586G0522 protein	DKFZP586G0522	AL050289	127.05	Above
37542_at	lipoma HMGIC fusion partner-like 2	LHFPL2	D86961	120.79	Above
41159_at	clathrin heavy polypeptide Hc	CLTC	D21260	115.15	Above
40081_at	phospholipid transfer protein	PLTP	L26232	108.33	Above
32800_at	Human retinoid X receptor alpha mRNA, 3 UTR, partial sequence	RXR	U66306	107.39	Above
36906_at	cannabinoid receptor 1 brain	CNR1	U73304	107.39	Above
39878_at	protocadherin 9	PCDH9	AI524125	99.2	Above
41747_s_at	Human myocyte-specific enhancer factor 2A (MEF2A) gene, last coding  exon, and complete cds.	MEF2A	U49020	99.2	Above
33410_at	integrin alpha 6	ITGA6	S66213	96.17	Above
34947_at	phorbolin-like protein MDS019	MDS019	AA442560	93.59	Above
36029_at	chromosome 11 open reading frame 8	C11ORF8	U57911	93.59	Above
41708_at	KIAA1034 protein	KIAA1034	AB028957	92.6	Above
1664_at	insulin-like growth factor 2	IGF2	HG3543-HT3739	92.6	Above
32736_at	HSPC022 protein	HSPC022	W68830	91.62	Below
41266_at	integrin alpha 6	ITGA6	X53586	86.95	Above
36566_at	cystinosis nephropathic	CTNS	AJ222967	82.89	Above
1825_at	IQ motif containing GTPase activating protein 1	IQGAP1	L33075	81.2	Below
1731_at	platelet-derived growth factor receptor alpha polypeptide	PDGFRA	M21574	78.22	Above
37023_at	lymphocyte cytosolic protein 1 L-plastin	LCP1	J02923	78.22	Below
33037_at	carbohydrate N-acetylglucosamine 6-O sulfotransferase 7	CHST7	AL022165	76	Above
33411_g_at	integrin alpha 6	ITGA6	S66213	75.47	Above
538_at	CD34 antigen	CD34	S53911	74.86	Above
39108_at	lanosterol synthase 2 3-oxidosqualene-lanosterol cyclase	LSS	U22526	71.9	Above
38364_at	BCE-1 protein	BCE-1	AF068197	71.9	Above
40423_at	KIAA0903 protein	KIAA0903	AB020710	71.29	Above
35192_at	glycine dehydrogenase decarboxylating glycine decarboxylase glycine cleavage system protein P	GLDC	D90239	71.29	Above
39037_at	myeloid/lymphoid or mixed-lineage leukemia trithorax Drosophila homolog translocated to 2	MLLT2	L13773	71.29	Above
38747_at	Human CD34 gene, exon 8.	CD34	M81945	69.45	Above
37687_i_at	Fc fragment of IgG low affinity IIa receptor for CD32	FCGR2A	M31932	67.75	Above
1857_at	MAD mothers against decapentaplegic Drosophila homolog 7	MADH7	AF010193	66.28	Above
38618_at	Human PAC clone RP3-515N1 from 22q11.2-q22	LIMK2	AC_002073	64.03	Above
31782_at	prostaglandin D2 receptor DP	PTGDR	U31099	61.92	Above
32842_at	B-cell CLL/lymphoma 7A	BCL7A	X89984	61.57	Above
