Illumina ID	Accession	Symbol	Gi_Accession	Involved in cell proliferation	GFP SEL A Log(2) Signal	GFP SEL B Log(2) Signal	GAB2 SEL A Log(2) Signal	GAB2 SEL B Log(2) Signal	GAB2 SEL / GFP SEL Log(2) Ratio
ILMN_856	NM_172080.1	CAMK2B	26051209		4.797	5.100	9.506	9.305	4.457
ILMN_22077	NM_018584.4	CAMK2N1	31324542		4.954	6.020	9.117	9.230	3.686
ILMN_9421	NM_003806.1	HRK	4504492		5.472	5.520	9.174	9.115	3.648
ILMN_9653	NM_139277.1	KLK7	21327704		7.111	6.857	10.471	10.674	3.589
ILMN_12238	NM_206963.1	RARRES1	46255042	Yes	5.501	5.433	8.953	9.110	3.564
ILMN_8120	NM_020037.1	ABCC3	9955971		7.603	6.934	10.860	10.764	3.543
ILMN_19268	NM_001185.2	AZGP1	38372939	Yes	5.396	6.066	9.044	9.430	3.506
ILMN_17796	NM_002274.2	KRT13	24234693		5.511	5.109	8.697	8.784	3.431
ILMN_4712	NM_000624.3	SERPINA5	34147643		8.145	8.330	11.474	11.658	3.329
ILMN_24486	NM_006105.3	RAPGEF3	45269150	Yes	5.443	5.758	8.971	8.712	3.241
ILMN_138267	NM_000211.1	ITGB2	4557885		5.644	5.624	8.798	8.674	3.103
ILMN_5657	NM_006762.1	LAPTM5	5803055		5.845	5.403	8.616	8.679	3.023
ILMN_4882	NM_003246.2	THBS1	40317625		6.029	6.051	9.139	8.960	3.009
ILMN_14995	NM_004460.2	FAP	16933539		5.675	5.652	8.539	8.789	3.000
ILMN_14229	NM_005630.1	SLCO2A1	5032094		5.392	5.709	8.420	8.631	2.975
ILMN_12486	NM_005556.3	KRT7	67782364		9.058	8.459	11.857	11.410	2.875
ILMN_7403	NM_001425.1	EMP3	4503562	Yes	7.615	7.661	10.348	10.236	2.654
ILMN_26451	NM_001008540.1	CXCR4	56790926		5.406	5.221	7.764	8.113	2.625
ILMN_23474	NM_144626.1	TMEM125	21389442		6.192	5.961	8.635	8.758	2.620
ILMN_12676	NM_004454.1	ETV5	4758315		5.485	6.092	8.589	8.113	2.563
