Probe set	Description	Gene symbol
206018_at	Forkhead box G1B	FOXG1B
218087_s_at	Sorbin and SH3 domain containing 1	SORBS1
205478_at	Protein phosphatase 1, regulatory (inhibitor) subunit 1A	PPP1R1A
205795_at	Neurexin 3	NRXN3
220794_at	Hypothetical protein FLJ21195 similar to protein related to DAC and cerberus	FLJ21195
201341_at	Ectodermal-neural cortex (with BTB-like domain)	ENC1
222020_s_at	Neurotrimin	HNT
206193_s_at	Corneodesmosin	CDSN
206192_at	Corneodesmosin	CDSN
206258_at	Sialyltransferase 8E (alpha-2, 8-polysialyltransferase)	SIAT8E
213808_at	Homo sapiens clone 23688 mRNA sequence
