Probe Set ID	Gene Title	Gene symbol	Spearman correlation	Pearson correlation
234354_x_at	V-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	ERBB2 (HER2)	0.37	0.53
216836_s_at	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	ERBB2 (HER2)	0.43	0.43
210930_s_at	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	ERBB2 (HER2)	0.46	0.63
234275_at	Estrogen receptor 1	ESR1 (ER)	0.08	0.13
217190_x_at	estrogen receptor 1	ESR1 (ER)	0.06	0.14
217163_at	Estrogen receptor 1	ESR1 (ER)	0.03	0.06
215552_s_at	estrogen receptor 1	ESR1 (ER)	0.13	0.29
215551_at	estrogen receptor 1	ESR1 (ER)	0.11	0.22
211627_x_at	estrogen receptor 1 /// estrogen receptor 1	ESR1 (ER)	-0.14	-0.07
211235_s_at	estrogen receptor 1	ESR1 (ER)	0.21	0.29
211234_x_at	estrogen receptor 1	ESR1 (ER)	0.13	0.25
211233_x_at	estrogen receptor 1	ESR1 (ER)	0.17	0.29
205225_at	estrogen receptor 1	ESR1 (ER)	0.04	-0.17
211120_x_at	estrogen receptor 2 (ER beta)	ESR2 (ER)	-0.11	-0.03
211119_at	estrogen receptor 2 (ER beta)	ESR2 (ER)	0.04	0.01
211118_x_at	estrogen receptor 2 (ER beta)	ESR2 (ER)	0.1	0.18
211117_x_at	estrogen receptor 2 (ER beta)	ESR2 (ER)	0.08	0.13
210780_at	estrogen receptor 2 (ER beta)	ESR2 (ER)	-0.09	-0.06
208305_at	progesterone receptor	PGR (PR)	0.17	0.18
240776_at	Progesterone receptor	PGR (PR)	0.25	0.21
