Gene ID	Gene Name/Symbol	Gene Symbol	GO Biologic Process	Cytogenetic Band
NM_006667	progesterone receptor membrane component 1	PGRMC1	receptor activity	Xq22-q24
NM_000117	emerin (Emery-Dreifuss muscular dystrophy)	EMD	Muscle development	Xq28
U58096	testis-specific protein	TSPY	cell proliferation	Y
S83390	T3 receptor-associating cofactor-1	NA	NA	NA
NM_004997	myosin binding protein H	MYBPH	structural constituent of muscle	1q32.1
NM_016456	transmembrane protein 9	TMEM9	transport	1q41
NM_006891	sapiens crystallin, gamma D	CRYGD	structural molecule activity	2q33-q35
NM_006545	tumor suppressor candidate 4	TUSC4	NA	3p21.3
NM_003085	synuclein, beta	SNCB	phospholipase inhibitor activity	5q35
NM_003181	brachyury homolog (mouse) (T)	NA	transcription factor activity, transcription from Pol II promoter	6q27
NM_001842	ciliary neurotrophic factor receptor, transcript variant 2	CNTFR	signal transduction, neurogenesis	9p13
U97698	secretory mucin MUC6	MUC6	NA	11p15.5
M57417	mucin (mucin) mRNA, partial cds	NA	NA	11
NM_000506	coagulation factor II (thrombin)	NA	calcium ion binding, regulation of cell cycle, development	11p11-q12
NM_006069	murine retrovirus integration site 1 homolog, transcript variant 1	MRVI1	tumor suppressor, oncogenesis	11p15
NM_000260	myosin VIIA (Usher syndrome 1B (autosomal recessive, severe)	MYO7A	calmodulin binding	11q13.5
NM_001235	serine (or cysteine) proteinase inhibitor, class H (heat shock protein 47), member 1, (collagen binding protein 1)	SERPINH1	collagen binding, response to stress	11q13.5
NM_019858	likely ortholog of mouse gene rich cluster, A gene, transcript variant A-2	GRCA	NA	12p13
NM_002286	lymphocyte-activation gene 3	LAG3	antigen binding	12p13.32
NM_003299	tumor rejection antigen (gp96) 1	TRA1	response to stress, calcium ion binding	12q24.2-q24.3
U16851	calmodulin-I	CALM1	calcium ion binding	14q24-q31
NM_003770	keratin, hair, acidic, 7	KRTHA7	structural molecule activity	17q12-q21
NM_002522	neuronal pentraxin I	NPTX1	central nervous system development	17q25.1-q25.2
NM_004127	G protein pathway suppressor 1	GPS1	GTPase inhibitor activity, cell cycle, JNK cascade	17q25.3
NM_016368	myo-inositol 1-phosphate synthase A1	ISYNA1	NA	19p13.11
NM_015889	PC2 (positive cofactor 2, multiprotein complex) glutamine/Q-rich-associated protein or TIG-1	PCQAP	transcription factor activity, transcription from Pol II promoter	22q11.2
NM_007061	CDC42 effector protein (Rho GTPase binding) 1, transcript variant 2	CDC42EP1	development	22q13.1
S74529	Ewing Sarcoma-Wils Tumor gene fusion [human, desmoplastic small round cell tumor cells	EWS-WTI	Ewing sarcoma–Wilms tumor gene fusion	t(11;22)
