Description	Map	UniGene	Gene	Ratios
immunoglobulin kappa constant	2p12	Hs.406565	IGKC	0.03
tyrosine hydroxylase	11p15.5	Hs.178237	TH	0.04
cocaine- and amphetamine-regulated transcript	5q13.1	Hs.1707	CART	0.05
dopamine beta-hydroxylase (dopamine beta-monooxygenase)	9q34	Hs.2301	DBH	0.06
immunoglobulin lambda joining 3	22q11.1–q11.2	Hs.102950	IGLJ3	0.06
immunoglobulin heavy constant gamma 3 (G3m marker)				0.09
proenkephalin	8q23–q24	Hs.93557	PENK	0.1
Incyte EST				0.12
immunoglobulin heavy constant mu	14q32.33	Hs.153261	IGHM	0.13
insulin-like growth factor 2 (somatomedin A)	11p15.5	Hs.349109	IGF2	0.16
tubulin, gamma complex associated protein 2	10q26.3	Hs.13386	TUBGCP2	0.17
hemoglobin, delta	11p15.5	Hs.36977	HBD	0.21
thioredoxin interacting protein	1q21.1	Hs.179526	TXNIP	0.25
similar to bK246H3.1 (immunoglobulin lambda-like polypeptide 1, pre-B-cell specific)	22q11.21	Hs.350074	LOC91316	0.25
7-dehydrocholesterol reductase	11q13.2–q13.5	Hs.11806	DHCR7	0.26
hemoglobin, beta	11p15.5	Hs.155376	HBB	0.27
adipose specific 2	10q23.2	Hs.74120	APM2	0.27
apolipoprotein D	3q26.2–qter	Hs.75736	APOD	0.29
sprouty homolog 2 (Drosophila)	13q22.1	Hs.18676	SPRY2	0.3
insulin-like growth factor binding protein 6	12q13	Hs.274313	IGFBP6	0.31
unknown (protein for IMAGE:4183312) [Homo sapiens], mRNA sequence	2	Hs.380833		0.32
Alpha-2-macroglobulin	12p13.3–p12.3	Hs.74561	A2M	0.32
Homo sapiens cDNA FLJ37148 fis, clone BRACE2025333,	17	Hs.396783		0.32
neurogranin (protein kinase C substrate, RC3)	11q24	Hs.26944	NRGN	0.33
heat shock70k Da protein 1				0.33
carboxypeptidase E	4q32.3	Hs.75360	CPE	0.34
farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase)	1q21.3	Hs.335918	FDPS	0.36
24-dehydrocholesterol reductase	1p33–p31.1	Hs.75616	DHCR24	0.36
potassium channel, subfamily K, member 3	2p23	Hs.24040	KCNK3	0.41
glutathione S-transferase M2 (muscle)	1p13.3	Hs.279837	GSTM2	0.44
complement component 4A	6p21.3	Hs.170250	C4A	0.45
