rank	accession	p-value	gene description
1	212933_x_at	0.008	Consensus includes gb:AA961748 /FEA=EST /DB_XREF=gi:3133912 /DB_XREF=est:or60d03.s1 /CLONE=IMAGE:1600229 /UG=Hs.180842 ribosomal protein L13
2	214802_at	0.008	Consensus includes gb:AK022397.1 /DEF=Homo sapiens cDNA FLJ12335 fis, clone MAMMA1002219, highly similar to Rattus norvegicus rexo70 mRNA.  /FEA=mRNA /DB_XREF=gi:10433783 /UG=Hs.271273 Homo sapiens cDNA FLJ12335 fis, clone MAMMA1002219, highly similar to Rattus norvegicus rexo70 mRNA
3	217256_x_at	0.008	Consensus includes gb:Z98950 /DEF=Human DNA sequence from PAC 507I15 on chromosome Xq26.3-27.3. Contains 60S ribosomal protein L44 (L41, L36) like gene, ESTs, STSs and a polymorphic CA repeat /FEA=CDS /DB_XREF=gi:3036783 /UG=Hs.248094 Human DNA sequence from PAC 507I15 on chromosome Xq26.3-27.3. Contains 60S ribosomal protein L44 (L41, L36) like gene, ESTs, STSs and a polymorphic CA repeat
4	220230_s_at	0.008	gb:NM_016229.1 /DEF=Homo sapiens cytochrome b5 reductase b5R.2 (LOC51700), mRNA. /FEA=mRNA /GEN=LOC51700 /PROD=cytochrome b5 reductase b5R.2 /DB_XREF=gi:7706442 /UG=Hs.22142 cytochrome b5 reductase b5R.2 /FL=gb:AF169802.1 gb:NM_016229.1
5	217733_s_at	0.011	gb:NM_021103.1 /DEF=Homo sapiens thymosin, beta 10 (TMSB10), mRNA. /FEA=mRNA /GEN=TMSB10 /PROD=thymosin, beta 10 /DB_XREF=gi:10863894 /UG=Hs.76293 thymosin, beta 10 /FL=gb:NM_021103.1 gb:M92381.1 gb:M20259.1
6	200781_s_at	0.023	gb:NM_001019.1 /DEF=Homo sapiens ribosomal protein S15a (RPS15A), mRNA. /FEA=mRNA /GEN=RPS15A /PROD=ribosomal protein S15a /DB_XREF=gi:4506688 /UG=Hs.2953 ribosomal protein S15a /FL=gb:BC001697.1 gb:NM_001019.1
7	214167_s_at	0.023	Consensus includes gb:AA555113 /FEA=EST /DB_XREF=gi:2325652 /DB_XREF=est:nj40g05.s1 /CLONE=IMAGE:995000 /UG=Hs.73742 ribosomal protein, large, P0
8	213317_at	0.024	Consensus includes gb:AL049313.1 /DEF=Homo sapiens mRNA; cDNA DKFZp564B076 (from clone DKFZp564B076). /FEA=mRNA /DB_XREF=gi:4500086 /UG=Hs.21103 Homo sapiens mRNA; cDNA DKFZp564B076 (from clone DKFZp564B076)
9	200025_s_at	0.026	gb:NM_000988.1 /DEF=Homo sapiens ribosomal protein L27 (RPL27), mRNA. /FEA=mRNA /GEN=RPL27 /PROD=ribosomal protein L27 /DB_XREF=gi:4506622 /UG=Hs.111611 ribosomal protein L27 /FL=gb:BC002588.1 gb:L05094.1 gb:L19527.1 gb:NM_000988.1
10	200032_s_at	0.026	gb:NM_000661.1 /DEF=Homo sapiens ribosomal protein L9 (RPL9), mRNA. /FEA=mRNA /GEN=RPL9 /PROD=ribosomal protein L9 /DB_XREF=gi:4506664 /UG=Hs.157850 ribosomal protein L9 /FL=gb:U09953.1 gb:NM_000661.1
