Gene Symbol	Accession Number
ACADSB	NM_001609
ACOX2	NM_003500
ACTG2	NM_001615
ADRA2A	NM_000681
ADRM1	NM_007002
AGTR1	NM_031850
AKR1C3	NM_003739
ALCAM	NM_001627
ALDH1A2	NM_003888
ANP32E	NM_030920
ANXA1	NM_000700
ANXA8	NM_001630
ANXA9	NM_003568
AOC3	NM_003734
APEG1	NM_005876
APM2	NM_006829
APOD	NM_001647
ARPC5	NM_005717
ASAH1	NM_004315
ATP1A2	NM_000702
ATP6V1G1	NM_004888
B3GNT5	NM_032047
BCL2	NM_000633
BECN1	NM_003766
BF	NM_001710
BLVRA	NM_000712
BMP4	NM_001202
BPHL	NM_004332
BTG3	NM_006806
C10orf7	NM_006023
C14orf132	NM_020215
C4A	NM_007293
CACNA2D2	NM_006030
CaMKIINalpha	NM_018584
CAPN6	NM_014289
CAV1	NM_001753
CBR1	NM_001757
CCNA2	NM_001237
CCND1	NM_053056
CCNE1	NM_001238
CCNE2	NM_057749
CCR5	NM_000579
CCR6	NM_031409
CCR7	NM_001838
CCR8	NM_005201
CD24	NM_013230
CD36	NM_000072
CDC14A	NM_003672
CDC14B	NM_033332
CDC20	NM_001255
CDH1	NM_004360
CDH3	NM_001793
CDK2AP1	NM_004642
CEACAM6	NM_002483
CES1	NM_001266
CHI3L2	NM_004000
CHIT1	NM_003465
COX6C	NM_004374
CP	NM_000096
CRABP1	NM_004378
CRAT	NM_000755
CRBPIV	NM_052960
CRYAB	NM_001885
CSDA	NM_003651
CTPS	NM_001905
CX3CL1	NM_002996
CX3CR1	NM_001337
CXCL1	NM_001511
CXCR4	NM_003467
CYB5	NM_001914
CYB561	AK095244
CYP2A6	NM_000762
DIP13B	NM_018171
DKFZP761F241	NM_031455
DP1	NM_005669
E2F1	NM_005225
EBF	BC038805
EBNA1BP2	NM_006824
EDN1	NM_001955
Ells1	NM_152793
ENPP2	NM_006209
ENPP5	NM_021572
EPAC	NM_006105
ERBB2	NM_004448
ESR1	NM_000125
ESR2	NM_001437
EST	AL080130
EST	AK021858
EST	AK092335
EST	AK097484
EST	AK055474
EST	BC027989
EST	AK094603
EST	NM_016613
EST	AK098220
EST	AI738443
EST	AL572847
EST	AK096401
EST	BQ723065
EST	BU633431
F2	NM_000506
F3	NM_001993
FABP4	NM_001442
FABP7	NM_001446
FACL2	NM_021122
FADS2	NM_004265
FBP1	NM_000507
FLJ10511	NM_018120
FLJ10697	NM_018181
FLJ10948	NM_018281
FLJ10980	BC040548
FLJ13322	NM_024722
FLJ14525	NM_032800
FLJ25604	NM_152663
FLJ32389	NM_144617
FLT1	NM_002019
FMO2	NM_001460
FMO5	NM_001461
FMOD	NM_002023
FOXA1	NM_004496
FTHFD	NM_012190
FVT1	NM_002035
FXYD3	NM_021910
FZD7	NM_003507
GABRP	NM_014211
GALNT10	NM_017540
GATA3	NM_002051
GGH	NM_003878
GLDC	NM_000170
GNG11	NM_004126
GPCR1	NM_014373
GPD1	NM_005276
GPX3	NM_002084
GRB7	NM_005310
GRLF1	NM_024342
GSTM3	NM_000849
GSTP1	NM_000852
HIS1	NM_006460
HMGCS2	NM_005518
HOXB5	NM_002147
HOXB6	NM_156036
HRASLS3	NM_007069
HSD17B4	NM_000414
HSPC163	NM_014184
ID4	NM_001546
IGFBP2	NM_000597
IGJ	NM_144646
IL8RB	NM_001557
IMP-1	NM_006546
INPP4B	NM_003866
ITGA7	NM_002206
ITM2C	NM_030926
KCNK1	NM_002245
KIAA0182	XM_050495
KIAA0239	NM_015288
KIAA0303	AB002301
KIAA0876	AB020683
KIAA1025	XM_034056
KIAA1691	AB051478
KIF23 (KNSL5)	NM_138555
KIP2	NM_006383
KIT	NM_000222
KRT17	NM_000422
KRT5	NM_000424
LAD1	NM_005558
LAF4	NM_002285
LAMC2	NM_005562
LAPTM4B	NM_018407
LIV-1	NM_012319
LOC157378	BC041379
LOC255743	XM_171089
LOC283445	XM_211044
LOC284665	XM_211581
LPL	NM_000237
LRBA	NM_006726
LU	NM_005581
MAP3K8	NM_005204
MCCC2	NM_022132
MCM3	NM_002388
MDS029	NM_018464
MFGE8	NM_005928
MGC10500	NM_031477
MGC27171	NM_144591
MGRN1	AB011116
MGRN1	XM_048119
MMRN	NM_007351
MSX2	NM_002449
MT1X	NM_005952
MUC1	NM_002456
MYBL2	NM_002466
MYC	NM_002467
NAT1	NM_000662
NFIB	NM_005596
NPEPPS	NM_006310
NPY1R	NM_000909
NQO1	NM_000903
NRG1	NM_013957
NSEP1	NM_004559
PCDH9	NM_020403
PCOLCE2	NM_013363
PDGFA	NM_002607
PDK3	NM_005391
PGR	NM_000926
PLAT	NM_000930
PLIN	NM_002666
PLK	NM_005030
PLOD	NM_000302
POLR2F	NM_021974
POLYDOM	NM_024500
PON3	NM_000940
PPARBP	NM_004774
PRAME	NM_006115
PRDX4	NM_006406
