Probe name	ENTREZID	SYMBOl
NM_006408	10551	AGR2
NM_012067	22977	AKR7A3
NM_000382	224	ALDH3A2
Contig48328_RC	7984	ARHGEF5
NM_018136	259266	ASPM
NM_001168	332	BIRC5
NM_006806	10950	BTG3
U10991	25758	C11orf41
NM_018265	55765	C1orf106
NM_020130	56892	C8orf4
NM_001216	768	CA9
Contig53646_RC	799	CALCR
AL133619	91409	CCDC74B
NM_004701	9133	CCNB2
NM_004702	9134	CCNE2
AL110152	135228	CD109
NM_004358	994	CDC25B
NM_014246	9620	CELSR1
NM_018455	55839	CENPN
NM_003652	8532	CPZ
Contig43983_RC	64084	CLSTN2
NM_001905	1503	CTPS
NM_001333	1515	CTSL2
AB037863	57593	EBF4
U79298	90362	FAM110B
NM_000507	2203	FBP1
NM_003862	8817	FGF18
Contig41887_RC	80157	FLJ21511
NM_013409	10468	FST
NM_002073	2781	GNAZ
NM_000849	2947	GSTM3
NM_005342	3149	HMGB3
Contig4595	51171	HSD17B14
NM_003641	8519	IFITM1
NM_000599	3488	IGFBP5
AF055033	3488	IGFBP5
L27560	3488	IGFBP5
NM_004791	9358	ITGBL1
NM_014875	9928	KIF14
NM_006014	8270	LAGE3
Contig38438_RC	26468	LHX6
Contig33376_RC	139466	LOC139466
AL117666	26018	LRIG1
AJ224741	4148	MATN3
NM_005368	4151	MB
NM_012214	11320	MGAT4A
Contig46934_RC	91368	CDKN2AIPNL
NM_004994	4318	MMP9
AF201951	58475	MS4A7
NM_004923	9633	MTL5
NM_006101	10403	NDC80
NM_000909	4886	NPY1R
AB020713	23225	NUP210
NM_016359	51203	NUSAP1
NM_018454	51203	NUSAP1
AK000933	23596	OPN3
Contig47405_RC	8505	PARG
NM_006117	10455	PECI
AF257175	10455	PECI
D25328	5214	PFKP
U45975	27124	PIB5PA
NM_006115	23532	PRAME
NM_015366	55615	PRR5
AL050227	5733	PTGER3
AF131784	5874	RAB27B
NM_016577	51560	RAB6B
NM_006265	5885	RAD21
Contig53226_RC	465320	RERGL
L05096	116832	RPL39L
NM_020974	57758	SCUBE2
NM_012429	23541	SEC14L2
NM_004695	9121	SLC16A5
NM_018964	54020	SLC37A1
Contig111_RC	27044	SND1
NM_004603	6804	STX1A
AB020689	23158	TBC1D9
NM_016569	6926	TBX3
NM_001062	6947	TCN1
NM_003239	7043	TGFB3
NM_003258	7083	TK1
M90657	4071	TM4SF1
NM_018004	55076	TMEM45A
AL080059	85453	TSPYL5
Contig38901_RC	7390	UROS
NM_003368	7398	USP1
NM_003376	7422	VEGFA
Contig50950_RC	57539	WDR35
Contig10890_RC	NA	NA
Contig18502_RC	NA	NA
Contig24252_RC	NA	NA
Contig24609_RC	NA	NA
Contig25055_RC	NA	NA
Contig28552_RC	NA	NA
Contig30154_RC	NA	NA
Contig31288_RC	NA	NA
Contig40128_RC	NA	NA
Contig46218_RC	NA	NA
Contig48913_RC	NA	NA
Contig49388_RC	NA	NA
Contig50802_RC	NA	NA
Contig53968_RC	NA	NA
Contig55725_RC	NA	NA
Contig66705_RC	NA	NA
