Probe Set	Gene Symbol	Gene Symbol before 2008	T:N Ratio	T Mean	N Mean	T SD	N SD
1552309_a_at	NEXN	NEXN	0.260192825	-0.96805282	1.30326993	1.119134874	0.480298477
1552509_a_at	CD300LG	CD300LG	0.204726963	-0.789183493	1.328097564	0.559209271	1.008981199
1552619_a_at	ANLN	ANLN	8.807436865	1.000750721	-1.459218956	1.491697136	0.247796111
1552667_a_at	SH2D3C	SH2D3C	0.303061888	-0.714406051	1.068203013	0.722290544	0.665671926
1553102_a_at	CCDC69	CCDC69	0.370878686	-0.64180446	0.963512871	0.779403712	0.325613655
1553169_at	LRRN4	C20orf75	0.337405143	-0.736060283	0.910311824	0.642964459	0.511313347
1553171_x_at	LRRN4	C20orf75	0.278455108	-0.871800194	1.064595842	0.70399092	0.603811371
1553645_at	CCDC141	FLJ39502	0.151797684	-0.896245478	1.386998816	0.393136055	1.259858295
1553835_a_at	COL29A1	FLJ35880	0.350419817	-0.591335731	0.895021242	0.672204151	0.713391644
1554079_at	GALNTL4	GALNTL4	0.354811288	-0.74388151	1.042696912	0.962315027	0.413660662
1554408_a_at	TK1	TK1	5.438723338	0.883823661	-1.197075633	1.130828074	0.320524913
1554547_at	FAM13C1	FAM13C1	0.262769324	-0.913249703	1.113179011	0.823753427	0.684796326
1554648_a_at	DUOXA1	DUOXA1	0.29633554	-0.730104587	1.029572514	0.677698509	0.662527861
1554690_a_at	TACC1	TACC1	0.330507486	-0.749268678	1.022579097	0.870438243	0.446761544
1554768_a_at	MAD2L1	MAD2L1	10.24852551	1.02103177	-1.609450037	1.552193568	0.230768226
1555191_a_at	FHL5	FHL5	0.280672212	-0.674527725	1.003673638	0.521546	0.861178561
1555216_a_at	LOC645722	LOC645722	0.35669022	-0.654364155	1.313747335	1.072197999	0.548255973
1555274_a_at	SELI	SELI	5.001485929	0.911098774	-1.138470149	1.021072685	0.497905352
1555497_a_at	CYP4B1	CYP4B1	0.092991579	-1.694711881	2.198609992	1.257056703	0.929937289
1555579_s_at	PTPRM	PTPRM	0.270491086	-0.940588528	1.248145841	0.945749306	0.280134344
1555758_a_at	CDKN3	CDKN3	13.99982662	1.298181418	-1.97323459	1.445232957	0.471279486
1555800_at	ZNF385B	ZNF533	0.123711606	-1.698471306	1.954284084	1.356945913	0.833345164
1555801_s_at	ZNF385B	ZNF533	0.134697597	-1.637913821	1.905478142	1.286523394	0.861477291
1555832_s_at	KLF6	KLF6	0.327700417	-0.82709617	0.926689422	0.8514873	0.488932228
1555938_x_at	VIM	VIM	0.241055488	-0.946605853	0.933663299	0.605335701	0.974097389
1556037_s_at	HHIP	HHIP	0.210511597	-1.056745801	1.557935275	1.150309381	0.810538062
1556209_at	CLEC2B	CLEC2B	0.324908897	-0.614200469	0.969097829	0.632211681	0.782541705
1556314_a_at	---	---	0.259939316	-0.844721882	1.169511825	0.79559533	0.731564075
1556321_a_at	---	MESDC1	0.300086706	-0.547567612	1.09491917	0.597193725	0.8389306
1556325_at	FILIP1	FILIP1	0.171191091	-1.168077621	1.72974028	1.000350558	0.606774685
1556421_at	LOC286189	LOC286189	0.343610242	-0.889832903	1.057084444	0.991360546	0.776774758
1556579_s_at	IGSF10	IGSF10	0.159642313	-1.171947304	1.755880614	0.973929276	0.518102292
1556989_at	---	ADAMTS9	0.145910409	-1.054643639	1.490704754	0.799493498	1.207035264
1557136_at	ATP13A4	ATP13A4	0.34808375	-0.822181567	1.197645667	1.090747775	0.524585707
1557422_at	---	CUGBP2	0.182156461	-1.062019531	1.621413639	0.940080392	0.670721178
