Function	Gene Symbol	Gene Description
Transcription		v-maf protein G
Transcription	IIH3	General transcription factor IIH polypeptide 3
Transcription	IFN1	IFN consensus sequence binding protein 1
Transcription		Nuclear autoantigen
Transcription	AML1	Runt-related transcription factor 1(AML-1Oncogene)
Cell Signalling	SPLIT3	Slit(Drosophila) homolog 3
Cell Signalling		Phospholipase C, epsilon
Cell Signalling		Syanaptojanin 2
Cell Signalling	HLADR5	HLA DR beta 5
Cell Architecture		Tubulin specific chaperone D
Cell Architecture		Hyaluronglucosaminidase 1
Cell Architecture		Collagen Type IV
Cell Architecture		Gap Junction Protein 43
Metabolism		Apolipoprotein D
Metabolism		Arylacetamide deacytylase (esterase)
Metabolism		Neuromedin U
Metabolism	ATP5A1	ATP5A1
Metabolism	UDPG	UDP-galactose:N-acetylglucosamine beta-1, 4-galactosyltransferase I
Metabolism		Cysteine dioxygenase type I
Cell growth and differentiation		Cyclin-dependent kinase inhibitor P19
Cell growth and differentiation		Microtubule-associated protein 4
Cell growth and differentiation	CDC28	CDC28 protein kinase
Cell growth and differentiation	CD34	CD34
Apoptosis	TNF6	TNF superfamily member 6, (Fas Ligans)
Apoptosis		Ectodermal dysplasia 1, anhidrotic.
Unknown	FBR89	FBR89
Unknown	FLJ23231	FLJ23231
Unknown	AAB47496	ESTs, Weakly similar to AAB47496 NG5 [H. sapiens]
Unknown		EST
Unknown	FLJ13164	FLJ13164
Unknown	BM033	Uncharacterized Bone marrow protein, BM033
Unknown	FJ 10407	FJ 10407
