Accession No.	Gene Title	Fold change	Function
NM_016109	angiopoietin-like 4	4.07	ANGIOGENESIS
BE620457	neuropilin 1	2.93	ANGIOGENESIS
AL574210	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	2.69	ANGIOGENESIS
NM_000602	serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	2.9	ANGIOGENESIS
AI091372	AXIN1 up-regulated 1	3.11	APOPTOSIS
BE256479	heat shock 60kDa protein 1 (chaperonin)	1.88	APOPTOSIS
BF594446	myeloid cell leukemia sequence 1 (BCL2-related)	3.07	APOPTOSIS
NM_021960	myeloid cell leukemia sequence 1 (BCL2-related)	2.59	APOPTOSIS
NM_016077	peptidyl-tRNA hydrolase 2	2.46	APOPTOSIS
AI857639	phorbol-12-myristate-13-acetate-induced protein 1	3.28	APOPTOSIS
NM_021127	phorbol-12-myristate-13-acetate-induced protein 1	3.65	APOPTOSIS
AA576961	pleckstrin homology-like domain, family A, member 1	3.48	APOPTOSIS
AI795908	pleckstrin homology-like domain, family A, member 1	4.39	APOPTOSIS
AK026181	pleckstrin homology-like domain, family A, member 1	5.16	APOPTOSIS
AF064824	receptor-interacting serine-threonine kinase 2	2.7	APOPTOSIS
AI738556	tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain	8.04	APOPTOSIS
NM_016639	tumor necrosis factor receptor superfamily, member 12A	2.3	APOPTOSIS
NM_002467	v-myc myelocytomatosis viral oncogene homolog (avian)	2.33	APOPTOSIS
NM_004053	bystin-like	2.13	CELL ADHESION
X77598	leupaxin	3.83	CELL ADHESION
NM_015368	pannexin 1	2.36	CELL ADHESION
AI524125	protocadherin 9	2.67	CELL ADHESION
BE206621	RGM domain family, member B	3.76	CELL ADHESION
BE855765	RGM domain family, member B	3.75	CELL ADHESION
AI343459	cell division cycle 25 homolog A (S. pombe)	2.8	CELL CYCLE/PROLIFERATION
U77949	cell division cycle 6 homolog (S. cerevisiae)	2.72	CELL CYCLE/PROLIFERATION
AL545982	chaperonin containing TCP1, subunit 2 (beta)	1.81	CELL CYCLE/PROLIFERATION
NM_004702	cyclin E2	3.46	CELL CYCLE/PROLIFERATION
