Genesymbol	Location	Genedescription	Fold difference
TNFRSF10B (DR5)	8p22-p21	Tumor necrosis factor receptor superfamily, member 10b (TRAIL receptor 2)	-1.45
LCP2 (SLP-76)	5q33.1-qter	Tyrosine phosphoprotein SLP-76	-1.91
ARL7	2q37.1	ADP-ribosylation factor-like 7	-1.83
AIF-1	6p21.3	Allograft-inflammatory factor-1	-1.74
XPC	3p25	Xeroderma pigmentosum, complementation group C	-1.46
CD11A	16p11.2	CD11A, Integrin, alpha L; LFA-1 alpha chain	-1.46
DDB2	11p12-p11	Damage-specific DNA binding protein 2	-1.56
TP53	17p13.1	p53 Tumor suppressor	-1.58
CABIN1	22q11.23	Negative regulator for calcineurin signaling in T lymphocytes	-1.31
TXNIP	1q21.1	Thioredoxin-interacting protein	-1.88
LILRB1	19q13.4	Leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3	-1.73
ARHGEF1	19q13.13	Rho guanine nucleotide exchange factor (GEF) 1	-1.37
ARRB2	17p13	Arrestin beta 2	-1.42
FYN	6q21	Tyrosine protein kinase	-1.92
FYB	5p13.1	SLAP-130, SLP-76 associated protein; FYN, binding protein	-1.85
DPH2L	17p13.3	Similar to diphthamide biosynthesis gene DPH2 of Saccharomycescerevisiae	-1.33
CDKN1A (p21)	6p21.2	Cyclin kinase inhibitor, WAF1, CIP1	-1.56
FCGRT	19q13.3	IgG Fc receptor hFcRn	-1.73
NSF	17q21	Ribosomal protein S7	-1.69
TCRA	14q11.2	T-cell receptor alpha chain	-1.99
CD64	1q21.1	High-affinity immunoglobulin gamma FC receptor I A	-3.36
PSRY5	13q14	Purinergic receptor P2Y5	-2.3
LSP1	11p15.5	Lymphocyte-specific protein	-1.75
BTG1	12q22	B-cell translocation gene 1	-1.61
TOP3A	17p12-p11.2	Topoisomerase DNA III alpha	-1.36
BAX	19q13.3-4	BCL2-associated X protein	-1.52
GBP2	1p22.2	Guanylate-binding protein 2, interferon-inducible	-1.93
NK4	16p13.3	Interleukin 32	-2.08
SPAG7	17p13.2	Sperm-associated antigen	-1.35
