GenBank ID	Definition	Ratio
M20430	Human MHC class II HLA-DR- beta mRNA	0.021
Y00483	Human gene for glutathione peroxidase	0.053
AL161976	Homo sapiens mRNA cDNA DKFZp761p2414	0.133
V01512	Human cellular oncogene c-fos	0.106
X13334	Human CD14 mRNA for myeloid cell-specific leucine-rich glycoprotein	0.131
D31716	Human mRNA for GC box binding protein	0.158
D16480	Homo sapiens mRNA for mitochondrial enoyl-CoA hydratase/3-hydroxy	0.173
NM_002211	Homo sapiens integrin, beta 1	0.195
D13900	Homo sapiens mRNA for mitochondrial short-chain enoyl-CoA hydratase	0.25
V51903	Human Ras-GAP–related protein (IQGAP) mRNA	0.337
L19067	Human NF-kappa-B transcription factor p65 subunit mRNA	0.364
X16155	mRNA for chicken ovalbumin upstream	0.406
U39067	Homo sapiens translation initiation factor elF3P36 subunit mRNA	0.45
NM_001997	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitous expressed (FAU)	0.493
