Down-regulation (Z score)	Gene	Common	GeneBank	Description
2.611	202376_at	SERPINA3	NM_001085	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3
2.247	206108_s_at	SFRS6	NM_006275	splicing factor, arginine/serine-rich 6
2.189	225575_at	LIFR	AI680541	leukemia inhibitory factor receptor
2.037	227271_at	FGF11	AU151265	fibroblast growth factor 11
1.891	225283_at	ARRDC4	AV701177	arrestin domain containing 4
1.766	207735_at	RNF125	NM_017831	ring finger protein 125
1.687	205378_s_at	ACHE	NM_015831	acetylcholinesterase (YT blood group)
1.686	202725_at	POLR2A	NM_000937	polymerase (RNA) II (DNA directed) polypeptide A, 220kDa
1.642	200606_at	DSP	NM_004415	desmoplakin
1.617	201746_at	TP53	NM_000546	tumor protein p53 (Li-Fraumeni syndrome)
1.609	209121_x_at	NR2F2	M64497	nuclear receptor subfamily 2, group F, member 2
1.594	228854_at	ZNF145	AI492388	zinc finger protein 145 (Kruppel-like, expressed in promyelocytic leukemia)
1.566	205326_at	RAMP3	NM_005856	receptor (calcitonin) activity modifying protein 3
1.556	221748_s_at	TNS	AL046979	tensin
1.552	207289_at	MMPL1	NM_004142	matrix metalloproteinase 25
1.535	210060_at	PDE6G	M36476	phosphodiesterase 6G, cGMP-specific, rod, gamma
1.532	1560476_at		AF290476	Homo sapiens clone 38-1G2, mRNA sequence.
1.521	202221_s_at	EP300	AV727101	AV727101 HTC Homo sapiens cDNA clone HTCBGF05 5, mRNA sequence.
1.521	204953_at	SNAP91	NM_014841
1.516	226716_at	KIAA1205	AB033031	KIAA1205
1.508	220975_s_at	C1QTNF1	NM_030968	C1q and tumor necrosis factor related protein 1
1.463	229024_at		BF056892	CDNA FLJ10151 fis, clone HEMBA1003402
1.461	242657_at		AI078033	Transcribed sequence with weak similarity to protein ref:NP_060219.1 (H.sapiens) hypothetical protein FLJ20294 [Homo sapiens]
1.451	216348_at	RPS17	AL049693
1.44	225288_at	COL27A1	AI949136	collagen, type XXVII, alpha 1
1.433	1565763_at	FLJ14834	AA137014	hypothetical protein FLJ14834
1.403	215372_x_at		AU146794	MRNA; cDNA DKFZp686P13243 (from clone DKFZp686P13243)
1.391	1555523_a_at	FYCO1	BC007218	FYVE and coiled-coil domain containing 1
1.378	215116_s_at	DNM1	AF035321	dynamin 1
1.362	229902_at	LOC285682	AW083785	fms-related tyrosine kinase 4
1.355	213131_at	OLFM1	R38389	yc96b12.s1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:23744 3, mRNA sequence.
1.341	214246_x_at	MINK	AI859060	wl66d06.x1 NCI_CGAP_Brn25 Homo sapiens cDNA clone IMAGE:2429867 3, mRNA sequence.
1.337	1567622_at	ABLIM2	AJ431609	actin binding LIM protein family, member 2
1.321	1564224_x_at	LOC283314	AK091792	hypothetical protein LOC283314
1.319	220559_at	EN1	NM_001426	engrailed homolog 1
1.299	212664_at	TUBB5	AL567012	tubulin, beta, 5
1.279	212793_at	DAAM2	BF513244	dishevelled associated activator of morphogenesis 2
1.256	226913_s_at	SOX8	BF527050	602039960F2 NCI_CGAP_Brn67 Homo sapiens cDNA clone IMAGE:4177598 5, mRNA sequence.
1.25	1557611_at	TTLL4	AW779022	tubulin tyrosine ligase-like family, member 4
1.246	204273_at	EDNRB	NM_000115	endothelin receptor type B
1.226	218983_at	C1RL	NM_016546	complement component 1, r subcomponent-like
1.219	230682_x_at	ABCC3	BF515888	ATP-binding cassette, sub-family C (CFTR/MRP), member 3
1.217	232935_at		AA569225	MRNA; cDNA DKFZp686K13109 (from clone DKFZp686K13109)
1.214	230081_at		AI694325	Similar to RIKEN cDNA B130016O10 gene (LOC345557), mRNA
1.2	227870_at	NOPE	AB046848	likely ortholog of mouse neighbor of Punc E11
1.199	219064_at	ITIH5	NM_030569	inter-alpha (globulin) inhibitor H5
1.198	244324_at	MGC33382	BG283921	602407676F1 NIH_MGC_91 Homo sapiens cDNA clone IMAGE:4519747 5, mRNA sequence.
1.195	227239_at	DRCTNNB1A	AV734839	AV734839 cdA Homo sapiens cDNA clone cdAAHD06 5, mRNA sequence.
1.188	224562_at	WASF2	AK025566	WAS protein family, member 2
1.188	35147_at	MCF2L	AB002360	MCF.2 cell line derived transforming sequence-like
1.18	231106_at	LOC255326	AI684591	CDNA clone IMAGE:4648334, partial cds
1.176	212875_s_at	C21orf25	AP_001745
1.169	205970_at	MT3	NM_005954	metallothionein 3 (growth inhibitory factor (neurotrophic))
1.165	224970_at	NFIA	AA419275	zv35e01.s1 Soares ovary tumor NbHOT Homo sapiens cDNA clone IMAGE:755640 3, mRNA sequence.
1.162	52651_at	COL8A2	AI806793	collagen, type VIII, alpha 2
1.155	233383_at		AU156482	AU156482 PLACE1 Homo sapiens cDNA clone PLACE1003528 3, mRNA sequence.
1.15	221636_s_at	FLJ20605	AL136931	hypothetical protein FLJ20605
1.141	206540_at	GLB1L	NM_024506	galactosidase, beta 1-like
1.135	227318_at		AL359605	CDNA FLJ42883 fis, clone BRHIP3006683
1.129	207016_s_at	ALDH1A2	AB015228	aldehyde dehydrogenase 1 family, member A2
1.121	235221_at		R52665	yg99a07.s1 Soares infant brain 1NIB Homo sapiens cDNA clone IMAGE:41525 3, mRNA sequence.
1.12	233158_at	KRTHB2	AI082251	keratin, hair, basic, 2
1.095	205876_at	LIFR	NM_002310	leukemia inhibitory factor receptor
1.091	202222_s_at	DES	NM_001927	desmin
1.085	211677_x_at	IGSF4B	AF062733	immunoglobulin superfamily, member 4B
1.084	1554219_at	MGC34919	BC027448	hypothetical protein MGC34919
1.084	214683_s_at	CLK1	AI251890	CDC-like kinase 1
1.082	208871_at	DRPLA	D31840	dentatorubral-pallidoluysian atrophy (atrophin-1)
1.081	212494_at	TENC1	AB028998	tensin like C1 domain containing phosphatase
1.079	239270_at		AL133721	Similar to RIKEN cDNA B130016O10 gene (LOC345557), mRNA
1.074	238904_at		D60432	HUM108B01A Clontech human fetal brain polyA+ mRNA (#6535) Homo sapiens cDNA clone GEN-108B01 3, mRNA sequence.
1.068	222802_at	EDN1	J05008	Homo sapiens endothelin-1 (EDN1) gene, complete cds.
1.068	226304_at	HSPB6	AA563621	hypothetical protein FLJ32389
1.063	225355_at	DKFZP761M1511	AK026748	hypothetical protein DKFZP761M1511
1.062	234345_at		AL157439	MRNA; cDNA DKFZp434A225 (from clone DKFZp434A225)
1.054	206377_at	FOXF2	NM_001452	forkhead box F2
1.052	226911_at	FLJ39155	BF114725	hypothetical protein FLJ39155
1.03	219511_s_at	SNCAIP	NM_005460	synuclein, alpha interacting protein (synphilin)
1.023	1562067_at		BC042865	Clone IMAGE:5312957, mRNA
1.011	221850_x_at	CTGLF1	AI826075	ARF GTPase-activating protein, mRNA (cDNA clone IMAGE:5811925), partial cds
0.997	233079_at		AK026802	CDNA: FLJ23149 fis, clone LNG09335
0.993	1554420_at	ATF3	AB078026	activating transcription factor 3
0.982	209343_at	EFHD1	BC002449	EF hand domain containing 1
0.969	232861_at	PDP2	AB037769	pyruvate dehydrogenase phosphatase isoenzyme 2
0.947	1553243_at	FLJ14641	NM_032817	hypothetical protein FLJ14641
0.92	222167_at		AK021836	MRNA; cDNA DKFZp686H14239 (from clone DKFZp686H14239)
0.908	203178_at	GATM	NM_001482	glycine amidinotransferase (L-arginine:glycine amidinotransferase)
0.88	202060_at	SH2BP1	NM_014633	SH2 domain binding protein 1 (tetratricopeptide repeat containing)
0.714	210135_s_at	SHOX2	AF022654	short stature homeobox 2
