Accession No.	Gene Description
M60784	snRNP-specific protein A
D28589	KIAA00167
M30448	Casein kinase II-beta
X14046	CD37
X55733	Initiation factor 4B, EIF-4B
X73358	hAES-1 m
U04241	Homolog of Drosophila enhancer of split
D87451	KIAA0262
U07705	p58 GTA protein kinase
D50310	Cyclin I
X78136	hnRNP-E2
M84711	Ribosomal protein S3A, component of S40 subunit
X51466	Elongation factor 2, EF-2
X57959	Ribosomal protein L7
U25789	Ribosomal protein L21
X55954	HL23 ribosomal protein
X53505	Ribosomal protein S12
X03689	Elongation factor TU (N-terminus)
M31520	Ribosomal protein S24
X16064	Translationally controlled tumor protein
X62691	Ribosomal protein S24
X56932	23-kd highly basic protein
Z21507	Elongation factor-1 gamme, EF-1 gamma
X69391	Ribosomal protein L6
Z25749	Ribosomal protein S7
X69150	Ribosomal protein S18
X60489	Elongation factor-1 beta, EF-1 beta
Z26876	Ribosomal protein L38
J03592	ADP/ATP translocase
D49824	HLA-B
Z12962	Homolog to yeast ribosomal protein L41
J04617	Elongation factor-1 EF-1 alpha
L04483	Ribosomal protein S21 (RPS21)
M17886	Acidic ribosomal phosphoprotein P1
M36072	Ribosomal protein L7a (surf3)
D89667	c-myc binding protein
AB002533	qip1, importin  alpha 3
14973	Ribosomal protein S29
M24194	MHC protein homologous to chicken B-complex protein
D13413	Tumor-associated 120 kd
X06617	Ribosomal protein S11
X79234	Ribosomal protein L11
X00274	HLA-DR alpha
J00105	beta 2-microglobulin
U14972	Ribosomal protein S10
U14970	Ribosomal protein S5
U14971	Ribosomal protein S9
U58682	Ribosomal protein S28
U14969	Ribosomal protein L28
X55715	40S ribosomal protein s3
X53777	L23 m for putative ribosomal protein
M14199	Laminin receptor (2H5 epitope)
U43901	Laminin receptor/p40 ribosome-associated protein
Z28407	Ribosomal protein L8
M64716	Ribosomal protein S25
D87735	Ribosomal protein L14
X17206	Ribosomal protein S2
M17885	Acidic ribosomal phosphoprotein P0
D23660	Ribosomal protein
S79522	Ubiquitin carboxyl extension protein
L06499	Ribosomal protein L37a (RPL37A)
L06505	Ribosomal protein L12
M77232	Ribosomal protein S6
D14530	Homolog of yeast ribosomal protein S28
X67247	Ribosomal protein S8
M55409	Elongation factor 1-epsilon, EF-1 epsilon
M81757	S19 ribosomal protein
U12465	Ribosomal protein L35
U12404	Ribosomal protein L10a, S60 subunit component
X80822	Ribosomal L18A
L11566	Ribosomal protein L18 (RPL18)
X73460	Ribosomal protein L3
X63527	Ribosomal protein L19
M60854	Ribosomal protein S16
X03342	Ribosomal protein L32
M13934	Ribosomal protein S14
X15940	Ribosomal protein L31
L19527	Ribosomal protein L27 (RPL27)
M18000	Ribosomal protein S17
U09953	Ribosomal protein L9
X64707	Ribosomal protein L13
U70439	Silver-stainable protein SSP29
U94855	Translation initiation factor 3, EIF3-P47
Z49148	Ribosomal protein L29
X74104	TRAP beta-subunit
U06155	Chromosome 1q subtelomeric
L13848	Helicase A, DDX9: DEAD/H
U85611	DNA-PK interaction protein (KIP)
