dataset1	gene/protein	hits2	region	up/down3
M	CYP1B1	35	2p21	down
M	PAI-2	32	18q21.3	down
M	CA12	19	15q22	down
M	IGKV1D-13	18	2p12	up
P	factorVII	36	13q34	up
P	ICAM-1	36	19p13.3-p13.2	up
P	SHBG	36	17p13-p12	up
P	betacellulin	36	4q13-q21	up
P	alpha-1antitrypsin	36	14q32.1	up
P	Creactiveprotein	36	1q21-q23	up
P	carcinoembryonicantigen	36	19q13.1-q13.2	down
P	MMP-2	36	16q13-q21	up
P	adiponectin	36	3q27	down
P	thrombospondin-1	36	15q15	up
P	apolipoproteinH	36	17q23-qter	down
P	EGF-R	36	7p12	up
P	SGOT	36	6q14-q15	down
P	IL-18	35	11q22.2-q22.3	down
P	MMP-3	35	11q22.3	down
P	lymphotactin	35	1q23	up
P	tissuefactor	35	1p22-p21	down
P	MCP-1	35	17q11.2-q12	up
P	MDC	34	16q13	down
P	prostatespeci¯cantigen;free	34	19q13.41	down
P	glutathioneS-transferase	34	NA	up
P	IgM	33	NA	up
P	stemcellfactor	33	12q22	up
P	EGF	32	4q25	up
P	serumamyloidP	31	1q21-q23	up
P	brain-derivedneurotrophicfactor	30	11p13	up
P	HB-EGF	28	5q23	up
P	lipoprotein(a)	27	6q26	up
P	IL-4	26	5q31.1	up
P	IL-3	25	5q31.1	up
P	RANTES	22	17q11.2-q12	up
P	apolipoproteinA1	22	11q23-q24	up
P	cancerantigen19-9	21	NA	down
