37 (fold)	10 (fold)	Protein/gene	Accession number
2.1	2.4	CDC2-related protein kinase CHED	M80629
2.6	2.1	dual-specificity mitogen-activated protein kinase kinase 6 (MAP kinase kinase 6; MAPKK 6; MKK6); MAPK/ERK kinase 6; SAPKK3	U39657
2.5	2.8	mitogen-activated protein kinase kinase kinase 5 (MAP/ERK kinase kinase 5; MAPKKK5; MEKK5); ASK1	D84476
2.3	2.4	checkpoint suppressor 1	U68723
2.4	2.2	met proto-oncogene; hepatocyte growth factor receptor precursor (HGF-SF receptor)	J02958
2.3	2.4	notch4; hnotch4	U95299
2	3.3	insulin-like growth factor binding protein 4 precursor (IGF-binding protein 4; IGFBP4; IBP4)	M62403
2	2.2	nuclear autoantigen 100-kDa (SP100)	M60618
3	2.2	tenascin-R	X98085
2.3	2.1	prohibitin (PHB)	S85655; U17179
2.4	4.2	IL-1 receptor accessory protein	AF029213
2	2.6	matrix metalloproteinase 1 (MMP1); interstitial collagenase precursor (CLG); fibroblast collagenase	X05231
2.2	2.2	RNA helicase	X98743
2.8	2.7	fuse-binding protein 2 (FBP2)	U69126
2.1	2	TIS11B protein; EGF response factor 1 (ERF1)	X79067
