GenBank Acc.	GeneSymbol	Cytoband	Bridge a	Description
NM_001123	ADK	10q22.2	0.006	adenosine kinase
NM_006408	AGR2	7p21.1	0.128	anterior gradient homolog 2 (Xenopus laevis)
NM_080429	AQP10	1q21.3	20.162	aquaporin 10
NM_001040118	ARAP1	11q13.4	0.141	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1
NM_006420	ARFGEF2	20q13.13	0.032	ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)
NM_181575	AUP1	2p13.1	0.129	ancient ubiquitous protein 1
NM_004776	B4GALT5	20q13.13	0.215	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5
NM_138639	BCL2L12	19q13.33	20.189	BCL2-like 12 (proline rich)
NM_020643	C11orf16	11p15.4	0.221	chromosome 11 open reading frame 16
NM_145061	C13orf3	13q12.11	20.107	chromosome 13 open reading frame 3
NM_024032	C17orf53	17q21.31	20.184	chromosome 17 open reading frame 53
NM_001144956	C1orf230	1q21.3	0.012	chromosome 1 open reading frame 230
NM_022106	C20orf177	20q13.33	0.167	chromosome 20 open reading frame 177
NM_000715	C4BPA	1q32.2	20.505	complement component 4 binding protein, alpha
NM_012337	CCDC19	1q23.2	20.162	coiled-coil domain containing 19
NM_015603	CCDC9	19q13.32	0.263	coiled-coil domain containing 9
NM_005408	CCL13	17q12	20.228	chemokine (C-C motif) ligand 13
NM_001252	CD70	19p13.3	20.204	CD70 molecule
NM_078481	CD97	19p13.12	20.137	CD97 molecule
NM_006383	CIB2	15q25.1	0.359	calcium and integrin binding family member 2
NM_182848	CLDN10	13q32.1	20.292	claudin 10
NM_001316	CSE1L	20q13.13	20.22	CSE1 chromosome segregation 1-like (yeast)
NM_024295	DERL1	8q24.13	0.007	Der1-like domain family, member 1
NM_001042517	DIAPH3	13q21.2	0.022	diaphanous homolog 3 (Drosophila)
NM_021120	DLG3	Xq13.1	20.039	discs, large homolog 3 (Drosophila)
NM_020877	DNAH2	17p13.1	20.378	dynein, axonemal, heavy chain 2
NM_018897	DNAH7	2q32.3	0.226	dynein, axonemal, heavy chain 7
NM_001394	DUSP4	8p21.1	0.007	dual specificity phosphatase 4
NM_004091	E2F2	1p36.12	0.22	E2F transcription factor 2
NM_006795	EHD1	11q13.1	0.248	EH-domain containing 1
