ID	Symbol	Name	Synonyms	Chromosome
91	ACVR1B	activin A receptor, type IB	ACTRIB|ACVRLK4|ALK4|SKR2	12
130399	ACVR1C	activin A receptor, type IC	ACVRLK7|ALK7	2
92	ACVR2A	activin A receptor, type IIA	ACTRII|ACVR2	2
93	ACVR2B	activin A receptor, type IIB	ACTRIIB|ActR-IIB|MGC116908	3
94	ACVRL1	activin A receptor type II-like 1	ACVRLK1|ALK-1|ALK1|HHT|HHT2|ORW2|SKR3|TSR-I	12
269	AMHR2	anti-Mullerian hormone receptor, type II	AMHR|MISR2|MISRII	12
657	BMPR1A	bone morphogenetic protein receptor, type IA	10q23del|ACVRLK3|ALK3|CD292|SKR5	10
658	BMPR1B	bone morphogenetic protein receptor, type IB	ALK-6|ALK6|CDw293	4
659	BMPR2	bone morphogenetic protein receptor, type II (serine/threonine kinase)	BMPR-II|BMPR3|BMR2|BRK-3|FLJ41585|FLJ76945|PPH1|T-ALK	2
7046	TGFBR1	transforming growth factor, beta receptor 1	AAT5|ACVRLK4|ALK-5|ALK5|LDS1A|LDS2A|SKR4|TGFR-1	9
7048	TGFBR2	transforming growth factor, beta receptor II (70/80kDa)	AAT3|FAA3|LDS1B|LDS2B|MFS2|RIIC|TAAD2|TGFR-2|TGFbeta-RII	3
7049	TGFBR3	transforming growth factor, beta receptor III	BGCAN|betaglycan	1
