Uncharacterized genes	Protein domain and similarity	Correlation	Unigene
A430017F18	No similar gene	1	Mm.44883
AU044919	No similar gene	1	Mm.14438
2310075M17Rik	Similar to S3543 GTP-binding protein (90%)	0.999	Mm.196592
Ell2-pending	Eleven-nineteen lysine-rich leukemia gene 2	0.998	Mm.21288
LOC207685	Hypothetical protein	0.998	Mm.38214
2310061I04Rik	No similar gene	0.998	Mm.5624
5830431A10Rik	Contain Cor1/Xlr/Xmr conserved region	0.997	Mm.1148
2700007P21Rik	Unknown protein	0.997	Mm.3587
B930086G17	No similar gene	0.992	Mm.24738
2410166I05Rik	Hypothetical protein	0.989	Mm.30153
D10Ertd749e	Similar to ZW10 interacting protein-1	0.986	Mm.38994
2210023F24Rik	Contain B-box Zn-finger and SPRY domain	0.983	Mm.5510
Riken 4237666	No significant similar gene	0.978	Mm.276231
6230421P05Rik	No similar gene	0.978	Mm.26147
4631408O11Rik	No similar gene	0.964	Mm.2935
1110054N06Rik	Unknow protein with Ankyrin repeat	0.96	Mm.15351
D13Ertd275e	Hypothetical protein	-0.952	Mm.21231
Plac8	Uncharacterized Cys-rich domain containing protein	-0.96	Mm.34609
Cluster Incl X15378	Similar to Myeloperoxidase and Eosinophil peroxidase precursor	-0.975	Mm.4668
Cluster Incl X67863	Similar to Octapeptide-repeat protein T2	-0.995	Mm.35868
AW060549	Similar to Retrovirus-related POL polyprotein	-0.999	Mm.29177
Cluster Incl X90778	Similar to Histone H2B	-1	Mm.21579
BC018347	Similar to translation initiation factor IF-2	-1	Mm.154309
2610036L13Rik	No similar gene	-1	Mm.23526
AI132321	Contain phospholipase D active site motif	-1	Mm.203915
