Gene	Unigene	Fold	Function
CDC20	Hs.82906	11.2	Cell cycle control
RRM2	Hs.75319	6.5	DNA replication
MYO6	Hs.118483	9.3	Other
BIRC5	Hs.1578	9.7	Apoptosis/cell cycle control
CCNB2	Hs.194698	6.4	Cell cycle control
UBE2C	Hs.93002	5.1	Cell cycle
DPP3	Hs.22880	4.7	Metallopeptidase
SLC29A	Hs.32951	5.1	Nucleoside transport
C20orf1	Hs.9329	6.5	Mitosis/cell proliferation
CCNB1	Hs.23960	5.1	Cell cycle/mitosis
NEK2	Hs.153704	14.9	Cell cycle control/mitosis
ESP1	Hs.153479	7.5	Other
CKS2	Hs.83758	5.2	Cell cycle/cell proliferation
MAP7	Hs.146388	4.6	Microtubule cytoskeleton
BUB1B	Hs.36708	5.2	Cell cycle
PP1RI12	Hs.130760	9.2	Signal transduction
MPPE1	Hs.154145	6.7	Other
PLN	Hs.85050	48.9	Calcium channel regulator
PTGI	Hs.302085	19.8	Prostaglandin metabolism
AOC3	Hs.198241	8.6	Cell adhesion
TCEAL1	Hs.95243	5	Transcription Factor
PTRF	Hs.29759	5.1	Other
ADH1B	Hs.4	14.6	Alcohol dehydrogenase
PRELP	Hs.76494	14.7	Extracellular matrix
TNA	Hs.65424	11.2	Extracellular matrix
RODH	Hs.11958	26.8	Androgen biosynthesis
CAV1	Hs.74034	8.3	Plasma membrane protein
SORBS	Hs.108924	14.3	Other
ZNF144	Hs.430121	12.7	Other
PMP22	Hs.103724	7.8	Negative control cell proliferation
TACC1	Hs.173159	4.9	Oncogenesis
PDE2A	Hs.154437	9.7	Signal transduction
RGS2	Hs.78944	8.1	Cell cycle
SPARCL	Hs.75445	6.9	Other
SOCS2	Hs.405946	6	Other
SNRPD	Hs.424327	6.6	Other
MYH11	Hs.78344	60.5	Cytoskeleton organization
KCNMB	Hs.93841	16	Ion channel
SGCE	Hs.110708	6.1	Cell-matrix adhesion
FHL1	Hs.239069	17.9	Transcription co-activator
TAGLN	Hs.43399	14.1	Other
ARHGA	Hs.250830	10	Rho GTPase activator
CDO1	Hs.3229	6.3	Electron transport
JAM3	Hs.334703	4.5	Other
TCF8	Hs.232068	6.5	Transcription Factor
CNN1	Hs.21223	28.4	Cytoskeleton
DES	Hs.279604	26.5	Cytoskeleton organization
NDN	Hs.50130	8.6	Cell cycle control
ADAMT	Hs.58324	6.3	Extracellular matrix
OGN	Hs.109439	18.6	Growth factor/extracellular matrix
SMTN	Hs.149098	5.5	Actin cytoskeleton
RECK	Hs.29640	4.5	Metalloproteinase inhibitor
TPM1	Hs.77899	5.7	Cytoskeleton
ITPR1	Hs.198443	9.3	Integral membrane protein
CCL14	Hs.20144	14.7	Chemokine
AEBP1	Hs.439463	10.5	Other
THRA	Hs.724	6.1	Transcription factor
TGFBR3	Hs.342874	8.6	Signal transduction
RNASE4	Hs.283749	7.5	mRNA cleavage
BTEB1	Hs.150557	6.2	Transcription Factor
COX7A1	Hs.421621	5.4	Other
FXYD6	Hs.3807	8.8	Ion Transport
PPP1R3	Hs.303090	6.1	Myosin phosphatase
FXYD1	Hs.160318	15	Integral membrane protein
MAOB	Hs.82163	13.9	Mitochondrial membrane
PTGER3	Hs.170917	8.9	G-protein coupled receptor
KCNMA	Hs.89463	10.5	Cation transport
CRYAB	Hs.408767	6.5	Other
AHD2	Hs.325650	4.7	ATP binding
DES	Hs.279604	32.3	Cytoskeleton
NGFB	Hs.2561	5.5	Growth factor
HRMT1L	Hs.235887	4.9	Signal transduction
KLF2	Hs.107740	6.6	Transcription Factor
TIMP2	Hs.6441	10.1	Metalloproteinase inhibitor
GATA6	Hs.50924	8.2	Transcription Factor
MEIS2	Hs.104105	6.4	Transcription regulation
LHFP	Hs.93765	6.2	DNA binding
FY	Hs.183	20.3	G-protein coupled receptor
TNFSF1	Hs.26401	8.6	Induction of apoptosis
MYLK	Hs.211582	11.8	Signal transducer
DCN	Hs.433989	9.4	Other
KCNJ8	Hs.102308	7.6	Ion channel inhibitor
ACTG2	Hs.378774	22.6	Other
ALEX1	Hs.9728	5.3	Other
REPRIM	Hs.100890	6.6	Cell cycle arrest
DPT	Hs.80552	12.2	Extracellular matrix
SNAP25	Hs.84389	18.4	Neurotransmitter release
TNXB	Hs.169886	15.9	Extracellular matrix
KDR	Hs.12337	4.8	Vascular endothelial GF receptor
GAS1	Hs.65029	13.4	Cell cycle arrest
ADCY2	Hs.2352	7.2	Intracellular signaling
EMCN	Hs.41135	18.1	Cation transport
MEF2C	Hs.78995	4.5	Transcription Factor
CASQ2	Hs.57975	7.2	Calcium ion binding
AQP1	Hs.76152	4.8	Extracellular matrix
TRPC1	Hs.250687	4.6	Cation transport
HLF	Hs.250692	8.4	Transcription factor
TPM2	Hs.300772	6.1	Cytoskeleton
OLM1	Hs.74376	9	Endoplasmic reticulum
FLNC	Hs.58414	6.7	Actin binding
HSPB2	Hs.78846	9.9	Heatshock response
