Probe Set ID	Gene Symbol	Fold Change	Gene Title
230560_at	STXBP6	12.9280637	syntaxin binding protein 6 (amisyn)
202286_s_at	TACSTD2	5.677210029	tumor-associated calcium signal transducer 2
238029_s_at	SLC16A14	5.279010402	solute carrier family 16, member 14 (monocarboxylic acid transporter 14)
206542_s_at	SMARCA2	5.273667676	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
203234_at	UPP1	5.106050916	uridine phosphorylase 1
201669_s_at	MARCKS	5.084353647	myristoylated alanine-rich protein kinase C substrate
203797_at	VSNL1	4.936907458	visinin-like 1
218671_s_at	ATPIF1	4.799907711	ATPase inhibitory factor 1
220994_s_at	STXBP6	4.621379803	syntaxin binding protein 6 (amisyn)
204472_at	GEM	4.158676861	GTP binding protein overexpressed in skeletal muscle
227231_at	KIAA1211	4.091102621	KIAA1211 protein
203445_s_at	CTDSP2	4.070896536	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2
213624_at	SMPDL3A	4.012391308	sphingomyelin phosphodiesterase, acid-like 3A
220318_at	EPN3	4.0102204	epsin 3
203798_s_at	VSNL1	3.991462437	visinin-like 1
202481_at	DHRS3	3.915887427	dehydrogenase/reductase (SDR family) member 3
205107_s_at	EFNA4	3.839129244	ephrin-A4
218692_at	GOLSYN	3.837816176	Golgi-localized protein
224785_at	FAM100B	3.817470489	family with sequence similarity 100, member B
234562_x_at	LOC728678	3.816709241	Similar to p40
212654_at	TPM2	3.805052025	tropomyosin 2 (beta)
201670_s_at	MARCKS	3.78186402	myristoylated alanine-rich protein kinase C substrate
227774_s_at	IMPAD1	3.719149801	Inositol monophosphatase domain containing 1
209301_at	CA2	3.669075122	carbonic anhydrase II
212867_at	---	3.651628346	CDNA clone IMAGE:5314178
218677_at	S100A14	3.6124911	S100 calcium binding protein A14
223895_s_at	EPN3	3.605435724	epsin 3
1554594_at	ARHGAP27 /// LOC201175	3.605344888	hypothetical protein LOC201175 /// Rho GTPase activating protein 27
228220_at	FCHO2	3.567247184	FCH domain only 2
226463_at	ATP6V1C1	3.541645257	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1
208733_at	RAB2A	3.520849184	RAB2A, member RAS oncogene family
203207_s_at	MTFR1	3.42333758	mitochondrial fission regulator 1
225820_at	PHF17	3.40422126	PHD finger protein 17
225613_at	LOC100128443 /// MAST4	3.393981071	microtubule associated serine/threonine kinase family member 4 /// hypothetical protein LOC100128443
222309_at	C6orf62	3.337956058	Chromosome 6 open reading frame 62
217707_x_at	SMARCA2	3.33429053	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
222496_s_at	RBM47	3.33316132	RNA binding motif protein 47
220474_at	SLC25A21	3.317240867	solute carrier family 25 (mitochondrial oxodicarboxylate carrier), member 21
203208_s_at	MTFR1	3.276636297	mitochondrial fission regulator 1
