Mouse Probe Set ID	Gene Title	Gene Symbol	Gene Ontology Biological Process	Gene Ontology Cellular Component	Gene Ontology Molecular Function	Human Probe Set ID	Gene Symbol
1431609_a_at	acid phosphatase 5, tartrate resistant	Acp5	---	5615 // extracellular space // traceable author statement /// 5764 // lysosome // inferred from electronic annotation	3993 // acid phosphatase activity // inferred from electronic annotation /// 16787 // hydrolase activity // inferred from electronic annotation	204638_at	ACP5
1416617_at	acetyl-Coenzyme A synthetase 2 (AMP forming)-like	Acas2l	6085 // acetyl-CoA biosynthesis // inferred from direct assay /// 8152 // metabolism // inferred from sequence or structural similarity	5739 // mitochondrion // inferred from electronic annotation /// 5759 // mitochondrial matrix // inferred from direct assay	3824 // catalytic activity // inferred from sequence or structural similarity /// 3987 // acetate-CoA ligase activity // inferred from direct assay /// 16874 // ligase activity // inferred from electronic annotation	234483_at	ACSS1
1451004_at	activin receptor IIA	Acvr2	6468 // protein amino acid phosphorylation // inferred from electronic annotation /// 7178 // transmembrane receptor protein serine/threonine kinase signaling pathway // inferred from electronic annotation	5615 // extracellular space // traceable author statement /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement	4672 // protein kinase activity // inferred from electronic annotation /// 4674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 4675 // transmembrane receptor protein serine/threonine kinase activity // inferred from electronic annotation /// 4702 // receptor signaling protein serine/threonine kinase activity // inferred from electronic annotation /// 4713 // protein-tyrosine kinase activity // inferred from sequence or structural similarity /// 4872 // receptor activity // inferred from electronic annotation /// 5024 // transforming growth factor beta receptor activity // inferred from electronic annotation /// 5524 // ATP binding // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation	228416_at	ACVR2A
1453410_at	---	---	---	---	---	223333_s_at	ANGPTL4
1453080_at	RIKEN cDNA 9130022K13 gene	9130022K13Rik	---	---	---	221087_s_at	APOL3
1416203_at	aquaporin 1	Aqp1	6810 // transport // inferred from electronic annotation /// 6833 // water transport // traceable author statement	5615 // extracellular space // traceable author statement /// 5887 // integral to plasma membrane // traceable author statement /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement	5215 // transporter activity // inferred from electronic annotation /// 15250 // water channel activity // traceable author statement	209047_at	AQP1
1440764_at	V-raf murine sarcoma 3611 viral oncogene homolog	Araf1	74 // regulation of cell cycle // inferred from electronic annotation /// 6468 // protein amino acid phosphorylation // inferred from electronic annotation /// 7165 // signal transduction // inferred from sequence or structural similarity /// 7242 // intracellular signaling cascade // inferred from sequence or structural similarity /// 50875 // cellular physiological process // inferred from electronic annotation	5739 // mitochondrion // inferred from direct assay	4672 // protein kinase activity // inferred from electronic annotation /// 4674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 4713 // protein-tyrosine kinase activity // inferred from sequence or structural similarity /// 5057 // receptor signaling protein activity // inferred from sequence or structural similarity /// 5515 // protein binding // inferred from physical interaction /// 5524 // ATP binding // inferred from electronic annotation /// 16301 // kinase activity // inferred from electronic annotation /// 16740 // transferase activity // inferred from electronic annotation /// 19992 // diacylglycerol binding // inferred from electronic annotation	201895_at	ARAF
1426952_at	Rho GTPase activating protein 18	Arhgap18	---	---	---	225166_at	ARHGAP18
1441618_at	RIKEN cDNA B130017I01 gene	B130017I01Rik	7242 // intracellular signaling cascade // inferred from sequence or structural similarity	---	5096 // GTPase activator activity // inferred from electronic annotation /// 19992 // diacylglycerol binding // inferred from electronic annotation	203910_at	ARHGAP29
1436171_at	RIKEN cDNA 6030405P05 gene	6030405P05Rik	---	---	---	241346_at	ARHGAP30
1419081_at	autophagy 10-like (S. cerevisiae)	Apg10l	6512 // ubiquitin cycle // inferred from electronic annotation /// 6810 // transport // inferred from electronic annotation /// 6914 // autophagy // inferred from electronic annotation /// 15031 // protein transport // inferred from electronic annotation	---	5515 // protein binding // inferred from physical interaction	243477_at	ATG10
1451152_a_at	ATPase, Na+/K+ transporting, beta 1 polypeptide	Atp1b1	6813 // potassium ion transport // inferred from electronic annotation /// 6814 // sodium ion transport // inferred from electronic annotation	5886 // plasma membrane // inferred from direct assay /// 5890 // sodium:potassium-exchanging ATPase complex // inferred from electronic annotation /// 16020 // membrane // inferred from electronic annotation /// 16021 // integral to membrane // traceable author statement /// 16323 // basolateral plasma membrane // inferred from direct assay	5391 // sodium:potassium-exchanging ATPase activity // inferred from electronic annotation	201242_s_at	ATP1B1
