Affymetrix code	GenBank accession number	Gene name
40749_at	X07203	CD20-related S7
38018_g_at	U05259	CD79/Ig alpha
619_s_at	HUMB1LYM	CD20-related S7
37988_at	M89957	CD79/Ig beta
38017_at	U05259	CD79/Ig alpha
34210_at	N34210	CDw52 (CAMPATH-1 antigen)
41585_at	AB018289	unknown
1096_g_at	HUMCSPC	CD19
266_s_at	HUMCD24B	CD24
38578_at	M63928	CD27
38992_at	X64229	DEK oncogene
38075_at	X68194	synaptophysin-like prot.
33396_at	U12472	glutathione S-transferase
37112_at	AB002384	unknown
36192_at	D83777	unknown
33999_f_at	X58398	VH5 pseudogene
37021_at	X16832	cathepsin H
41352_at	X62822	sialyltransferase 1
41609_at	U15085	HLA-DMB
31869_at	AB014540	SWAP-70
38242_at	AF068180	BLNK
32941_at	M91196	ICSBP1, interferon consensus seq. bdg. prot.1
41790_at	AL031230	succinate-semialdehyde DH
38522_s_at	X52785	CD22
38968_at	AB005047	SH3-domain bdg. prot. 5
794_at	HSPTP1C	PTP1C
829_s_at	HSU21689	glutathione S-transferase pi
41356_at	W27619	BCL11A
1717_s_at	HSU45878	human inhibitor of apoptosis Prot. 1
37479_at	M54992	CD72
37043_at	AL021154	ID3
35974_at	U10485	lymphoid-restricted membrane protein
38391_at	M94345	macrophage capping protein
34224_at	AC_004770	fatty acid desaturase 3
41355_at	N95229	unknown
36878_f_at	M60028	HLA-DQB1
35883_at	X66079	Spi-B (Spi-1/Pu.1 related)
37417_at	M36542	POU domain, class 2, TF2
34376_at	AB019517	PK inhibitor gamma
36773_f_at	M81141	HLA-DQB1
37598_at	D79990	Ras association (RalGDS/AF-6) domain family 2
34498_at	D89974	vanin-2
36009_at	AF091092	unknown
40723_at	AJ010059	SHP2 interacting transmembrane adaptor
41503_at	AB020661	unknown
38893_at	AL008637	neutrophil cytosolic factor 4
37565_at	X85750	monocyte to macrophage differentiation-associated
1004_at	HSBLR1A	BLR1
39929_at	AB023139	unknown
38774_at	U77942	syntaxin 7
1003_s_at	HSBLR1A	BLR1
35238_at	AB000509	TRAF5
37344_at	X62744	HLA-DMA
1518_at	HUMETS1A	ets-1
34000_r_at	X58398	VH5-pseudogene
36812_at	U92715	BCAR3
40621_at	U63809	prostate apoptosis response prot. 4
35149_at	AI865431	TNFRSF5
41337_at	AF072902	aminoterminal enhancer of split
38894_g_at	AL008637	neutrophil cytosolic factor
36595_s_at	S68805	glycine amidinotransferase
36634_at	U72649	BTG2
1977_s_at	HSCETS1	ets-1
37406_at	X94232	microtubule-ass. prot. RP/EB family member 2
37692_at	AI557240	diazepam binding inhibitor
37162_at	S72869	unknown
37974_at	AL050178	male-specific lethal 3-like 1
