unigeneID	Symbol	Name
Hs.225952	PTPRT	protein tyrosine phosphatase, receptor type, T
Hs.105700	SFRP4	secreted frizzled-related protein 4
Hs.76716	ITIH3	pre-alpha (globulin) inhibitor, H3 polypeptide
Hs.81934	ACADSB	acyl-Coenzyme A dehydrogenase, short/branched chain
Hs.169946	GATA3	GATA binding protein 3
Hs.75737	PCM1	pericentriolar material 1
Hs.75110	CNR1	cannabinoid receptor 1 (brain)
Hs.25913	PEX12	peroxisomal biogenesis factor 12
Hs.79241	BCL2	B-cell CLL/lymphoma 2
Hs.89404	MSX2	msh homeo box homolog 2 (Drosophila)
Hs.76781	ABCD3	ATP-binding cassette, sub-family D (ALD), member 3
Hs.2777	ITIH1	inter-alpha (globulin) inhibitor, H1 polypeptide
Hs.169266	NPY1R	neuropeptide Y receptor Y1
Hs.46319	SHBG	sex hormone-binding globulin
Hs.92384	JWA	vitamin A responsive; cytoskeleton related
Hs.155545	P37NB	37 kDa leucine-rich repeat (LRR) protein
Hs.101813	SLC9A3R2	solute carrier family 9 (sodium/hydrogen exchanger), isoform 3 regulatory factor 2
Hs.89695	INSR	insulin receptor
Hs.94070	OMD	osteomodulin
Hs.15303	KIAA0349	ubiquitin ligase E3 alpha-II
Hs.89399	ATP5G2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 2
Hs.82535	SLC6A12	solute carrier family 6 (neurotransmitter transporter, betaine/GABA), member 12
Hs.249159	ADRA2A	adrenergic, alpha-2A-, receptor
Hs.153618	HCGVIII-1	HCGVIII-1 protein
Hs.75474	NPHP1	nephronophthisis 1 (juvenile)
Hs.24125	C5orf7	chromosome 5 open reading frame 7
Hs.19699	CGTHBA	Conserved gene telomeric to alpha globin cluster
Hs.302421	GEMIN4	gem (nuclear organelle) associated protein 4
Hs.19126	SCAP1	src family associated phosphoprotein 1
Hs.92858	GUCA1A	guanylate cyclase activator 1A (retina)
Hs.46440	SLC21A3	solute carrier family 21 (organic anion transporter), member 3
Hs.737	ETR101	immediate early protein
Hs.301094	KIAA0326	KIAA0326 protein
Hs.153837	MNDA	myeloid cell nuclear differentiation antigen
Hs.23598	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)
Hs.82911	PTP4A2	protein tyrosine phosphatase type IVA, member 2
Hs.283749	RNASE4	ribonuclease, RNase A family, 4
Hs.4113	AHCYL1	S-adenosylhomocysteine hydrolase-like 1
Hs.21413	SLC12A5	solute carrier family 12, (potassium-chloride transporter) member 5
Hs.283677	GTPBP1	GTP binding protein 1
Hs.7022	DOCK3	dedicator of cyto-kinesis 3
Hs.2839	NDP	Norrie disease (pseudoglioma)
Hs.78913	CX3CR1	chemokine (C-X3-C motif) receptor 1
Hs.75206	PPP3CC	protein phosphatase 3 (formerly 2B), catalytic subunit, gamma isoform (calcineurin A gamma)
Hs.2421	SPRR2C	small proline-rich protein 2C
