probe	UGCluster	EntrezGene.ID	NAME	LumB	LumA	Normal	Basal	Her2
AGI_HUM1_OLIGO_A_23_P52761	Hs.2256	4316	matrix metalloproteinase 7 (matrilysin, uterine)	-0.729	-0.812	0.538	2.23	-0.402
AGI_HUM1_OLIGO_A_23_P117882	Hs.346950	NA	cellular retinoic acid binding protein 1	0.006	-0.191	0.298	1.363	0.594
AGI_HUM1_OLIGO_A_23_P252832	Hs.256697	NA	histidine triad nucleotide binding protein 1	0.091	0.01	-0.101	-0.171	0.012
AGI_HUM1_OLIGO_A_23_P157371	Hs.434053	NA	family with sequence similarity 3, member C	-0.232	-0.251	-0.026	0.317	-0.039
AGI_HUM1_OLIGO_A_23_P146220	Hs.194726	9530	BCL2-associated athanogene 4	0.643	0.149	0.337	-0.178	-0.329
AGI_HUM1_OLIGO_A_23_P113221	Hs.74624	5799	protein tyrosine phosphatase, receptor type, N polypeptide 2	1.053	0.232	0.372	-0.113	-0.314
AGI_HUM1_OLIGO_A_23_P118815	Hs.1578	NA	baculoviral IAP repeat-containing 5 (survivin)	0.646	-0.564	-0.797	0.677	0.103
AGI_HUM1_OLIGO_A_23_P166360	Hs.30743	23532	preferentially expressed antigen in melanoma	1.192	-0.246	0.161	1.741	0.371
AGI_HUM1_OLIGO_A_23_P73801	Hs.95243	9338	transcription elongation factor A (SII)-like 1	0.429	0.41	0.269	-0.629	-0.031
AGI_HUM1_OLIGO_A_23_P18684	Hs.86368	1047	calmegin	0.116	0.548	-0.219	-0.523	-0.177
AGI_HUM1_OLIGO_A_23_P83438	Hs.369120	65264	hypothetical protein FLJ13855	0.014	-0.021	-0.209	-0.103	0.269
AGI_HUM1_OLIGO_A_23_P25121	Hs.438695	NA	FK506 binding protein 11, 19 kDa	-0.064	-0.051	0.055	-0.023	0.029
AGI_HUM1_OLIGO_A_23_P12572	Hs.9216	840	caspase 7, apoptosis-related cysteine protease	-0.041	0.068	0.361	-0.156	-0.038
AGI_HUM1_OLIGO_A_23_P112159	Hs.449415	27161	eukaryotic translation initiation factor 2C, 2	0.072	-0.383	-0.145	0.379	0.025
AGI_HUM1_OLIGO_A_23_P200404	Hs.294008	204	adenylate kinase 2	-0.036	-0.058	0.155	0.239	-0.232
AGI_HUM1_OLIGO_A_23_P86959	Hs.289107	329	baculoviral IAP repeat-containing 2	-0.449	0.042	0.046	0.078	-0.256
AGI_HUM1_OLIGO_A_23_P204406	Hs.76272	5927	retinoblastoma binding protein 2	-0.096	-0.026	0.165	0.06	-0.063
AGI_HUM1_OLIGO_A_23_P110253	Hs.81665	3815	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	-0.706	0.028	2.209	0.974	-0.103
AGI_HUM1_OLIGO_A_23_P7732	Hs.128073	1070	centrin, EF-hand protein, 3 (CDC31 homolog, yeast)	0.206	0.198	-0.074	-0.432	-0.226
AGI_HUM1_OLIGO_A_23_P169137	Hs.11342	4814	ninjurin 1	-0.026	0.195	-0.151	-0.501	-0.155
AGI_HUM1_OLIGO_A_23_P101494	Hs.127826	NA	erythropoietin receptor	-0.012	0.263	0.165	-0.191	-0.353
AGI_HUM1_OLIGO_A_23_P50096	Hs.87491	7298	thymidylate synthetase	0.017	-0.198	-0.486	0.112	-0.161
