Accession No.	Gene Name	Gene Symbol	Fold
BC058926	Catenin (cadherin-associated protein), A1, 88 kd	CTNNB1	-6.41
L41349	Phospholipase C, A4	PLCB4	-4.15
AF141315	?-1,4-N-acetylglucosaminyltransferase	4GNT	-4.12
AY358654	Cadherin 19, type 2	CDH19	-3.69
AF178684	Cytokine receptorlike factor 1	CRLF1	-3.55
BC032000	Zinc finger, DHHC domain containing 11	ZDHHC11	-3.24
BC035625	Early growth response 2 (Krox-20 homolog, Drosophila)	EGR2	-3.12
AB024705	Fls485	LOC51066	-2.88
BC006175	v-Jun sarcoma virus 17 oncogene homologue (avian)	JUN	-2.73
BX641153	Chromosome 9 open reading frame 61	C9ORF61	-2.7
BC006322	Activating transcription factor 3	ATF3	-2.55
AF007154	Talin 2	TLN2	-2.54
X71937	Tenascin XB	TNXB	-2.52
AF064876	Hyperpolarization activated cyclic nucleotide-gated potassium channel 1	HCN1	-2.49
AB020629	ATP-binding cassette, subfamily A (ABC1), member 8	ABCA8	-2.48
BC023515	Slit homologue 3 (Drosophila)	SLIT3	-2.44
M62829	Early growth response 1	EGR1	-2.41
BC069394	Chemokine (C-C motif) ligand 26	CCL26	-2.28
AY358121	Leucine-rich repeat LGI family, member 4	LGI4	-2.23
BC022348	KIAA1598	KIAA1598	-2.12
BC016475	Serum deprivation response (phosphatidylserine-binding protein)	SDPR	-2.06
BC025790	Similar to AVLV472;serine protease inhibitor, Kazal type 1	SPINK1;MGC23985	-2.05
AF133270	Slit homologue 2 (Drosophila)	SLIT2	-1.98
AX748076	Zinc finger protein 610	ZNF610	-1.97
BC033308	Hypothetical protein FLJ32844	FLJ32844	-1.95
AF217750	Protocadherin A7	PCDHB7	-1.95
BC062575	Ras homolog gene family, member J	RHOJ	-1.91
AF263742.1	Golgi autoantigen, golgin subfamily a, member 6	GOLGA6	-1.88
AX773949	Neuroligin 3	NLGN3	-1.86
M64676	Potassium voltage-gated channel, Shaw-related subfamily, member 4	KCNC4	-1.84
X06562	Growth hormone receptor	GHR	-1.81
AK025905	SRY (sex-determining region Y)-box 17	SOX17	-1.81
BC037539	Angiomotinlike 1	AMOTL1	-1.8
BC018056	Peanutlike 2 (Drosophila)	PNUTL2	-1.78
BC041140	Solute carrier organic anion transporter family, member 2A1	SLCO2A1	-1.77
M69043	Nuclear factor of J light polypeptide gene enhancer in B-cells inhibitor, ?	NFKBIA	-1.76
AF427490	Chromosome 21 open reading frame 99	C21ORF99	-1.75
AY016009	Junctional adhesion molecule 2	JAM2	-1.74
BC045553	Hypothetical protein LOC286097	LOC286097	-1.73
AL713749	Sprouty homologue 2 (Drosophila)	SPRY2	-1.73
BC035476	EF hand domain-containing 1	EFHD1	-1.72
AK096929	Hypothetical protein MGC33887	MGC33887	-1.71
D14497	Mitogen-activated protein kinase kinase kinase 8	MAP3K8	-1.71
BC009860	TIR domainYcontaining adaptor inducing interferon A	TRIF	-1.71
BC057767	Chromosome 20 open reading frame 132	C20ORF132	-1.7
BX647919	Zinc finger protein 542	ZNF542	1.69
A49472	Interleukin 6 signal transducer (gp130, oncostatin M receptor)	IL6ST	-1.67
AF119230	MYST histone acetyltransferase (monocytic leukemia) 4	MYST4	-1.65
AX179302DS_1	Brother of CDO	BOC	-1.64
M96322	A kinase (PRKA) anchor protein (gravin) 12	AKAP12	-1.63
BC065518	KIAA1706 protein	KIAA1706	-1.63
AK025444	Pleckstrin homologylike domain, family B, member 2	PHLDB2	-1.63
AF518729	Tensinlike C1 domainYcontaining phosphatase	TENC1	-1.63
BC007008	Crystallin, ?B	CRYAB	-1.63
BC010998	Four and a half LIM domains 1	FHL1	-1.63
BC031651	Protein-O-mannosyltransferase 2	POMT2	-1.62
BC041412	Msh homeo box homologue 1 (Drosophila)	MSX1	-1.61
BC015982	Adenylate cyclase 4	ADCY4	-1.61
D83407	Down syndrome critical region gene 1Ylike 1	DSCR1L1	-1.61
