probeset1)	Gene Name	GenBank2)	f%3)	Description	References4)
201848_s_at	BNIP3	U15174	100	BCL2/adenovirus E1B 19 kDa interacting protein 3	49
202887_s_at	DDIT4	NM_019058	100	DNA-damage-inducible transcript 4	49
226452_at	PDK1	AU146532	100	pyruvate dehydrogenase kinase; isoenzyme 1	63
236180_at	-	W57613	100	Transcribed locus, hypothetical protein FLJ11267	-
223193_x_at	E2IG5	AF201944	94	growth and transformation-dependent protein	50
225342_at	AK3L1	AK026966	94	adenylate kinase 3-like 1	4
224345_x_at	E2IG5	AF107495	89	growth and transformation-dependent protein	50
202022_at	ALDOC	NM_005165	78	aldolase C; fructose-bisphosphate	63
210512_s_at	VEGF	AF022375	78	vascular endothelial growth factor	[4,63]
201849_at	BNIP3	NM_004052	61	BCL2/adenovirus E1B 19 kDa interacting protein 3	49
235850_at	WDR5B	BF434228	50	WD repeat domain 5B	64
