GO category	p-value(GO)	Gene Symbol	Common Name	Entrez ID	Fold Change	p-value
Wnt receptor signaling pathway	3.18E-02	WISP1	WNT1 inducible signaling pathway protein 1	8840	6.07	0.0036
Wnt receptor signaling pathway	3.18E-02	SFRP5	secreted frizzled-related protein 5	6425	6.03	0.0084
Wnt receptor signaling pathway	3.18E-02	FRZB	frizzled-related protein	2487	4.32	0.0036
Wnt receptor signaling pathway	3.18E-02	DKK3	dickkopf homolog 3 (Xenopus laevis)	27122	3.36	0.0107
Wnt receptor signaling pathway	3.18E-02	FRAT2	frequently rearranged in advanced T-cell lymphomas 2	23401	3.23	0.0112
Wnt receptor signaling pathway	3.18E-02	DKK3	dickkopf homolog 3 (Xenopus laevis)	27122	3.09	0.0117
lipid metabolism	9.89E-05	ALOX5AP	arachidonate 5-lipoxygenase-activating protein	241	22.03	0.0053
lipid metabolism	9.89E-05	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	12	17.92	0.0054
lipid metabolism	9.89E-05	TFCP2L1	transcription factor CP2-like 1	29842	14.61	0.0056
lipid metabolism	9.89E-05	ALOX5AP	arachidonate 5-lipoxygenase-activating protein	241	13.87	0.0057
lipid metabolism	9.89E-05	HSD11B2	hydroxysteroid (11-beta) dehydrogenase 2	3291	13.83	0.0056
lipid metabolism	9.89E-05	ACSL1	acyl-CoA synthetase long-chain family member 1	2180	12.31	0.0057
lipid metabolism	9.89E-05	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	12	10.52	0.006
lipid metabolism	9.89E-05	PTGDS	prostaglandin D2 synthase 21kDa (brain)	5730	10.32	0.006
lipid metabolism	9.89E-05	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	3248	8.82	0.0068
lipid metabolism	9.89E-05	ANGPTL4	angiopoietin-like 4	51129	8.48	0.0063
lipid metabolism	9.89E-05	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	3248	8.2	0.0064
lipid metabolism	9.89E-05	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	12	7.37	0.0034
lipid metabolism	9.89E-05	PLA2G10	phospholipase A2, group X	8399	7.17	0.0067
lipid metabolism	9.89E-05	BCDO2	beta-carotene dioxygenase 2	83875	5.55	0.0076
lipid metabolism	9.89E-05	BCDO2	beta-carotene dioxygenase 2	83875	5.05	0.0083
lipid metabolism	9.89E-05	APOL1	apolipoprotein L, 1	8542	5.03	0.0028
lipid metabolism	9.89E-05	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	3248	4.79	0.0034
lipid metabolism	9.89E-05	HAO1	hydroxyacid oxidase (glycolate oxidase) 1	54363	4.61	0.0112
lipid metabolism	9.89E-05	APOL2	apolipoprotein L, 2	23780	4.46	0.0085
lipid metabolism	9.89E-05	APOL2	apolipoprotein L, 2	23780	3.75	0.0127
lipid metabolism	9.89E-05	PRKAG2	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	51422	3.68	0.0099
lipid metabolism	9.89E-05	PRKAG2	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	51422	3.64	0.01
lipid metabolism	9.89E-05	SERINC2	serine incorporator 2	347735	3.41	0.0046
lipid metabolism	9.89E-05	ECH1	enoyl Coenzyme A hydratase 1, peroxisomal	1891	3.35	0.0043
lipid metabolism	9.89E-05	GGTLA1	gamma-glutamyltransferase-like activity 1	2687	3.34	0.0412
lipid metabolism	9.89E-05	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	3248	3.31	0.0109
lipid metabolism	9.89E-05	NR1H4	nuclear receptor subfamily 1, group H, member 4	9971	3.24	0.0117
lipid metabolism	9.89E-05	PLA2G3	phospholipase A2, group III	50487	3.22	0.0153
lipid metabolism	9.89E-05	SC4MOL	sterol-C4-methyl oxidase-like	6307	3.18	0.0106
lipid metabolism	9.89E-05	CYP3A4	cytochrome P450, family 3, subfamily A, polypeptide 4	1576	3.11	0.0129
lipid metabolism	9.89E-05	SGMS2	sphingomyelin synthase 2	166929	3.07	0.0119
lipid metabolism	9.89E-05	CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5	1577	3.01	0.0121
response to stress	4.98E-02	SAA1	serum amyloid A1	6288	39.44	0.005
response to stress	4.98E-02	GMPR	guanosine monophosphate reductase	2766	27.21	0.0051
response to stress	4.98E-02	ALOX5AP	arachidonate 5-lipoxygenase-activating protein	241	22.03	0.0053
response to stress	4.98E-02	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	12	17.92	0.0054
response to stress	4.98E-02	C3	complement component 3	718	14.63	0.0056
response to stress	4.98E-02	ALOX5AP	arachidonate 5-lipoxygenase-activating protein	241	13.87	0.0057
response to stress	4.98E-02	AOX1	aldehyde oxidase 1	316	13.25	0.0054
response to stress	4.98E-02	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	12	10.52	0.006
response to stress	4.98E-02	DUSP1	dual specificity phosphatase 1	1843	10.49	0.006
response to stress	4.98E-02	ANGPTL4	angiopoietin-like 4	51129	8.48	0.0063
response to stress	4.98E-02	KNG1	kininogen 1	3827	8.06	0.0067
response to stress	4.98E-02	SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	12	7.37	0.0034
response to stress	4.98E-02	ERRFI1	ERBB receptor feedback inhibitor 1	54206	6.41	0.0072
response to stress	4.98E-02	DUSP1	dual specificity phosphatase 1	1843	6.15	0.0071
response to stress	4.98E-02	C1R	complement component 1, r subcomponent	715	5.48	0.0059
response to stress	4.98E-02	CD59	CD59 molecule, complement regulatory protein	966	5.2	0.0077
response to stress	4.98E-02	NFE2L1	nuclear factor (erythroid-derived 2)-like 1	4779	4.65	0.0083
response to stress	4.98E-02	CD59	CD59 molecule, complement regulatory protein	966	4.55	0.0084
response to stress	4.98E-02	APOL2	apolipoprotein L, 2	23780	4.46	0.0085
response to stress	4.98E-02	NFE2L1	nuclear factor (erythroid-derived 2)-like 1	4779	4.28	0.0087
response to stress	4.98E-02	SEPP1	selenoprotein P, plasma, 1	6414	3.94	0.0096
response to stress	4.98E-02	ERRFI1	ERBB receptor feedback inhibitor 1	54206	3.79	0.0096
