HUGO name	LocusLinkID	Gene name	PHA/IL-2-activated CD4+T-cells (TPM)	Acutely HTLV-1 transformed cells (TPM) B1 cells	Acutely HTLV-1 transformed cells (TPM) C5 cells	References
BUB3	9184	Budding uninhibited by benzimidazoles 3 homolog	28	191	89	NA
CCNB1	891	Cyclin B1	46	71	66	26, 27, 28
CCNB2	9133	Cyclin B2	115	32	70	NA
CCNC	892	Cyclin C	3	NA	2	NA
CCND2	894	Cyclin D2	76	294	654	26, 29, 30, 31
CCND3	896	Cyclin D3	320	NA	14	26, 30
CCNE1	898	Cyclin E1	22	NA	2	26
CCNG1	900	Cyclin G1	NA	72	169	26, 28
CDC10	989	Cell division cycle 10	69	10	4	NA
CDC20	991	Cell division cycle 20	46	NA	NA	NA
CDC45L	8318	Cell division cycle 45-like (S.cerevisiae)	8	14	45	NA
CDC25B	994	Cell division cycle 25	68	4	20	28
CDK1	983	Cell division cycle 2,G1 to S and G2 to M, CDC2	82	NA	NA	27
CDK2	1017	Cyclin-dependent kinase 2	78	142	380	27
CDK3	1018	Cyclin-dependent kinase 3	NA	NA	6	27
CDK4	1019	Cyclin-dependent kinase 4	65	123	78	27
CDK5	1020	Cyclin-dependent kinase 5	159	4	NA	NA
CDKN1A	1026	Cyclin-dependent kinase inhibitor 1A (p21a,Cip1)	NA	3	19	27, 28, 31
CDKN1B	1027	Cyclin-dependent kinase inhibitor 1B (p27,Kip1)	3	21	NA	NA
CDKN1C	1028	Cyclin-dependent kinase inhibitor 1C (p57,Kip2)	NA	2	19	NA
CDKN2A	1029	Cyclin-dependent kinase inhibitor 2A (p16INK4)	NA	21	NA	28
CSK	1445	c-src tyrosine kinase	263	8	22	26
CEN3	1070	Centrin, EF-hand protein, 3	NA	37	41	NA
DNCH1	1778	Dynein	2	45	6	NA
DCTN1	1639	Dynactin p150	NA	12	34	NA
DCTN2	10540	Dynactin p50	10	110	83	NA
GADD34	23645	Protein phosphatase 1, regulatory (inhibitor) subunit 15A	47	81	150	NA
GADD45b	4616	Growth arrest and DNA-damage-inducible, b	37	184	207	28
GADD153	1649	DNA-damage-inducible transcript 3	4	156	93	NA
MAD1L1	8379	MAD1 mitotic arrest deficient-like 1 (yeast)	7	1	NA	NA
MAD2L2	10459	MAD2 mitotic arrest deficient-like 2 (yeast)	ND	3	18	27
NUDC	10726	Nuclear distribution gene C homolog (A.nidulans)	223	7	32	NA
PRC1	9055	Protein regulator of cytokinesis 1	125	125	215	NA
PLK1	5347	Polo-like kinase	133	238	492	31
RAN	5901	RAN, member RAS oncogene family	1363	2357	1913	NA
PTTG1	9232	Pituitary tumor-transforming 1 (Pds1p, securin)	63	90	58	NA
