Common name	Genbank	Description	P-value	Fold change
CCL20	NM_004591	Chemokine (C-C motif) ligand 20	0.00269	75.29
IL8	NM_000584	Interleukin 8	0	67.9
IL8	AF043337	Homo sapiens interleukin 8 C-terminal variant (IL8) mRNA, complete cds.	0.0008	59.76
ANGPTL4	NM_016109	Angiopoietin-like 4	0.00139	34.37
SLC2A3	NM_006931	Solute carrier family 2 (facilitated glucose transporter), member 3	0.00021	33.63
CA9	NM_001216	Carbonic anhydrase IX	0.00118	31.38
NDRG1	NM_006096	N-myc downstream regulated gene 1	0.01835	28.71
STC1	NM_003155	Stanniocalcin 1	0.00178	23.63
ITPR1	NM_002222	Inositol 1,4,5-triphosphate receptor, type 1	0.0053	22.76
ADFP	BC005127	Adipose differentiation-related protein	0.02111	17.27
LOX	L16895	Human lysyl oxidase (LOX) gene, exon 7	0.03525	16.23
CXCL2	M57731	Chemokine (C-X-C motif) ligand 2	0.01738	15.9
LOX	BE503425	Lysyl oxidase	0.00862	14.45
ISG20	NM_002201	Interferon-stimulated gene 20kDa	0.02148	14.11
ADM	NM_001124	Adrenomedullin	0.00801	13.36
C10orf10	AI302100	Chromosome 10 open reading frame 10	0.0484	12.94
TBC1D3	AL136860	TBC1 domain family, member 3	0.041	12.69
SLC2A3	NM_006931	Solute carrier family 2 (facilitated glucose transporter), member 3	0.0037	12.58
CXCL1	NM_001511	Chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)	0.03033	10.14
TNFAIP3	NM_006290	Tumor necrosis factor, alpha-induced protein 3	0.03686	9.38
DUSP6	BC003143	Dual specificity phosphatase 6	0.00856	9.21
SPAG4	NM_003116	Sperm associated antigen 4	0.01191	9.06
ANXA10	AF196478	Annexin A10	0.03017	8.89
MAFF	AL021977	Human DNA sequence from clone CTA-447C4 on chromosome 22q12.2-13.2, complete sequence.	0.04029	8.83
BHLHB2	BG326045	Basic helix-loop-helix domain containing, class B, 2	0.01762	8.49
SAT	BE971383	Spermidine/spermine N1-acetyltransferase	0.01839	8.35
SOD2	AL050388	Superoxide dismutase 2, mitochondrial	0.04224	8.11
RIS1	BF062629	Ras-induced senescence 1	0.02817	7.7
STC1	AI300520	Stanniocalcin 1	0.02172	7.54
NT5E	NM_002526	50-nucleotidase, ecto (CD73)	0.01339	7.5
C1orf29	NM_006820	Chromosome 1 open reading frame 29	0.04604	7.29
HIG2	NM_013332	Hypoxia-inducible protein 2	0.02166	7.02
RNASE4	AI761728	Ribonuclease, RNase A family, 4	0.01996	6.76
FLJ10134	NM_018004	Hypothetical protein FLJ10134	0.00496	6.63
BNIP3	NM_004052	BCL2/adenovirus E1B 19kDa interacting protein 3	0.01031	6.56
SLC2A14	AL110298	Solute carrier family 2 (facilitated glucose transporter), member 14	0.01999	6.37
IER3	NM_003897	Immediate early response 3	0.02379	6.34
CXCL3	NM_002090	Chemokine (C-X-C motif) ligand 3	0.00576	6.17
TNFAIP3	AI738896	Tumor necrosis factor, alpha-induced protein 3	0.04375	6.04
ENO2	NM_001975	Enolase 2, (gamma, neuronal)	0.04872	5.99
SOD2	W46388	Superoxide dismutase 2, mitochondrial	0.01667	5.96
STC2	AI435828	Stanniocalcin 2	0.04571	5.69
E2IG5	NM_014367	Growth and transformation-dependent protein	0.03707	5.69
HSPA6	NM_002155	Heat shock 70-kDa protein 6 (HSP70B0)	0.03255	5.49
PPP1R15A	NM_014330	Protein phosphatase 1, regulatory (inhibitor) subunit 15A	0.01399	5.44
MXI1	NM_005962	MAX interacting protein 1	0.00564	5.36
PPP1R3C	N26005	Protein phosphatase 1, regulatory (inhibitor) subunit 3C	0.001	5.32
SLCO4A1	NM_016354	Solute carrier organic anion transporter family, member 4A1	0.02663	5.26
SERPINE1	AL574210	Serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	0.04204	5.22
BNIP3	U15174	Homo sapiens BCL2/adenovirus E1B 19kD-interacting protein 3 (BNIP3) mRNA, complete cds.	0.00914	5.16
BTG1	AL535380	B-cell translocation gene 1, anti-proliferative	0.03111	5.14
SOD2	BF575213	Superoxide dismutase 2, mitochondrial	0.00027	5.11
IGFBP3	NM_000598	Insulin-like growth factor binding protein 3	0.01595	5.05
CDCP1	NM_022842	CUB domain-containing protein 1	0.04963	5.03
SERPINA3	NM_001085	Serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	0.00283	4.72
BHLHB2	NM_003670	Basic helix-loop-helix domain containing, class B, 2	0.03066	4.68
DPYSL4	NM_006426	Dihydropyrimidinase-like 4	0.02427	4.6
MT1H	NM_005951	Metallothionein 1H	0.03048	4.42
SERPINB4	AB046400	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 4	0.0285	4.39
TFPI2	L27624	Tissue factor pathway inhibitor 2	0.04993	4.38
KIAA1641	NM_025190	KIAA1641 protein	0.03702	4.35
IL1B	NM_000576	Interleukin 1, beta	0.01032	4.22
KIAA0703	AW291664	KIAA0703 gene product	0.02643	4.21
NFIL3	NM_005384	Nuclear factor, interleukin 3 regulated	0.00834	4.21
DIPA	BG251266	Hepatitis delta antigen-interacting protein A	0.00501	4.19
GOLGIN-67	AF204231	Golgin-67	0.03727	4.13
RNU2	BC003629	Synonym: U2; Homo sapiens RNA, U2 small nuclear, mRNA (cDNA clone MGC:2854 IMAGE:2987935), complete cds.	0.00908	4.13
INSIG2	AL080184	Insulin induced gene 2	0.00952	4.13
PHLDA1	AA576961	Pleckstrin homology-like domain, family A, member 1	0.03627	4.09
LAMB3	L25541	Laminin, beta 3	0.01549	3.99
DUSP1	NM_004417	Dual specificity phosphatase 1	0.00041	3.99
RTP801	NM_019058	HIF-1 responsive RTP801	0.00224	3.92
NFKBIA	AI078167	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	0.04187	3.9
G0S2	NM_015714	Putative lymphocyte G0/G1 switch gene	0.03401	3.9
PLA2G4A	M68874	Phospholipase A2, group IVA (cytosolic, calcium-dependent)	0.01971	3.88
PLAB	AF003934	Prostate differentiation factor	0.01362	3.86
SLC2A14	AA778684	Solute carrier family 2 (facilitated glucose transporter), member 14	0.01172	3.85
MUC1	AI610869	Mucin 1, transmembrane	0.04501	3.84
PDK1	NM_002610	Pyruvate dehydrogenase kinase, isoenzyme 1	0.00676	3.8
BTG1	NM_001731	B-cell translocation gene 1, anti-proliferative	0.02923	3.76
JUN	BG491844	v-jun sarcoma virus 17 oncogene homolog (avian)	0.03386	3.72
GJA1	NM_000165	Gap junction protein, alpha 1, 43 kDa (connexin 43)	0.00254	3.72
LAMA4	NM_002290	Laminin, alpha 4	0.02974	3.71
LIF	NM_002309	Leukemia inhibitory factor (cholinergic differentiation factor)	0.03757	3.63
CLECSF2	BC005254	C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 2 (activation-induced)	0.0402	3.62
ICAM1	NM_000201	Intercellular adhesion molecule 1 (CD54), human rhinovirus receptor	0.04134	3.58
EFNA1	NM_004428	Ephrin-A1	0.00912	3.57
F11R	AF154005	F11 receptor	0.0313	3.5
MT1L	NM_002450	Metallothionein 1L	0.04294	3.48
TNIP1	NM_006058	TNFAIP3 interacting protein 1	0.0289	3.47
DPYSL4	AW090187	Dihydropyrimidinase-like 4	0.03598	3.4
RELB	NM_006509	v-rel reticuloendotheliosis viral oncogene homolog B, nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (avian)	0.01863	3.4
IFI27	NM_005532	Interferon, alpha-inducible protein 27	0.01513	3.39
MSH3	NM_002439	mutS homolog 3 (E. coli)	0.04185	3.37
TPBG	NM_006670	Trophoblast glycoprotein	0.0004	3.3
IL1RAP	AF167343	Interleukin 1 receptor accessory protein	0.01481	3.25
OR12D2	NM_013936	Olfactory receptor, family 12, subfamily D, member 2	0.00764	3.24
	AF333388	MT-1H-like protein; mutant as compared to wild-type sequence MT-1H in GenBank Accession Number X64834; Homo sapiens metallothionein 1H-like protein mRNA, complete cds.	0.03535	3.23
SERPINB4	U19557	Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 4	0.03171	3.23
ATF3	NM_001674	Activating transcription factor 3	0.00921	3.21
UPK1A	AA548647	Uroplakin 1A	0.02299	3.19
ETS2	AV700891	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	0.02611	3.15
ITGA2	NM_002203	Integrin, alpha 2 (CD49B, alpha 2 subunit of VLA-2 receptor)	0.01431	3.08
BNIP3L	AL132665	BCL2/adenovirus E1B 19kDa interacting protein 3-like	0.03174	3.08
IRF7	NM_004030	Interferon regulatory factor 7	0.03687	3.07
PBEF	NM_005746	Pre-B-cell colony-enhancing factor	0.04173	3.05
HAS2	NM_005328	Hyaluronan synthase 2	0.03363	3.05
