Probe ID	GENE	NAME	Biological Process	Zscore	FC
207623_at	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	transport	10.186	8.8976898
207571_x_at	C1orf38	chromosome 1 open reading frame 38	cell adhesion	16.365	4.1309401
210785_s_at	C1orf38	chromosome 1 open reading frame 38	cell adhesion	7.812	3.7808393
210689_at	CLDN14	claudin 14	protein complex assembly	40.369	7.3953488
204724_s_at	COL9A3	collagen, type IX, alpha 3	phosphate transport	19.351	7.6466083
203947_at	CSTF3	cleavage stimulation factor, 3 pre-RNA, subunit 3, 77kDa	mRNA processing	5.695	3.2016276
219233_s_at	GSDML	gasdermin-like	NA	9.505	4.3386628
208579_x_at	H2BFS / HIST1H2BK	H2B histone family, member S / histone cluster 1, H2bk	nucleosome assembly	8.257	4.1768187
215071_s_at	HIST1H2AC	histone cluster 1, H2ac	nucleosome assembly	10.437	6.0092814
209806_at	HIST1H2BK	histone cluster 1, H2bk	nucleosome assembly	9.692	2.8170327
214522_x_at	HIST1H3D	histone cluster 1, H3d	nucleosome assembly	5.943	13.805085
206110_at	HIST1H3H	histone cluster 1, H3h	nucleosome assembly	9.421	5.5302083
214290_s_at	HIST2H2AA3 / HIST2H2AA4	histone cluster 2, H2aa3 /histone cluster 2, H2aa4	nucleosome assembly	9.957	2.4075915
218280_x_at	HIST2H2AA3 / HIST2H2AA4	histone cluster 2, H2aa3 / histone cluster 2, H2aa4	nucleosome assembly	5.405	3.1270189
213776_at	LOC157562	hypothetical protein LOC157562	NA	7.087	5.5628141
213225_at	PPM1B	protein phosphatase 1B (formerly 2C), magnesium-dependent, beta isoform	protein amino acid dephosphorylation	4.272	4.6496815
200749_at	RAN	RAN, member RAS oncogene family	regulation of progression through cell cycle	4.917	3.2060944
202388_at	RGS2	regulator of G-protein signalling 2, 24kDa	cell cycle	25.048	5.1233576
209070_s_at	RGS5	regulator of G-protein signalling 5	regulation of G-protein coupled receptor protein signaling pathway	3.675	6.061828
209071_s_at	RGS5	regulator of G-protein signalling 5	regulation of G-protein coupled receptor protein signaling pathway	3.435	6.0876068
212019_at	RSL1D1	ribosomal L1 domain containing 1	translation	6.581	4.9563427
213750_at	RSL1D1	ribosomal L1 domain	translation	30.956	4.6814048
203455_s_at	SAT1	spermidine/spermine N1-acetyltransferase 1	metabolic process	8.988	6.1119048
210592_s_at	SAT1	spermidine/spermine N1-acetyltransferase 1	metabolic process	17.694	8.0817518
213988_s_at	SAT1	spermidine/spermine N1-acetyltransferase 1	metabolic process	17.814	22.983871
208078_s_at	SNF1LK	SNF1-like kinase	negative regulation of transcription from RNA polymerase II promoter	5.925	2.7429859
