Gene Symbol	Common Name	Entrez ID	Fold Change	P-value
DNAJC15	DnaJ (Hsp40) homolog, subfamily C, member 15	29103	159.5	0.0046
CILP	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	8483	124.1	0.0046
CDH16	cadherin 16, KSP-cadherin	1014	108.1	0.0047
METTL7A	methyltransferase like 7A	25840	46.93	0.0049
ABLIM2	actin binding LIM protein family, member 2	84448	43.96	0.0049
RRAD	Ras-related associated with diabetes	6236	41.4	0.0049
CDKN1C	cyclin-dependent kinase inhibitor 1C (p57, Kip2)	1028	41.01	0.0049
SAA1	serum amyloid A1	6288	39.44	0.005
BEST2	bestrophin 2	54831	38.86	0.005
STAC2	SH3 and cysteine rich domain 2	342667	31.52	0.0051
FKBP5	FK506 binding protein 5	2289	27.47	0.0051
GMPR	guanosine monophosphate reductase	2766	27.21	0.0051
LOC283454	hypothetical protein LOC283454	283454	24.87	0.0052
RRAD	Ras-related associated with diabetes	6236	24.33	0.0052
FKBP5	FK506 binding protein 5	2289	24.14	0.0052
ALOX5AP	arachidonate 5-lipoxygenase-activating protein	241	22.03	0.0053
SDK2	sidekick homolog 2 (chicken)	54549	20.54	0.0042
FAM105A	family with sequence similarity 105, member A	54491	18.53	0.0054
KCNB1	potassium voltage-gated channel, Shab-related subfamily, member 1	3745	18.42	0.0054
FBXL16	F-box and leucine-rich repeat protein 16	146330	18.09	0.0054
SERPINA3	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3	12	17.92	0.0054
CIDEC	cell death-inducing DFFA-like effector c	63924	17.75	0.0054
ATAD4	ATPase family, AAA domain containing 4	79170	17.08	0.0054
METTL7A	methyltransferase like 7A	25840	16.97	0.0056
C1orf179	chromosome 1 open reading frame 179	338094	15.89	0.0056
MAN1C1	mannosidase, alpha, class 1C, member 1	57134	15.71	0.0055
EDN3	endothelin 3	1908	15.67	0.0055
C3	complement component 3	718	14.63	0.0056
TFCP2L1	transcription factor CP2-like 1	29842	14.61	0.0056
ALOX5AP	arachidonate 5-lipoxygenase-activating protein	241	13.87	0.0057
HSD11B2	hydroxysteroid (11-beta) dehydrogenase 2	3291	13.83	0.0056
CPB2	carboxypeptidase B2 (plasma, carboxypeptidase U)	1361	13.7	0.0057
KRT6C	keratin 6C	140446	13.32	0.0329
AOX1	aldehyde oxidase 1	316	13.25	0.0054
AK125648	cDNA FLJ43660 fis, clone SYNOV4004823		13.22	0.0057
SAA2	serum amyloid A2	6289	13.02	0.0058
ZNF541	zinc finger protein 541	84215	12.84	0.0256
D4S234E	DNA segment on chromosome 4 (unique) 234 expressed sequence	27065	12.68	0.0024
S100P	S100 calcium binding protein P	6286	12.63	0.0057
CXorf36	chromosome X open reading frame 36	79742	12.57	0.048
FAM123A	family with sequence similarity 123A	219287	12.57	0.034
ACSL1	acyl-CoA synthetase long-chain family member 1	2180	12.31	0.0057
PGC	progastricsin (pepsinogen C)	5225	12.24	0.0017
