Outcome	Gene/protein	Hits†	Region	Function	Up/down‡	Reference
W	Cox-2	36	1q25.2-q25.3	Progression	Up	50
W	IL-1B	36	2q14	Inflammatory response	Up	50
W	Ferritin	36	11q13; 19q13.3-q13.4	Iron storage	Down	63
W	EGF	36	4q25	Cell growth/proliferation/ differentiation	Up	64
W	MMP-2	36	16q13-q21	Invasion/metastasis	Up	65
W		36	2p13	Angiogenesis/cell proliferation	Down	51
W	SELE	25	1q22-q25	Progression/metastasis	Up	66
W	GM-CSF	24	5q31.1	Maintenance of granulocytes/macrophages	Up	67
W	MMP-1	15	11q22.3	Tumor invasion/ metastasis/poor prognosis	Up	68
N	Reg4	36	1p13.1-p12	Early carcinogenesis	Down	69
N	MUC2	36	11p15.5	Deregulated by TNF?	Down	70
N	CA1	36	8q13-q22.1	Carbonate dehydratase activity	Down	71
N	CA2	36	8q22	Carbonate dehydratase activity	Down	71
N	CLDN8	36	21q22.11	Tumorigenesis	Down	72
N	CEA	36	19q13.1-q13.2	Cell adhesion; tumor marker for recurrence	Down	53
N	IL-1ra	36	2q14.2	Carcinogenesis	Up	73
N	CA19-9	36		Tumor marker for recurrence	Down	53
N	Ferritin	36	11q13; 19q13.3-q13.4	Iron storage	Down	63
N	IL-1beta	36	2q14	Inflammatory response	Down	50
N	beta2-microglobulin	36	15q21-q22.2	Metastasis	Up	74
N	RARRES1	31	3q25.32-q25.33	Cell proliferation	Down	75
N	IL-8	28	4q13-q21	Progression/metastasis	Down	52
N	TNFRII	24	1p36.3-p36.2	Apoptosis	Up	76
C	ICAM-1	36	19p13.3-p13.2	Metastasis	Down	77
C	CEA	36	19q13.1-q13.2	Cell adhesion; tumor marker for recurrence	Down	53
C	MMP-2	36	16q13-q21	Invasion/metastasis	Up	65
C	Adiponectin	36	3q27	Metabolic/hormonal processes	Down	78
C	Thrombospondin-1	36	15q15	Angiogenesis/tumor growth	Up	79
C	EGFR	36	7p12	Cell growth/ proliferation/ differentiation	Up	49
C	Tissue factor	35	1p22-p21	Angiogenesis/metastasis	Up	80
C	CYP1B1	35	2p21	Drug metabolism	Down	81
C	EGF	32	4q25	Cell growth/proliferation/ differentiation	Up	64
