Name	Probe set
PTGER4: prostaglandin E receptor 4 (subtype EP4)	204897_at
SVIL: supervillin	202565_s_at
ZFHX1B: zinc finger homeobox 1b	203603_s_at
LOH11CR2A: loss of heterozygosity, 11, chromosomal region 2, gene A	205011_at
ACVR1: activin A receptor, type I	203935_at
NFIL3: nuclear factor, interleukin 3 regulated	203574_at
ATP2B4: ATPase, Caþþtransporting, plasma membrane 4	212136_at
OPN3: opsin 3 (encephalopsin, panopsin)	219032_x_at
OAT: ornithine aminotransferase (gyrate atrophy)	201599_at
RGS2: regulator of G-protein signaling 2, 24 kDa	202388_at
SERPINB6: serpin peptidase inhibitor, clade B (ovalbumin), member 6	211474_s_at
FEZ2: fasciculation and elongation protein  -2 (zygin II)	215000_s_at
MXI1: MAX interactor 1/MAX interactor 1	202364_at
GATA3: GATA binding protein 3	209604_s_at
BCL11A: B-cell CLL/lymphoma 11A (zinc finger protein)	219497_s_at
CDKN1C: Cyclin-dependent kinase inhibitor 1C (p57, Kip2)	213348_at
NDFIP1: Nedd4 family interacting protein 1	217800_s_at
STK39: serine threonine kinase 39 (STE20/SPS1 homolog, yeast)	202786_at
GNPDA1: glucosamine-6-phosphate deaminase 1	202382_s_at
HEBP1: heme binding protein 1	218450_at
LEF1: lymphoid enhancer-binding factor 1	221558_s_at
CYP1B1: cytochrome P450, family 1, subfamily B, polypeptide 1	202437_s_at
ITK: IL2-inducible T-cell kinase	211339_s_at
PRKD3: protein kinase D3	218236_s_at
CXCL10: chemokine (C-X-C motif) ligand 10	204533_at
CTSB: cathepsin B	200839_s_at
PPP3CA: protein phosphatase 3	202429_s_at
S100A10: S100 calcium binding protein A10	200872_at
SERPINB1: serpin peptidase inhibitor, clade B (ovalbumin), member 1	213572_s_at
JAK1: Janus kinase 1 (a protein tyrosine kinase)	201648_at
FOXO3A: forkhead box O3A	204131_s_at
LPP: LIM domain containing preferred translocation partner in lipoma	202822_at
CD63: CD63 molecule	200663_at
TSPAN13: Tetraspanin 13	217979_at
CRTAP: cartilage associated protein	201380_at
MAF: v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)	209348_s_at
NOTCH2: Notch homolog 2 (Drosophila)	212377_s_at
Homo sapiens mRNA for KIAA1252 protein	212321_at
SULT1A3	209607_x_at
ZNF238: zinc finger protein 238	212774_at
RRAS: related RAS viral (r-ras) oncogene homolog	212647_at
DUSP3: dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related)	201536_at
PRKCA: protein kinase C, a	213093_at
BCL3: B-cell CLL/lymphoma 3	204908_s_at
CREG1: cellular repressor of E1A-stimulated genes 1	201200_at
SLC2A3: solute carrier family 2 (facilitated glucose transporter), member 3	202499_s_at
FER1L3: fer-1-like 3, myoferlin (C. elegans)	201798_s_at
HPCAL1: hippocalcin-like 1	212552_at
NRN1: neuritin 1	218625_at
