Rank	Biocarta Pathway	Pathway description	Unique id	Annotations	Description	GB acc	UG cluster	Gene symbol	Map Location	Parametric p-value	Geom mean of ratios in class 1	Geom mean of ratios in class 2	Ratio of geom means
1	h_tcraPathway	Lck and Fyn tyrosine kinases in initiation of TCR Activation	A_23_P103361	Info	LCK; lymphocyte-specific protein tyrosine kinase	NM_005356	Hs.1765	LCK	chr1 (32,219,316-32,254,237)	0.0461522	0.896	0.668	1.341
2	h_tcraPathway	Lck and Fyn tyrosine kinases in initiation of TCR Activation	A_23_P98410	Info	CD3G; CD3G antigen, gamma polypeptide (TiT3 complex)	NM_000073	Hs.2259	CD3G	chr11 (117,752,753-117,761,736)	0.0866951	0.666	0.466	1.429
3	h_tcraPathway	Lck and Fyn tyrosine kinases in initiation of TCR Activation	A_23_P39682	Info	ZAP70; zeta-chain (TCR) associated protein kinase 70kDa	NM_001079	Hs.234569	ZAP70	chr2 (97,951,429-97,978,275)	0.0933896	0.372	0.221	1.683
4	h_tcraPathway	Lck and Fyn tyrosine kinases in initiation of TCR Activation	A_23_P138985	Info	CD3D; CD3D antigen, delta polypeptide (TiT3 complex)	NM_000732	Hs.95327	CD3D	chr11 (117,742,906-117,751,114)	0.1716769	0.221	0.133	1.662
5	h_tcraPathway	Lck and Fyn tyrosine kinases in initiation of TCR Activation	A_23_P125451	Info	PTPRC; protein tyrosine phosphatase, receptor type, C	NM_002838	Hs.444324	PTPRC	chr1 (195,896,425-196,014,864)	0.224932	4.512	3.053	1.478
6	h_tcraPathway	Lck and Fyn tyrosine kinases in initiation of TCR Activation	A_23_P502142	Info	FYN; FYN oncogene related to SRC, FGR, YES	NM_002037	Hs.390567	FYN	chr6 (112,027,893-112,240,204)	0.3020019	1.087	0.917	1.185
7	h_tcraPathway	Lck and Fyn tyrosine kinases in initiation of TCR Activation	A_24_P343233	Info	HLA-DRB3; major histocompatibility complex, class II, DR beta 3	NM_002124	Hs.308026	HLA-DRB1	chr6_random (126,000-137,120)	0.4423568	8.648	7.186	1.203
8	h_tcrPathway	T Cell Receptor Signaling Pathway	A_23_P103361	Info	LCK; lymphocyte-specific protein tyrosine kinase	NM_005356	Hs.1765	LCK	chr1 (32,219,316-32,254,237)	0.0461522	0.896	0.668	1.341
9	h_tcrPathway	T Cell Receptor Signaling Pathway	A_23_P44105	Info	LAT; linker for activation of T cells	NM_014387	Hs.498997	LAT	chr16 (29,034,024-29,039,732)	0.0672666	1.058	0.746	1.418
10	h_tcrPathway	T Cell Receptor Signaling Pathway	A_23_P98410	Info	CD3G; CD3G antigen, gamma polypeptide (TiT3 complex)	NM_000073	Hs.2259	CD3G	chr11 (117,752,753-117,761,736)	0.0866951	0.666	0.466	1.429
11	h_tcrPathway	T Cell Receptor Signaling Pathway	A_23_P39682	Info	ZAP70; zeta-chain (TCR) associated protein kinase 70kDa	NM_001079	Hs.234569	ZAP70	chr2 (97,951,429-97,978,275)	0.0933896	0.372	0.221	1.683
