t-value	Parametric p-value	% CV support	Average ratios in the High-risk group	Average ratios in the Low-risk group	Unique id	Description	Clone	UG cluster	Gene symbol	Map
4.71	0.000016	100	3.6	1.727	160089	tumor-associated calcium signal transducer 1	2816509	Hs.692	TACSTD1	2p21
3.9	0.000259	100	2.07	1.521	168933	midkine (neurite growth-promoting factor 2)	940845	Hs.82045	MDK	11p11.2
3.59	0.00068	69	1.835	1.306	161090	KIAA1641 protein	2935535	Hs.44566	KIAA1641	2q11.1
4.8	0.000012	100	1.478	1.137	163214	hypothetical protein FLJ22548 similar to gene trap PAT 12	2074205	Hs.103267	FLJ22548	12q14.3
5.55	p < 0.000001	100	1.449	0.963	167498	protocadherin 17	1593082	Hs.106511	PCDH17	13q14.3
4.61	0.000024	100	1.425	0.974	163235	FLJ00005 protein	1368493	Hs.367690	FLJ00005	15q22.33
3.77	0.000411	100	1.376	1.018	162152	claudin 4	2131758	Hs.5372	CLDN4	7q11.23
6.36	p < 0.000001	100	1.376	0.962	167992	KIAA1557 protein	2905001	Hs.6185	KIAA1557	12p11.21
4.3	6.80E-05	100	1.37	1.01	160913	claudin 4	1900114	Hs.5372	CLDN4	7q11.23
6.36	p < 0.000001	100	1.345	1.012	165379	hypothetical protein BC008647	3815422	Hs.102480	LOC91875	14q11.1
4.03	0.000168	100	1.324	0.862	169559	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	1988412	Hs.166096	ELF3	1q32.2
4.14	0.000119	100	1.301	1.049	166229	hypothetical protein FLJ11362	1886685	Hs.8929	FLJ11362	Xq25-q26.1
3.68	0.000522	95	1.301	1.059	164727	ESTs	3016983	Hs.125038		8
4.45	0.000041	100	1.278	0.974	168977	Homo sapiens cDNA FLJ34031 fis, clone FCBBF2003895, mRNA sequence	2824017	Hs.340316		19
4.14	0.000117	100	1.265	1.023	164085	ESTs	2208830	Hs.107845		2
3.84	0.000309	100	1.265	1.031	161873	Incyte EST	3031912
3.96	0.000207	100	1.258	0.984	168246	thyroid hormone receptor interactor 13	39337	Hs.6566	TRIP13	5p15.33
4.6	0.000024	100	1.237	1.011	168029	small nuclear ribonucleoprotein polypeptide A	1700047	Hs.173255	SNRPA	19q13.1
3.84	0.000311	100	1.234	1.035	161058	multiple endocrine neoplasia I	1693847	Hs.423348	MEN1	11q13
4.49	0.000035	100	1.233	0.952	167009	protein kinase C, iota	2508870	Hs.1904	PRKCI	3q26.3
