UniqID	GenBank ID	UniGene ID	Gene Description
32708		Hs.162817	ESTs
33100		Hs.123230	ESTs
30923		Hs.121106	ESTs
24320		Hs.372296	ESTs
25126		NA	NA
15914	U07620	Hs.151051	mitogen-activated protein kinase 10
19384	U07620	Hs.151051	mitogen-activated protein kinase 10
25036		Hs.211610	CUG triplet repeat, RNA binding protein 2
24376	BF129543	Hs.317970	ESTs, Weakly similar to A47224 thyroxine-binding globulin precursor [H.sapiens]
24316		Hs.369936	ESTs
32323		Hs.13751	ESTs
28472	U07620	Hs.151051	mitogen-activated protein kinase 10
32076		NA	NA
30353	AK024439	Hs.43616	kelch-like protein KLHL6
30375	Y08110	Hs.278571	sortilin-related receptor, L(DLR class) A repeats-containing
30894		Hs.367158	ESTs, Weakly similar to T17245 hypothetical protein DKFZp586J0917.1 [H.sapiens]
32004		Hs.350909	Homo sapiens cDNA FLJ30384 fis, clone BRACE2008114
26634	M74099	Hs.147049	cut-like 1, CCAAT displacement protein (Drosophila)
34694	AL117587	Hs.93738	DKFZP434M098 protein
24256	AF035296	Hs.110480	DC12 protein
24570		Hs.291666	ESTs
19312	AK026216	Hs.314314	Homo sapiens cDNA: FLJ22563 fis, clone HSI01928
24822	L11373	Hs.284180	protocadherin gamma subfamily C, 3
32702	D87467	Hs.80620	guanine nucleotide exchange factor for Rap1; M-Ras-regulated GEF
24480		NA	NA
29886		Hs.192708	ESTs
29961		Hs.182606	ESTs, Weakly similar to JC5238 galactosylceramide-like protein, GCP [H.sapiens]
30165	BC007204	Hs.19215	Homo sapiens, clone IMAGE:3605822, mRNA
31651		NA	NA
32236		Hs.291954	ESTs
33157	AB018289	Hs.49500	KIAA0746 protein
28372	L11373	Hs.284180	protocadherin gamma subfamily C, 3
30585	NM_018440	Hs.266175	phosphoprotein associated with glycosphingolipid-enriched microdomains
32987		Hs.136815	ESTs
24358		NA	NA
24543		Hs.291886	ESTs
24582		Hs.194486	ESTs, Weakly similar to T17215 hypothetical protein DKFZp434H2235.1 [H.sapiens]
24854	AB018351	Hs.184297	KIAA0808 gene product
24918		Hs.97275	ESTs
30257		Hs.181474	ESTs
32756		Hs.97275	ESTs
34719	AL049365	Hs.349755	Homo sapiens mRNA; cDNA DKFZp586A0618 (from clone DKFZp586A0618)
24331	AK025550	Hs.173108	Homo sapiens cDNA: FLJ21897 fis, clone HEP03447, highly similar to AF052178 Homo sapiens clone 24523 mRNA sequence
24375		Hs.291784	ESTs
30113		Hs.192708	ESTs
31696	NM_004170	Hs.91139	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1
24310	X83368	Hs.32942	phosphoinositide-3-kinase, catalytic, gamma polypeptide
24510	NM_018440	Hs.266175	phosphoprotein associated with glycosphingolipid-enriched microdomains
25069	AB014604	Hs.197955	oxysterol binding protein-like 3
29895		NA	NA
29912		Hs.104425	ESTs, Weakly similar to  neuronal thread protein [Homo sapiens] [H.sapiens]
30169	AK024439	Hs.43616	kelch-like protein KLHL6
30276	AB033107	Hs.42796	KIAA1281 protein
31772		NA	NA
31933	AK025695	Hs.9052	Homo sapiens cDNA: FLJ22042 fis, clone HEP09065
34478	X58399	Hs.81221	Homo sapiens, clone MGC:3963 IMAGE:3621362, mRNA, complete cds
19268	U00115	Hs.155024	B-cell CLL/lymphoma 6 (zinc finger protein 51)
24307		Hs.124922	ESTs
24429	U00115	Hs.155024	B-cell CLL/lymphoma 6 (zinc finger protein 51)
24898	AB016816	Hs.24724	malignant fibrous histiocytoma amplified sequence 1
26512	AB016816	Hs.24724	malignant fibrous histiocytoma amplified sequence 1
27673	U10485	Hs.40202	lymphoid-restricted membrane protein
28917	Y08110	Hs.278571	sortilin-related receptor, L(DLR class) A repeats-containing
29650	AB016816	Hs.24724	malignant fibrous histiocytoma amplified sequence 1
30301		Hs.251214	ESTs
30724	AF163825	Hs.136713	pre-B lymphocyte gene 3
30763		Hs.291666	ESTs
16288		NA	NA
16677	U90916	Hs.82845	Homo sapiens cDNA: FLJ21930 fis, clone HEP04301, highly similar to HSU90916 Human clone 23815 mRNA sequence
17369	X58399	Hs.81221	Homo sapiens, clone MGC:3963 IMAGE:3621362, mRNA, complete cds
17519	AF003595	Hs.96398	8-oxoguanine DNA glycosylase
17611	Y08110	Hs.278571	sortilin-related receptor, L(DLR class) A repeats-containing
19252	NM_004416	Hs.124024	deltex homolog 1 (Drosophila)
24249		Hs.105136	ESTs, Weakly similar to 2004399A chromosomal protein [H.sapiens]
24337		NA	NA
24415	X89984	Hs.211563	B-cell CLL/lymphoma 7A
24450		NA	NA
24455		NA	NA
24991		NA	NA
26535	U00115	Hs.155024	B-cell CLL/lymphoma 6 (zinc finger protein 51)
27680	U10485	Hs.40202	lymphoid-restricted membrane protein
32129	BC007204	Hs.19215	Homo sapiens, clone IMAGE:3605822, mRNA
16359	L13616	Hs.740	PTK2 protein tyrosine kinase 2
16886	U10485	Hs.40202	lymphoid-restricted membrane protein
17496	X66087	Hs.300592	v-myb myeloblastosis viral oncogene homolog (avian)-like 1
19291	X66087	Hs.300592	v-myb myeloblastosis viral oncogene homolog (avian)-like 1
19365		Hs.105261	ESTs
24359	AB016816	Hs.24724	malignant fibrous histiocytoma amplified sequence 1
24476	AF030107	Hs.17165	regulator of G-protein signalling 13
24492	X83368	Hs.32942	phosphoinositide-3-kinase, catalytic, gamma polypeptide
