Rank	Entrez	Gene Symbol	Good Outcome Centroid	Poor Outcome Centroid	Affy Reporter	Vijver Reporter	Chr	Ensembl Gene	UniGene	RefseqRNA	Description
1	9133	CCNB2	-0.123585636	0.409703124	202705_at	NM_004701	chr15		Hs.194698		Cyclin B2
2	10112	KIF20A	-0.129724177	0.390940674	218755_at	NM_005733	5	ENSG00000112984	Hs.73625	NM_005733.1	Kinesin family member 20A
3	56942	C16orf61	-0.089225864	0.262233876	218447_at	NM_020188	chr16		Hs.388255		Chromosome 16 open reading frame 61
4	29127	RACGAP1	-0.119182159	0.371798161	222077_s_at	NM_013277			Hs.653269		Rac GTPase activating protein 1
5	9833	MELK	-0.092873072	0.442736731	204825_at	NM_014791	9	ENSG00000165304	Hs.184339	NM_014791.2	Maternal embryonic leucine zipper kinase
6	2053	EPHX2	0.152172454	-0.280854879	209368_at	NM_001979	8	ENSG00000120915	Hs.212088	NM_001979.4	Epoxide hydrolase 2, cytoplasmic
7	891	CCNB1	-0.125520828	0.489826104	214710_s_at	Contig56843_RC	5	ENSG00000134057	Hs.23960	NM_031966.2	Cyclin B1
8	6777	STAT5B	0.058852944	-0.210526364	212549_at	NM_012448	17	ENSG00000173757	Hs.632256	NM_012448.3	Signal transducer and activator of transcription 5B
9	24137	KIF4A	-0.098418188	0.354648825	218355_at	NM_012310	X	ENSG00000090889	Hs.648326	NM_012310.3	Kinesin family member 4A
10	9055	PRC1	-0.209892675	0.404970541	218009_s_at	NM_003981	15	ENSG00000198901	Hs.567385	NM_003981.2 NM_199413.1 NM_199414.1	Protein regulator of cytokinesis 1
11	1524	CX3CR1	0.213166001	-0.475063724	205898_at	NM_001337	3	ENSG00000168329	Hs.78913	NM_001337.3	Chemokine (C-X3-C motif) receptor 1
12	27338	UBE2S	-0.123084013	0.45153756	202779_s_at	NM_014501			Hs.396393 Hs.592114		Ubiquitin-conjugating enzyme E2S
13	51203	NUSAP1	-0.299534767	0.28641717	218039_at	NM_016359	15	ENSG00000137804	Hs.615092	NM_016359.2 NM_018454.5	Nucleolar and spindle associated protein 1
14	1033	CDKN3	-0.046565539	0.477097351	209714_s_at	NM_005192	chr14		Hs.84113		Cyclin-dependent kinase inhibitor 3 (CDK2-associated dual specificity phosphatase)
15	23303	KIF13B	0.159282686	-0.314415628	202962_at	AF279865	8	ENSG00000197892	Hs.444767	NM_015254.2	Kinesin family member 13B
16	983	CDC2	-0.164865319	0.402106056	203213_at	NM_001786	chr10		Hs.334562		Cell division cycle 2, G1 to S and G2 to M
17	22948	CCT5	-0.050952228	0.255624927	208696_at	D43950	5	ENSG00000150753	Hs.1600	NM_012073.3	Chaperonin containing TCP1, subunit 5 (epsilon)
18	9232	PTTG1	-0.104915949	0.363244735	203554_x_at	NM_004219	chr5		Hs.350966		Pituitary tumor-transforming 1
19	6241	RRM2	-0.255564819	0.42707844	201890_at	Contig41413_RC	2	ENSG00000171848	Hs.226390	NM_001034.1	Ribonucleotide reductase M2 polypeptide
20	5063	PAK3	-0.141235314	0.379624584	202954_at	NM_002578	chrX		Hs.390616		P21 (CDKN1A)-activated kinase 3
21	22974	TPX2	-0.113902108	0.388652028	210052_s_at	AB024704	20	ENSG00000088325	Hs.244580	NM_012112.4	TPX2, microtubule-associated, homolog (Xenopus laevis)
22	3833	KIFC1	-0.077843868	0.171052241	209680_s_at	D14678	6	ENSG00000204197	Hs.436912	NM_002263.2	Kinesin family member C1
23	90627	STARD13	0.138490708	-0.214752939	213103_at	AL049801	13	ENSG00000133121	Hs.507704	NM_052851.1 NM_178006.1 NM_178007.1	START domain containing 13
24	9319	TRIP13	-0.04972176	0.418645298	204033_at	U96131	5	ENSG00000071539	Hs.436187	NM_004237.2	Thyroid hormone receptor interactor 13
25	26018	LRIG1	0.051846934	-0.42778703	211596_s_at	AL117666	3	ENSG00000144749	Hs.518055	NM_015541.2	Leucine-rich repeats and immunoglobulin-like domains 1
26	701	BUB1B	-0.074882268	0.353622025	203755_at	NM_001211	15	ENSG00000156970	Hs.631699	NM_001211.4	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)
