Gene Symbol	Affymetrix Probe Set ID	Transcript ID	GeneBank ID	Gene Name
NSL1	209484_s_at	g9295185	AF201941	NSL1, MIND kinetochore complex component, homolog (S. cerevisiae)
PLLP	204519_s_at	g7705754	NM_015993	plasma membrane proteolipid (plasmolipin)
GDPD5	213343_s_at	Hs.6748	AL041124	glycerophosphodiester phosphodiesterase domain containing 5
GJB3	205490_x_at	Hs.98485	NM_024009	gap junction protein, beta 3, 31kDa
B4GALT4	212876_at	Hs.13225	BF223021	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4
MOBKL1B	214812_s_at	Hs.322903	D80006	MOB1, Mps One Binder kinase activator-like 1B (yeast)
TLE1	203221_at	Hs.28935	NM_005077	transducin-like enhancer of split 1 (E(sp1) homolog, Drosophila)
TROVE2	210438_x_at	g387656	M25077	TROVE domain family, member 2
DNAJC7	202416_at	g4507712	NM_003315	DnaJ (Hsp40) homolog, subfamily C, member 7
CTDSPL	201906_s_at	g5031774	NM_005808	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like
ARHGEF5	204765_at	g4885632	NM_005435	Rho guanine nucleotide exchange factor (GEF) 5
TTRAP	202266_at	g7705261	NM_016614	TRAF and TNF receptor associated protein
LGALS3	208949_s_at	g12654570	BC001120	lectin, galactoside-binding, soluble, 3
PER1	202861_at	g4505712	NM_002616	period homolog 1 (Drosophila)
HPRT1	202854_at	g4504482	NM_000194	hypoxanthine phosphoribosyltransferase 1
PDXK	202671_s_at	g4505700	NM_003681	pyridoxal (pyridoxine, vitamin B6) kinase
TGFBR3	204731_at	g4507470	NM_003243	transforming growth factor, beta receptor III
TMEM184B	202027_at	g7110634	NM_012264	transmembrane protein 184B
ERAL1	212087_s_at	Hs.3426.0	AL562733	Era G-protein-like 1 (E. coli)
TIPRL	214773_x_at	Hs.137576	AI983505	TIP41, TOR signaling pathway regulator-like (S. cerevisiae)
EIF6	210213_s_at	g2809382	AF022229	eukaryotic translation initiation factor 6
WSB1	210561_s_at	g5817189	AL110243	WD repeat and SOCS box-containing 1
CTTN	201059_at	g4885204	NM_005231	cortactin
MAPK6	207121_s_at	g4506090	NM_002748	mitogen-activated protein kinase 6
GIPC1	207525_s_at	g5031714	NM_005716	GIPC PDZ domain containing family, member 1
TERF2IP	201174_s_at	g9507032	NM_018975	telomeric repeat binding factor 2, interacting protein
CPN1	206256_at	g4503010	NM_001308	carboxypeptidase N, polypeptide 1
ERCC8 /// FLJ12595	205162_at	g4557466	NM_000082	excision repair cross-complementing rodent repair deficiency, complementation group 8 /// guanine nucleotide binding protein-like 3 (nucleolar)-like pseudogene
LAMC2	202267_at	g5031846	NM_005562	laminin, gamma 2
hCG_16001 /// RPL23A	213084_x_at	Hs.194657	BF125158	similar to ribosomal protein L23A /// ribosomal protein L23a
VIPR1	205019_s_at	g4759307	NM_004624	vasoactive intestinal peptide receptor 1
PAXIP1	212825_at	Hs.173854	AI357401	PAX interacting (with transcription-activation domain) protein 1
INPP4B	205376_at	g4504706	NM_003866	inositol polyphosphate-4-phosphatase, type II, 105kDa
ZNF207	200829_x_at	g4508016	NM_003457	zinc finger protein 207
LMNA	212089_at	Hs.77886	M13452	lamin A/C
APOB	205108_s_at	g4502152	NM_000384	apolipoprotein B (including Ag(x) antigen)
CHKA	204266_s_at	g4557454	NM_001277	choline kinase alpha
PPFIA1	202066_at	Hs.183648	AA195259	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1
AVPR1B	208260_at	g13112055	NM_000707	arginine vasopressin receptor 1B
TLK2	212997_s_at	Hs.57553	AU151689	tousled-like kinase 2
TSPAN1	209114_at	g6434903	AF133425	tetraspanin 1
GPRC5A	203108_at	g12056470	NM_003979	G protein-coupled receptor, family C, group 5, member A
GRB14	206204_at	g4758477	NM_004490	growth factor receptor-bound protein 14
ARHGAP19	212738_at	Hs.80305	AV717623	Rho GTPase activating protein 19
CRLF3	205474_at	g7705331	NM_015986	cytokine receptor-like factor 3
KIAA0947	209654_at	g13436178	BC004902	KIAA0947 protein
---	212444_at	Hs.288660	AA156240	---
SLC25A16	214140_at	Hs.180408	AI827990	solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16
CTSF	203657_s_at	g6042195	NM_003793	cathepsin F
MST1R	205455_at	g4505264	NM_002447	macrophage stimulating 1 receptor (c-met-related tyrosine kinase)
POLE3	208828_at	g13278800	BC004170	polymerase (DNA directed), epsilon 3 (p17 subunit)
CROP	203804_s_at	g5174618	NM_006107	cisplatin resistance-associated overexpressed protein
