GenBank Acc. No.	Symbol	Gene Description	Fold Change C57BL/6J	Fold Change  DBA/2	Function
AI836879	Cox4a	Cytochromec oxidase,subunitIVa	1.5	1.8	Cytochromec oxidase
Y12887	Ces1	Carboxylesterase1	2.3	6.9	Hydrolase
U85713	Plcb1	PhospholipaseC- beta1	1.8	1.8	Hydrolaseactivity
M36411	Mpv17	Mpv17transgene,kidneydiseasemutant	1.6	1.7	Peroxisome
U27267	Cxcl5	Chemokine(C-X-Cmotif)ligand5	5.9	6.2	Chemotaxia
AB022100	Cdh13	Cadherin13	1.7	1.9	Calcium-dependentcelladhesionmolecule
U88623	Aqp4	Aquaporin4	1.9	2.3	Integralplasmamembraneprotein
AA791962	Cdk4	Cyclin-dependentkinase4	1.6	1.8	Cyclin-dependentproteinkinaseactivity
U77630	Adm	Adrenomedullin	1.6	1.7	Neuropeptidehormone
X53584	Hsp60	Heatshockprotein,60kDa	1.7	1.6	Heatshockprotein
U43892	Abcb7	ATP-bindingcassette,subfamilyBmember7	2.9	1.6	ATP-bindingcassette(ABC)transporter
D63362	Reg3g	RegIIIprotein	1.5	2.1	Sugarbinding
AW060527	Ube2v2	Ubiquitin-conjugatingenzymeE2variant2	1.6	1.8	Ubiquitin-proteinligaseactivity
AW123761	Snx17	Sortingnexin17	1.7	1.8	Proteinbinding
AV107396	Prps1	Phosphoribosylpyrophosphatesynthetase1	1.9	1.5	Kinaseactivity
AI840436	Mrps5	MitochondrialribosomalproteinS5	5.5	1.7	Structuralconstituentofribosome
