Number	Accession	Symbol	Description	Foldchange
1	NM_016578	RSF1	Remodelingandspacingfactor1	1.27
2	NM_003583	DYRK2	Dual-specificitytyrosine-(Y)-phosphorylationregulatedkinase2	?1.34
3	NM_003403	YY1	YY1transcriptionfactor	?1.08
4	NM_001031726	C19orf12	Chromosome19openreadingframe12	1.36
5	NM_018473	THEM2	Thioesterasesuperfamilymember2	?1.13
6	NM_007118	TRIO	Triplefunctionaldomain(PTPRFinteracting)	?1.16
7	NM_001020820	MYADM	Myeloid-associateddifferentiationmarker	?1.34
8	NM_017450	BAIAP2	BAI1-associatedprotein2	?1.34
9	NM_024589	ROGDI	Rogdihomologue(Drosophila)	?1.18
10	NM_024920	DNAJB14	DnaJ(Hsp40)homologue,subfamilyB,member14	?1.14
11	NM_199191	BRE	TNFRSF1Amodulator	1.04
12	NM_080652	TMEM41A	Transmembraneprotein41A	1.15
13	NM_032307	C9orf64	Chromosome9openreadingframe64	?1.14
14	NM_031424	FAM110A	Familywithsequencesimilarity110,memberA	?1.14
15	NM_014801	PCNXL2	Pecanex-like2(Drosophila)	1.21
16	NM_005612	REST	RE1-silencingtranscriptionfactor	1.29
17	NM_014173	C19orf62	Chromosome19openreadingframe62	1.1
18	NM_138779	C13orf27	Chromosome13openreadingframe27	?1.18
19	NM_022091	ASCC3	Activatingsignalcointegrator1complexsubunit3	1.83
20	NM_005628	SLC1A5	Solutecarrierfamily1(neutralaminoacidtransporter),member5	?1.16
21	NM_016395	PTPLAD1	Proteintyrosinephosphatase-likeAdomaincontaining1	?1.22
22	NM_005590	MRE11A	MRE11meioticrecombination11homologueA(S.cerevisiae)	?1.18
23	NM_033107	GTPBP10	GTP-bindingprotein10(putative;GTPBP10),transcriptvariant2	?1.27
24	BX118737	N/A	BX118737Soaresfetalliverspleen1NFLS	?1.40
25	NM_006217	SERPINI2	Serpinpeptidaseinhibitor,cladeI(pancpin),member2	?1.41
26	AK126342	CREB1	CAMPresponsiveelementbindingprotein1	?1.45
27	NM_016053	CCDC53	Coiled-coildomaincontaining53	?1.07
28	NM_032236	USP48	Ubiquitinspecificpeptidase48	?1.17
29	NM_001007072	ZSCAN2	ZincfingerandSCANdomaincontaining2	1.18
