Probe Set	FC(C)	P(C)	Gene	Gene ID	Unigene	Chromosome	Description
203701_s_at	9	0.00001	FLJ20244	55621	Hs.515169	19p13.13	hypothetical protein FLJ20244
212996_s_at	35	0.00007	C21orf108	9875	Hs.443257	21q22.11	chromosome 21 open reading frame 108
207398_at	4	0.00008	HOXD13	3239	Hs.152414	2q31.1	homeo box D13
202890_at	223	0.00009	MAP7	9053	Hs.486548	6q23.2	microtubule-associated protein 7
201563_at	4	0.00009	SORD	6652	Hs.878	15q15.3	sorbitol dehydrogenase
202935_s_at	263	0.0001	SOX9	6662	Hs.2316	17q24.3-q25.1	SRY-box 9
207540_s_at	51	0.0001	SYK	6850	Hs.371720	9q22	spleen tyrosine kinase
203358_s_at	23	0.0001	EZH2	2146	Hs.444082	7q35-q36	enhancer of zeste homolog 2 (Drosophila)
212312_at	6	0.0001	BCL2L1	598	Hs.516966	20q11.21	cytochrome c oxidase subunit IV isoform 2
204542_at	3	0.0001	SIAT7B	10610	Hs.288215	17q25.3	sialyltransferase 7B
221884_at	126	0.0002	EVI1	2122	Hs.165830	3q24-q28	ecotropic viral integration site 1 (oncogene Evi-1)
201839_s_at	84	0.0002	TACSTD1	4072	Hs.692	2p21	tumor-associated calcium signal transducer 1
209739_s_at	15	0.0002	PNPLA4	8228	Hs.264	Xp22.3	patatin-like phospholipase domain-containing protein 4
209705_at	13	0.0002	M96	22823	Hs.31016	1p22.1	likely ortholog of mouse metal response element binding transcription factor 2
220315_at	5	0.0002	PARP11	57097	Hs.504538	12p13.3	chromosome 12 open reading frame 6
205928_at	40	0.0003	ZNF443	10224	Hs.142150	19p13.2	zinc finger protein 443
204798_at	22	0.0003	MYB	4602	Hs.531941	6q22-q23	v-myb myeloblastosis viral oncogene homolog (avian)
202033_s_at	17	0.0003	RB1CC1	9821	Hs.196102	8p22-q21.13	RB1-inducible coiled-coil 1
214053_at	17	0.0003	ERBB4	2066	Hs.390729	2q33.3-q34	v-erb-a erythroblastic leukemia viral oncogene homolog 4
202043_s_at	4	0.0003	SMS	6611	Hs.529887	Xp22.1	spermine synthase
204404_at	2	0.0003	SLC12A2	6558	Hs.162585	5q23.3	solute carrier family 12, member 2
201036_s_at	16	0.0004	HADHSC	3033	Hs.438289	4q22-q26	L-3-hydroxyacyl-Coenzyme A dehydrogenase, short chain
201291_s_at	16	0.0004	TOP2A	7153	Hs.156346	17q21-q22	topoisomerase (DNA) II alpha 170kDa
219031_s_at	11	0.0004	CGI-37	51388	Hs.501513	16q22.1	comparative gene identification transcript 37
