Ref Seq	locus link	Gene Symbol	cytoband	gene median class 1	gene median class 2	pvalue ttest gene	correlation with closest relevant clone	pvalue correlation with closest relevant clone	% class2 DOWN	best pvalue correlation with the relevant clones in the relevant region	ref seq best correlated clone	p-value ttest best correlated clone	median class (poor)	median class (good)	% class (poor) UP	% class (good)UP	% class (poor) DOWN	% class (good) DOWN
AK055931	79801	SHCBP1,FLJ22009,MGC26900	16q11.2	1.50E-01	-1.59E-01	2.05E-09	5.20E-01	5.46E-06	4.17E+00	5.46E-06	RP11-5L1	7.81E-07	7.04E-03	-1.18E-01	0	0	0	4.2
NM_014321	23594	ORC6L,ORC6	16q11.2	1.08E-01	-2.92E-01	6.24E-09	6.77E-01	2.39E-10	4.17E+00	8.80E-12	RP11-167P11	3.87E-06	3.28E-02	-1.45E-01	4.5	0	0	8.3
NM_018455	55839	BM039	16q23.1	1.27E-01	-2.31E-01	3.81E-08	6.05E-01	4.56E-08	0	6.14E-10	RP11-437L22	7.78E-05	-5.50E-02	-2.54E-01	2.3	0	9.1	20.8
AW029633	776	CACNA1D	16q22.1	-3.44E-01	1.07E-01	4.15E-08	-6.55E-01	1.36E-09	8.33E+00	6.07E-04	RP11-283C7	1.56E-03	-4.80E-02	-1.84E-01	2.3	0	2.3	8.3
NM_020188	56942	DC13	16q23.1	5.48E-02	-1.62E-01	4.25E-06	6.96E-01	4.49E-11	0	1.82E-11	RP11-437L22	7.78E-05	-5.50E-02	-2.54E-01	2.3	0	9.1	20.8
NM_014669	9688	NUP93,KIAA0095,MGC21106	16q12.2	5.66E-02	-1.50E-01	6.18E-06	6.02E-01	5.78E-08	25	1.65E-09	RP11-167P11	3.87E-06	3.28E-02	-1.45E-01	4.5	0	0	8.3
BC004415	79650	FLJ13154	16q13	8.35E-02	-7.24E-02	6.40E-06	6.27E-01	1.09E-08	0	1.07E-09	RP11-76H6	4.76E-05	-1.90E-02	-2.17E-01	0	0	4.5	33.3
NM_001605	16	AARS	16q22.1	8.26E-02	-1.26E-01	1.17E-05	5.61E-01	6.53E-07	0	2.09E-09	RP11-70E3	9.08E-05	4.01E-03	-1.52E-01	0	0	0	4.2
NM_004594	6553	SLC9A5,NHE5	16q22.1	-4.86E-01	3.69E-02	1.24E-05	-5.09E-01	9.47E-06	8.33E+00	3.66E-02	RP11-452G23	1.35E-02	-2.62E-02	-1.70E-01	4.5	0	6.8	4.2
NM_005548	3735	KARS,KIAA0070	16q22.3	3.06E-02	-1.54E-01	1.36E-05	6.22E-01	1.46E-08	4.17E+00	2.15E-10	RP11-478M13	2.28E-05	-3.00E-03	-1.67E-01	0	0	0	0
NM_020313	57019	LOC57019	16q12.2	8.13E-02	-6.67E-02	2.61E-05	6.72E-01	3.56E-10	0	3.56E-10	RP11-405F3	7.69E-05	1.61E-02	-1.54E-01	2.3	0	2.3	0
AK027445	84916	CIRH1A,NAIC,CIRHIN,TEX292,FLJ14728,KIAA1988	16q22.1	5.19E-02	-6.37E-02	5.45E-05	5.11E-01	8.31E-06	2.08E+01	4.40E-09	RP11-254F19	1.39E-04	-3.91E-02	-1.86E-01	2.3	0	6.8	12.5
AI656807	29028	ATAD2	16q22.1	-3.34E-02	-2.04E-01	8.50E-05	3.63E-01	2.35E-03	3.33E+01	6.76E-04	RP11-200H5	1.09E-04	-1.57E-02	-1.04E-01	0	0	0	0
NM_018233	55239	FLJ10826	16q12.2	5.22E-02	-9.36E-02	1.08E-04	6.99E-01	3.53E-11	25	3.51E-13	RP11-405F3	7.69E-05	1.61E-02	-1.54E-01	2.3	0	2.3	0
NM_007006	11051	CPSF5,CFIM25	16q12.2	8.81E-03	-1.57E-01	1.27E-04	5.12E-01	8.16E-06	25	1.83E-06	RP11-405F3	7.69E-05	1.61E-02	-1.54E-01	2.3	0	2.3	0
NM_002801	5699	PSMB10,LMP10,MECL1,MGC1665	16q22.1	5.01E-02	-1.24E-01	1.46E-04	4.34E-01	2.20E-04	8.33E+00	2.20E-04	RP11-167P11	3.87E-06	3.28E-02	-1.45E-01	4.5	0	0	8.3
NM_005796	10204	NUTF2,NTF2,PP15	16q22.1	7.19E-02	-5.77E-02	1.51E-04	5.78E-01	2.39E-07	8.33E+00	2.39E-07	RP11-167P11	3.87E-06	3.28E-02	-1.45E-01	4.5	0	0	8.3
AB007916	9906	SLC35E2,KIAA0447	16q22.1	-2.38E-01	2.83E-03	1.96E-04	-4.06E-01	6.01E-04	0	2.14E-03	RP11-452G23	1.35E-02	-2.62E-02	-1.70E-01	4.5	0	6.8	4.2
NM_006067	10328	NOC4,C16orf4	16q24.1	6.83E-02	-7.53E-02	2.11E-04	6.90E-01	7.53E-11	0	1.65E-12	RP11-254F19	1.39E-04	-3.91E-02	-1.86E-01	2.3	0	6.8	12.5
NM_013242	29105	GTL3	16q13	5.21E-02	-1.08E-01	2.56E-04	5.51E-01	1.10E-06	8.33E+00	1.71E-09	RP11-405F3	7.69E-05	1.61E-02	-1.54E-01	2.3	0	2.3	0
NM_018380	55794	DDX28,MDDX28,FLJ11282	16q22.1	5.50E-02	-5.95E-02	2.67E-04	4.75E-01	4.20E-05	8.33E+00	2.15E-06	RP11-478M13	2.28E-05	-3.00E-03	-1.67E-01	0	0	0	0
NM_016062	51647	CGI-128	16q22.1	4.79E-02	-1.03E-01	3.13E-04	6.60E-01	9.50E-10	0	3.62E-15	RP11-229O3	6.91E-04	-5.83E-02	-2.58E-01	0	0	6.8	25
AF011793	10294	DNAJA2	16q11.2	4.55E-02	-1.03E-01	3.81E-04	5.06E-01	1.08E-05	8.33E+00	1.13E-06	RP11-446C5	5.29E-05	1.23E-02	-1.83E-01	6.8	0	2.3	8.3
AK022605	79786	C16orf44,FLJ12543	16q23.3	9.11E-02	-4.94E-02	3.92E-04	6.91E-01	7.16E-11	1.25E+01	7.16E-11	RP11-254F19	1.39E-04	-3.91E-02	-1.86E-01	2.3	0	6.8	12.5
AL162049	9100	USP10,UBPO,KIAA0190	16q23.3	4.84E-02	-1.12E-01	3.93E-04	6.60E-01	9.35E-10	1.25E+01	9.35E-10	RP11-254F19	1.39E-04	-3.91E-02	-1.86E-01	2.3	0	6.8	12.5
AL832870	138050	FLJ32731,FLJ22242	16q22.2	-7.83E-02	7.10E-02	4.27E-04	-1.95E-01	1.10E-01	4.17E+00	2.18E-01	RP11-303E16	1.99E-04	-4.12E-02	-1.55E-01	2.3	0	0	0
NM_016095	51659	Pfs2,HSPC037	16q24.1	3.82E-03	-1.44E-01	5.97E-04	6.13E-01	2.79E-08	0	2.79E-08	RP11-478M13	2.28E-05	-3.00E-03	-1.67E-01	0	0	0	0
D13642	23450	SF3B3,RSE1,SAP130,SF3B130,SF3b130,KIAA0017	16q22.1	1.36E-01	-5.80E-02	7.86E-04	4.40E-01	1.76E-04	0	2.38E-05	RP11-165M2	1.17E-04	-8.84E-02	-2.96E-01	0	0	6.8	41.7
BC001478	57017	DKFZP434K046	16q12.2	4.18E-02	-4.62E-02	8.08E-04	6.19E-01	1.88E-08	0	1.64E-10	RP11-481J2	1.26E-04	2.13E-02	-1.47E-01	2.3	0	0	8.3
NM_005880	10294	DNAJA2,CPR3,DNAJ,DNJ3,HIRIP4,PRO3015	16q11.2	3.02E-02	-7.13E-02	8.64E-04	6.20E-01	1.72E-08	8.33E+00	1.72E-08	RP11-283C7	1.56E-03	-4.80E-02	-1.84E-01	2.3	0	2.3	8.3
NM_002694	5432	POLR2C,RPB3,RPB31,hRPB33,hsRPB3	16q12.2	4.15E-02	-8.96E-02	1.05E-03	6.18E-01	1.93E-08	0	1.93E-08	RP11-405F3	7.69E-05	1.61E-02	-1.54E-01	2.3	0	2.3	0
NM_001861	1327	COX4I1,COX4,COXIV	16q24.1	2.82E-02	-8.77E-02	1.13E-03	5.88E-01	1.37E-07	0	2.58E-08	RP11-254F19	1.39E-04	-3.91E-02	-1.86E-01	2.3	0	6.8	12.5
NM_000353	6898	TAT	16q22.1	-1.07E+00	-3.54E-01	1.21E-03	-3.82E-01	1.30E-03	4.17E+00	2.50E-02	RP11-147B17	1.52E-05	2.84E-02	-1.93E-01	0	0	0	20.8
NM_014003	9785	DHX38,DDX38,PRP16,PRPF16,KIAA0224	16q22.2	3.10E-02	-9.62E-02	1.55E-03	6.50E-01	1.94E-09	4.17E+00	1.61E-12	RP11-328J14	1.34E-04	-1.43E-02	-1.69E-01	0	0	0	4.2
NM_007242	11269	DDX19,DBP5	16q22.1	8.26E-02	-2.37E-02	2.08E-03	5.59E-01	7.16E-07	0	4.55E-10	RP11-328J14	1.34E-04	-1.43E-02	-1.69E-01	0	0	0	4.2
NM_018206	55737	VPS35,MEM3,FLJ10752,FLJ13588,FLJ20388,DKFZp434E1211,DKFZp434P1672	16q11.2	4.30E-02	-6.61E-02	2.44E-03	7.06E-01	1.80E-11	4.17E+00	1.80E-11	RP11-5L1	7.81E-07	7.04E-03	-1.18E-01	0	0	0	4.2
NM_013245	27183	VPS4A,SKD1,SKD2,VPS4,VPS4-1,FLJ22197	16q22.1	3.30E-02	-7.01E-02	2.53E-03	5.42E-01	1.78E-06	2.08E+01	1.78E-06	RP11-123C5	7.13E-04	-3.18E-02	-2.11E-01	2.3	0	2.3	20.8
AI457764	376503	0	16q11.2	-8.67E-02	6.75E-02	2.59E-03	-1.39E-01	2.57E-01	4.17E+00	4.92E-01	RP11-2L4	3.25E-03	-9.79E-02	-2.47E-01	2.3	0	6.8	37.5
AK056401		0	16q12.1	-1.37E-01	5.05E-02	2.84E-03	-3.55E-02	7.74E-01	2.08E+01	5.50E-01	RP11-452G23	1.35E-02	-2.62E-02	-1.70E-01	4.5	0	6.8	4.2
NM_018332	55308	FLJ11126	16q22.1	7.40E-02	-3.64E-02	2.86E-03	5.85E-01	1.64E-07	0	6.36E-10	RP11-328J14	1.34E-04	-1.43E-02	-1.69E-01	0	0	0	4.2
NM_002811	5713	PSMD7,P40,S12,MOV34	16q22.3	-2.56E-02	-1.37E-01	3.03E-03	6.74E-01	3.06E-10	4.17E+00	3.06E-10	RP11-77K12	2.58E-04	-2.00E-02	-1.12E-01	0	0	0	4.2
AB020656	1540	CYLD,EAC,CDMT,CYLD1,HSPC057,KIAA0849	16q12.1	4.35E-02	-9.01E-02	3.48E-03	3.19E-01	8.02E-03	2.08E+01	3.86E-04	RP11-167P11	3.87E-06	3.28E-02	-1.45E-01	4.5	0	0	8.3
AF239156	64146	PDF	16q22.1	-9.51E-03	-8.35E-02	3.61E-03	5.50E-01	1.16E-06	2.08E+01	1.26E-07	RP11-354N7	2.49E-05	5.15E-02	-1.39E-01	2.3	0	0	0
NM_001797	1009	CDH11,OB,CAD11,CDHOB,OSF-4	16q21	-1.68E-01	3.61E-02	3.65E-03	7.13E-02	5.63E-01	25	5.51E-01	RP11-311C24	3.60E-04	-5.98E-02	-2.08E-01	2.3	0	2.3	8.3
NM_017803	54920	FLJ20399	16q22.1	7.24E-02	-6.66E-03	4.13E-03	5.91E-01	1.13E-07	8.33E+00	1.13E-07	RP11-167P11	3.87E-06	3.28E-02	-1.45E-01	4.5	0	0	8.3
NM_016951	51192	CKLF,C32,CKLF1,CKLF2,CKLF3,CKLF4,UCK-1,HSPC224	16q22.1	4.57E-02	-5.19E-02	4.14E-03	4.97E-01	1.63E-05	0	1.37E-07	RP11-437L22	7.78E-05	-5.50E-02	-2.54E-01	2.3	0	9.1	20.8
AK093350	168455	FLJ36031	16q12.1	3.67E-02	-7.71E-02	5.38E-03	1.73E-01	1.58E-01	8.33E+00	2.97E-03	RP11-478M13	2.28E-05	-3.00E-03	-1.67E-01	0	0	0	0
NM_001537	3281	HSBP1	16q23.3	1.01E-02	-7.69E-02	5.95E-03	6.40E-01	4.30E-09	3.33E+01	2.39E-09	RP11-478M13	2.28E-05	-3.00E-03	-1.67E-01	0	0	0	0
NM_014638	9651	KIAA0450	16q22.1	-1.33E-01	3.25E-02	5.96E-03	-1.86E-01	1.28E-01	0	7.07E-01	RP11-122K22	4.62E-03	-7.79E-02	-3.05E-01	2.3	0	11.4	54.2
NM_013263	29117	BRD7,BP75,NAG4,CELTIX1	16q12.1	-3.75E-03	-1.11E-01	6.27E-03	5.70E-01	3.86E-07	2.08E+01	9.68E-12	RP11-122K22	4.62E-03	-7.79E-02	-3.05E-01	2.3	0	11.4	54.2
NM_015964	51673	CGI-38	16q22.1	-1.82E-01	-5.83E-03	7.17E-03	-2.65E-01	2.92E-02	8.33E+00	7.24E-01	RP11-122K22	4.62E-03	-7.79E-02	-3.05E-01	2.3	0	11.4	54.2
NM_002661	5336	PLCG2	16q23.2	4.15E-02	-7.48E-02	7.18E-03	3.31E-01	5.83E-03	2.08E+01	3.51E-04	RP11-167P11	3.87E-06	3.28E-02	-1.45E-01	4.5	0	0	8.3
AX721195		0	16q22.1	-2.87E-01	6.35E-02	8.30E-03	-2.21E-01	6.99E-02	8.33E+00	8.80E-01	RP11-122K22	4.62E-03	-7.79E-02	-3.05E-01	2.3	0	11.4	54.2
NM_003905	8883	APPBP1,A-116A10.1,DKFZP434P241	16q22.1	3.91E-02	-9.35E-02	8.40E-03	6.38E-01	4.79E-09	0	4.10E-10	RP11-70E3	9.08E-05	4.01E-03	-1.52E-01	0	0	0	4.2
BC053658	221184	CPNE2,CPN2,COPN2,MGC16924	16q12.2	3.33E-02	-3.56E-02	8.80E-03	6.60E-01	9.54E-10	25	9.54E-10	RP11-325K4	4.57E-04	-7.36E-02	-2.55E-01	0	0	11.4	25
BC047114	8766	RAB11A	16q23.3	-1.13E-01	1.90E-02	9.10E-03	-3.96E-01	8.26E-04	3.33E+01	7.32E-01	RP11-452G23	1.35E-02	-2.62E-02	-1.70E-01	4.5	0	6.8	4.2
NM_005792	10200	MPHOSPH6,MPP,MPP6,MPP-6	16q23.2	7.18E-02	-1.36E-01	9.16E-03	4.86E-01	2.65E-05	3.75E+01	9.77E-07	RP11-478M13	2.28E-05	-3.00E-03	-1.67E-01	0	0	0	0
