Gene name	HU133plus2.0 probe ID	logFC	adj. p-value (FDR<0.01)	Descriptions
CD10	203434_s_at	-3.494657748	1.8986E-13	gb:AI433463 /DB_XREF=gi:4289355 /DB_XREF=ti65g11.x1 /CLONE=IMAGE:2136932 /FEA=FLmRNA /CNT=219 /TID=Hs.1298.2 /TIER=Stack /STK=35 /UG=Hs.1298 /LL=4311 /UG_GENE=MME /UG_TITLE=membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10) /FL=gb:NM_007288.1 gb:NM_007287.1 gb:J03779.1
DKFZP586H0519	203593_at	-1.72410468	1.15505E-06	gb:NM_012120.1 /DB_XREF=gi:11321633 /GEN=CD2AP /FEA=FLmRNA /CNT=81 /TID=Hs.265561.0 /TIER=FL+Stack /STK=19 /UG=Hs.265561 /LL=23607 /DEF=Homo sapiens CD2-associated protein (CD2AP), mRNA. /PROD=CD2-associated protein /FL=gb:AF146277.1 gb:NM_012120.1 gb:AF164377.1
CD24	209772_s_at	-1.878626022	2.0908E-05	gb:X69397.1 /DB_XREF=gi:396167 /GEN=CD24 /FEA=FLmRNA /CNT=42 /TID=Hs.286124.0 /TIER=FL /STK=0 /UG=Hs.286124 /LL=934 /DEF=H.sapiens CD24 gene, complete CDS. /PROD=cell surface antigen /FL=gb:X69397.1
DYRK3	210151_s_at	-0.721219386	0.003989125	gb:AF186773.1 /DB_XREF=gi:10441414 /GEN=RED /FEA=FLmRNA /CNT=28 /TID=Hs.38018.0 /TIER=FL /STK=1 /UG=Hs.38018 /LL=8444 /DEF=Homo sapiens regulatory erythroid kinase long form (RED) mRNA, alternatively spliced product, complete cds. /PROD=regulatory erythroid kinase long form /FL=gb:NM_003582.1 gb:AF186773.1
KIAA0867	211789_s_at	-1.928819145	3.03224E-11	gb:AF312918.1 /DB_XREF=gi:11321340 /FEA=FLmRNA /CNT=28 /TID=Hs.52081.2 /TIER=FL /STK=0 /UG=Hs.52081 /LL=22877 /UG_GENE=MONDOA /DEF=Homo sapiens MondoA mRNA, complete cds. /PROD=MondoA /FL=gb:AF312918.1
ITPR1	211323_s_at	-1.090369682	2.01493E-06	gb:L38019.1 /DB_XREF=gi:1464750 /GEN=ITPR1 /FEA=FLmRNA /CNT=1 /TID=Hs.198443.1 /TIER=FL /STK=0 /UG=Hs.198443 /LL=3708 /DEF=Homo sapiens (clone HUM-IP3R1) inositol 1,4,5-trisphosphate receptor type 1 mRNA, complete cds. /PROD=inositol 1,4,5-trisphosphate receptor type 1 /FL=gb:L38019.1
DNTT (TDT)	210487_at	-2.117075474	0.000680043	gb:M11722.1 /DB_XREF=gi:339436 /GEN=LA0024A /FEA=FLmRNA /CNT=9 /TID=Hs.272537.0 /TIER=FL /STK=0 /UG=Hs.272537 /LL=1791 /DEF=Human terminal transferase mRNA, complete cds. /PROD=terminal transferase /FL=gb:M11722.1 gb:NM_004088.1
SPTA1	206937_at	-0.987769744	2.62433E-06	gb:NM_003126.1 /DB_XREF=gi:4507188 /GEN=SPTA1 /FEA=FLmRNA /CNT=24 /TID=Hs.1985.0 /TIER=FL /STK=1 /UG=Hs.1985 /LL=6708 /DEF=Homo sapiens spectrin, alpha, erythrocytic 1 (elliptocytosis 2) (SPTA1), mRNA. /PROD=spectrin, alpha, erythrocytic 1 (elliptocytosis2) /FL=gb:M61877.1 gb:NM_003126.1
CD22	204581_at	-1.084893579	0.000269759	gb:NM_001771.1 /DB_XREF=gi:4502650 /GEN=CD22 /FEA=FLmRNA /CNT=92 /TID=Hs.171763.0 /TIER=FL+Stack /STK=18 /UG=Hs.171763 /LL=933 /DEF=Homo sapiens CD22 antigen (CD22), mRNA. /PROD=CD22 antigen /FL=gb:NM_001771.1
cDNA 13f12 (RBQ-1)	205178_s_at	-0.894369523	1.46509E-06	gb:NM_006910.1 /DB_XREF=gi:5902043 /GEN=RBBP6 /FEA=FLmRNA /CNT=40 /TID=Hs.85273.0 /TIER=FL+Stack /STK=8 /UG=Hs.85273 /LL=5930 /DEF=Homo sapiens retinoblastoma-binding protein 6 (RBBP6), mRNA. /PROD=retinoblastoma-binding protein 6 /FL=gb:NM_006910.1
