Gene	Accession number	Relative fluorescence intensity
Ubiquitin B	X51703	8462.1
Neuroendocrine secretory peptide 55	AJ245401	7597.8
Ferritin heavy chain	X52561	7555.1
Apolipoprotein E	D00466	6641.2
Creatine kinase, brain	X04591	6541.6
Peptidylprolyl isomerase A	X52803	6346.3
Calmodulin 2	M27844	6336.1
Glyceraldehyde-3-phosphate dehydrogenase	M32599	6332.8
Ribosomal protein L41	U93862	6221.9
Metallothionein 1	V00835	5876.5
Tubulin alpha 6	M13441	5678.5
Proteolipid protein (myelin)	M16472	5659.3
Prostaglandin D2 synthase (21 kDa, brain)	AB006361	5652.2
Myelin basic protein	M11533	5609.9
Tubulin alpha 1	M28729	5403
Tubulin alpha 2	M28727	5294.5
Translationally regulated transcript (21 kDa)	X06407	5206.7
Cystatin C	U10098	5205.6
Metallothionein 3	M93310	5107.6
Myelin-associated oligodendrocytic basic protein	U81317	4987.4
