GeneSymbol	Accession	LocusLink
AAK1	NM_014911	22848
AATK	XM_290778	9625
ABL1	NM_005157	25
ABL2	NM_005158	2.70E+01
ACK1	NM_005781	10188
ACVR1	NM_001105	90
ACVR1B	NM_004302	91
ACVR2	NM_001616	92
ACVR2B	NM_001106	93
ACVRL1	NM_000020	94
ADAM9	NM_003816	8754
ADCK1	NM_020421	57143
ADCK2	NM_052853	90956
ADCK2	NM_024876	79934
ADCK5	NM_174922	203054
ADK	NM_001123	132
ADRA1A	NM_000680	148
ADRA1B	NM_000679	147
ADRB2	NM_000024	154
ADRBK1	NM_001619	156
ADRBK2	NM_005160	157
AGTR2	NM_000686	186
AK1	NM_000476	203
AK2	NM_001625	204
AK3	NM_013410	205
AK3L1	NM_016282	50808
AK5	NM_012093	26289
AK7	NM_152327	122481
AKAP1	NM_003488	8165
AKAP11	NM_016248	11215
AKAP13	NM_006738	11214
AKAP3	NM_006422	10566
AKAP4	NM_003886	8852
AKAP5	NM_004857	9495
AKAP6	NM_004274	9472
AKAP7	NM_004842	9465
AKAP8	NM_005858	10270
AKT1	NM_005163	207
AKT2	NM_001626	208
AKT3	NM_005465	10000
ALK	NM_004304	238
ALK7	NM_145259	130399
ALS2CR2	NM_018571	55437
ALS2CR7	NM_139158	65061
AMHR2	NM_020547	269
ANGPT4	NM_015985	51378
ANKK1	NM_178510	255239
ANKRD3	NM_020639	54101
APEG1	NM_005876	57518
APPL	NM_012096	26060
ARAF1	NM_001654	369
ARK5	NM_014840	9891
ASK	NM_006716	10926
ASP	NM_031916	83853
ATM	NM_000051	472
ATR	NM_001184	545
AURKB	NM_004217	9212
AURKC	NM_003160	6795
AVPR1A	NM_000706	552
AVPR1B	NM_000707	553
AXL	NM_001699	558
AZU1	NM_001700	566
BCKDK	NM_005881	10295
BCR	NM_004327	613
BDKRB2	NM_000623	624
BLK	NM_001715	640
BLNK	NM_013314	29760
BMP2K	NM_017593	55589
BMPR1A	NM_004329	657
BMPR1B	NM_001203	658
BMPR2	NM_001204	659
BMX	NM_001721	660
BRAF	NM_004333	673
BRD2	NM_005104	6046
BRDT	NM_001726	676
BTK	NM_000061	695
BUB1	NM_004336	699
BUB1B	NM_001211	701
C14ORF20	NM_174944	283629
C20ORF64	NM_033550	112858
C20ORF97	NM_021158	57761
C6ORF199	NM_145025	221264
C7ORF16	NM_006658	10842
C8FW	NM_025195	10221
C9ORF12	NM_022755	64768
CALM3	NM_005184	5509
CAMK1	NM_003656	8536
CAMK1D	NM_020397	57118
CAMK1G	NM_020439	57172
CAMK2A	NM_015981	815
CAMK2B	NM_001220	816
CAMK2D	NM_001221	817
CAMK2G	NM_001222	818
CAMK4	NM_001744	814
CAMKK1	NM_172206	84254
CAMKK2	NM_006549	10645
CARD10	NM_014550	29775
CARD14	NM_024110	79092
CARK	NM_015978	51086
CARKL	NM_013276	23729
CASK	NM_003688	8573
CCL2	NM_002982	6347
CCL4	NM_002984	6351
CCRK	NM_012119	23552
CD3E	NM_000733	916
CD4	NM_000616	920
CD7	NM_006137	924
CDACD1	NM_030911	81602
CDC2	NM_001786	983
CDC2L1	NM_001787	984
CDC2L2	NM_024011	985
CDC2L5	NM_003718	8621
CDC42BPA	NM_003607	8476
CDC42BPB	NM_006035	9578
CDC7L1	NM_003503	8317
CDK10	NM_003674	8558
CDK11	NM_015076	23097
CDK2	NM_001798	1017
CDK3	NM_001258	1018
CDK4	NM_000075	1019
CDK5	NM_004935	1020
CDK5R1	NM_003885	8851
CDK5R2	NM_003936	8941
CDK5RAP1	NM_016082	51654
CDK5RAP3	NM_025197	80279
CDK6	NM_001259	1021
CDK7	NM_001799	1022
CDK8	NM_001260	1024
CDK9	NM_001261	1025
CDKL1	NM_004196	8814
CDKL2	NM_003948	8999
CDKL3	NM_016508	51265
CDKL5	NM_003159	6792
CDKN1A	NM_000389	1026
CDKN1B	NM_004064	1027
CDKN1C	NM_000076	1028
CDKN2B	NM_004936	1030
CDKN2C	NM_001262	1031
CDKN2D	NM_001800	1032
CDKN3	NM_005192	1033
CERK	NM_022766	64781
CGEF2	NM_007023	11069
CHEK1	NM_001274	1111
CHEK2	NM_007194	11200
CHK	NM_001277	1119
CHKL	NM_005198	1120
CHRM1	NM_000738	1128
CHUK	NM_001278	1147
CINP	NM_032630	51550
CIT	NM_007174	11113
CKB	NM_001823	1152
CKM	NM_001824	1158
CKMT1	NM_020990	1159
CKMT2	NM_001825	1160
CKS1B	NM_001826	1163
CKS2	NM_001827	1164
CLK	NM_009905	12747
CLK1	NM_004071	1195
CLK2	NM_001291	1196
CLK3	NM_001292	1198
CLK4	NM_020666	57396
CNK1	NM_006314	10256
COL4A3BP	NM_005713	10087
COPB2	NM_004766	9276
CRK7	NM_016507	51755
CRKL	NM_005207	1399
CSF1R	NM_005211	1436
CSK	NM_004383	1445
CSNK1A1	NM_001892	1452
CSNK1D	NM_001893	1453
CSNK1E	NM_001894	1454
CSNK1G1	NM_022048	53944
CSNK1G2	NM_001319	1455
CSNK1G3	NM_004384	1456
CSNK2A1	NM_001895	1457
CSNK2A2	NM_001896	1459
CSNK2B	NM_001320	1460
CXCL10	NM_001565	3627
DAPK1	NM_004938	1612
DAPK2	NM_014326	23604
DAPK3	NM_001348	1613
DCAMKL1	NM_004734	9201
DCK	NM_000788	1633
DDR1	NM_001954	780
DDR2	NM_006182	4921
DGKA	NM_001345	1606
DGKB	NM_004080	1607
DGKD	NM_003648	8527
DGKE	NM_003647	8526
DGKG	NM_001346	1608
DGKI	NM_004717	9162
DGKQ	NM_001347	1609
DGKZ	NM_003646	8525
DGUOK	NM_001929	1716
DKFZP434C131	XM_044630	25989
DKFZP434C1418	NM_173655	285220
DKFZP586B1621	NM_015533	26007
DKFZP761P0423	XM_291277	157285
DKFZp761P1010	NM_018423	55359
DLG1	NM_004087	1739
DLG2	NM_001364	1740
DLG3	NM_021120	1741
DLG4	NM_001365	1742
DMPK	NM_004409	1760
DNAJC3	NM_006260	5611
DOK1	NM_001381	1796
DTYMK	NM_012145	1841
DUSP1	NM_004417	1843
DUSP10	NM_144728	11221
DUSP2	NM_004418	1844
DUSP22	NM_020185	56940
DUSP4	NM_057158	1846
DUSP5	NM_004419	1847
DUSP6	NM_001946	1848
DUSP7	NM_001947	1849
DUSP8	NM_004420	1850
DYRK1A	NM_001396	1859
DYRK1B	NM_004714	9149
DYRK2	NM_006482	8445
DYRK3	NM_003582	8444
DYRK4	NM_003845	8798
EDN2	NM_001956	1907
EEF2K	NM_013302	29904
EGFR	NM_005228	1956
EIF2AK3	NM_004836	9451
EIF2AK4	XM_031612	27104
EKI1	NM_018638	55500
EPAC	NM_006105	10411
EPHA1	NM_005232	2041
EPHA2	NM_004431	1969
EPHA3	NM_005233	2042
EPHA4	NM_004438	2043
EPHA5	NM_004439	2044
EPHA7	NM_004440	2045
EPHA8	NM_020526	2046
EPHB1	NM_004441	2047
EPHB2	NM_004442	2048
EPHB3	NM_004443	2049
EPHB4	NM_004444	2050
EPHB6	NM_004445	2051
ERBB2	NM_004448	2064
ERBB3	NM_001982	2065
ERBB4	NM_005235	2066
ERK8	NM_139021	225689
ERN1	NM_001433	2081
EVI1	NM_005241	2122
FASTK	NM_006712	10922
FER	NM_005246	2241
FES	NM_002005	2242
FGFR1	NM_000604	2260
FGFR2	NM_000141	2263
FGFR3	NM_000142	2261
FGFR4	NM_002011	2264
FGR	NM_005248	2268
FLJ10074	NM_017988	55681
FLJ10761	NM_018208	55224
FLJ10842	NM_018238	55750
FLJ11149	NM_018339	55312
FLJ12476	NM_022784	64799
FLJ13052	NM_023018	65220
FLJ14813	NM_032844	84930
FLJ20574	NM_017886	54986
FLJ22002	NM_024838	79896
FLJ23074	NM_025052	80122
FLJ23119	NM_024652	79705
FLJ23356	NM_032237	84197
FLJ25006	NM_144610	124923
FLJ32685	NM_152534	152110
FLJ32704	NM_152572	158067
FLJ34389	NM_152649	197259
FLJ35107	NM_182629	348825
FLT1	NM_002019	2321
FLT3	NM_004119	2322
FLT4	NM_002020	2324
FN3K	NM_022158	64122
FN3KRP	NM_024619	79672
FRAP1	NM_004958	2475
FRDA	NM_000144	2395
FRK	NM_002031	2444
FUK	NM_145059	197258
FYB	NM_001465	2533
FYN	NM_002037	2534
GAK	NM_005255	2580
GALK1	NM_000154	2584
GALK2	NM_002044	2585
GAP43	NM_002045	2596
GCK	NM_000162	2645
GFRA2	NM_001495	2675
GK	NM_000167	2710
GK2	NM_033214	2712
GMFB	NM_004124	2764
GMFG	NM_004877	9535
GNE	NM_005476	10020
GPRK2L	NM_005307	2868
GPRK5	NM_005308	2869
GPRK6	NM_002082	2870
GPRK7	NM_139209	131890
GSG2	NM_031965	83903
GSK3A	NM_019884	2931
GSK3B	NM_002093	2932
GTF2H1	NM_005316	2965
GUCY2C	NM_004963	2984
GUCY2D	NM_000180	3000
GUCY2F	NM_001522	2986
GUK1	NM_000858	2987
H11	NM_014365	26353
HAK	NM_052947	115701
HCK	NM_002110	3055
HIPK1	NM_152696	204851
HIPK2	NM_022740	28996
HIPK3	NM_005734	10114
HIPK4	NM_144685	147746
HK1	NM_000188	3098
HK2	NM_000189	3099
HK3	NM_002115	3101
HRI	NM_014413	27102
HSA250839	NM_018401	55351
HSMDPKIN	XM_290516	55561
HUNK	NM_014586	30811
ICAP-1A	NM_004763	9270
ICK	NM_014920	22858
IGF1R	NM_000875	3480
IHPK1	NM_153273	9807
IHPK2	NM_016291	51447
IHPK3	NM_054111	117283
IKBKAP	NM_003640	8518
IKBKB	XM_032491	3551
IKBKE	NM_014002	9641
IL2	NM_000586	3558
ILK	NM_004517	3611
ILKAP	NM_030768	80895
IMPK	NM_152230	253430
INSR	NM_000208	3643
INSRR	NM_014215	3645
IPMK	NM_152230	253430
IRAK1	NM_001569	3654
IRAK2	NM_001570	3656
IRAK3	NM_007199	11213
IRS1	NM_005544	3667
ITK	NM_005546	3702
ITPK1	NM_014216	3705
ITPKA	NM_002220	3706
ITPKB	NM_002221	3707
ITPKC	NM_025194	80271
JAK1	NM_002227	3716
JAK2	NM_004972	3717
JAK3	NM_000215	3718
JIK	NM_016281	51347
KDR	NM_002253	3791
KHK	NM_000221	3795
KIAA0551	XM_039796	23043
KIAA0561	XM_038150	23031
KIAA0999	NM_025164	23387
KIAA1361	XM_290796	57551
KIAA1399	XM_046685	57574
KIAA1639	XM_290923	57729
KIAA1765	XM_047355	85443
KIAA1804	NM_032435	84451
KIAA1811	NM_032430	84446
KIAA1883	XM_055866	114783
KIF13B	NM_015254	23303
KIS	NM_144624	127933
KIT	NM_000222	3815
KPI2	NM_014916	22853
KSR2	NM_173598	283455
LAK	NM_025144	80216
LATS1	NM_004690	9113
LATS2	NM_014572	26524
LCK	NM_005356	3932
LCP2	NM_005565	3937
LIM	NM_006457	10611
LIMK1	NM_002314	3984
LIMK2	NM_005569	3985
LOC115704	NM_145245	115704
LOC149420	NM_152835	149420
LOC221823	NM_175886	221823
LOC340371	NM_178564	340371
LOC91807	NM_182493	91807
LTK	NM_002344	4058
LYK5	NM_153335	92335
LYN	NM_002350	4067
MADH7	NM_005904	4092
MAGI-3	NM_020965	260425
MAK	NM_005906	4117
