Probe Set ID	Symbol	Gene Title	Entrez ID	Location
202057_at	KPNA1	karyopherin alpha 1 (importin alpha 5)	3836	3q21
202490_at	IKBKAP	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein	8518	3q31
202497_x_at	SCL2A3	solute carrier family 2 (facilitated glucose transporter), number 3	6515	12p13.3
202616_s_at	MECP2	methyl CpG binding protein 2 (Rett syndrome)	4204	Xq28
203597_s_at	WBP4	WW domain binding protein 4 (formin binding protein 21)	11193	13q14.11
203914_x_at	HPGD	hydroxyprostaglandin dehydrogenase 15-(NAD)	3248	4q34-q35
204284_at	PPP1R3C	protein phosphatase 1, regulatory (inhibitor) subunit 3C	5507	10q23-q24
204442_x_at	LTBP4	latent transforming growth factor beta binding protein 4	8425	19q13.1-q13.2
204671_s_at	ANKRD6	ankyrin repeat domain 6	22881	6q14.2-q16.1
205051_s_at	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	3815	4q11-q12
205415_s_at	ATXN3	ataxin 3	4287	14q24.3-q32.2
205528_s_at	RUNX1T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	862	8q22
205941_s_at	COL10A1	collagen, type X, alpha (Scmid metaphyseal chondrodysplasia)	1300	6q21-q22
206134_at	ADAMDEC1	ADAM-like, decysin 1	27299	8p21.2
206244_at	CR1	complement component (3b/4b) receptor 1 (Knops blood group)	1378	1q32
206281_at	ADCYAP1	adenylate cyclase activating polypeptide 1 (pituitary)	116	18p11
206569_at	IL24	interleukin 24	11009	1q32
207158_at	APOBEC1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1	339	12p13.1
207417_s_at	ZNF177	zinc finger protein 177	7730	19p13.2
207859_s_at	CHRNB3	cholinergic receptor, nicotinic, beta 3	1142	8p11.2
208289_s_at	EI24	etoposide induced 2.4 mRNA	9538	11q24
208835_s_at	CROP	cisplatin resistance-associated overexpressed protein	51747	17q21.33
208933_s_at	LGALS8	lectin, galactoside-binding, soluble, 8 (galectin 8)	3964	1q42-q43
208940_at	SEPHS1	selenophosphate synthetase 1	22929	10p14
209377_s_at	HMGN3	high mobility group nucleosomal binding domain 3	9324	6q14.1
209468_at	LRP5	low density lipoprotein receptor-related protein 5	4041	11q13.4
209815_at	PTCH1	patched homolog 1 (Drosophila)	5727	9q22.3
210111_s_at	KIAA0265	KIAA0265 protein	23008	7q32.2
210312_s_at	IFT20	intraflagellar transport 20 homolog (Chlamydomonas)	90410	17q11.2
210356_x_at	MS4A1	membrane-spanning-4-domains, subfamily A, member 1	931	11q12
210536_s_at	SPAM1	sperm adhesion molecule 1 (PH-20 hyaluronidase, zona pellucida binding)	6677	7q31.1
210741_at	ARHGEF12	Rho guanine nucleotide exchange factor (GEF) 12	23365	11q23.3
211548_s_at	HPGD	hydroprostaglandin dehydrogenase 15-(NAD)	3248	4q34-q35
211565_at	SH3GL3	SH3-domain GRB2-like 3	6457	15q24
212179_at	SFRS18	splicing factor, arginine/serine-rich 18	25957	6q16.3
212263_at	QKI	quaking homolog, KH domain RNA binding (mouse)	9444	6q26-q27
212781_at	RBBP6	retinoblastoma binding protein 6	5930	16p12.2
212785_s_at	LARP7	La ribonucleoprotein domain family, member 7	51574	4q25
213156_at	---	Homo sapiens, clone IMAGE:4214654, mRNA	---	---
213265_at	PGA3 /// PGA4 /// PGA5	pepsinogen 5, group I (pepsinogen A) /// pepsinogen 3, group I (pepsinogen A) /// pepsinogen 4, group I (pepsinogen A)	643834 ///643847	11q12.2 /// 11q13
213269_at	ZNF248	zinc finger protein 248	57209	---
213650_at	GOLGA8A /// GOLGA8B	golgi autoantigen, golgin subfamily a, 8A /// golgi autoantigen, golgin subfamily a, 8B	23015 /// 440270	15q11.2 /// 15q14
213668_s_at	SOX4	SRY (sex determining region Y)-box 4	6659	6p22.3
213715_s_at	ANKRD47	ankyrin repeat domain 47	256949	19p13.2
213878_at	LOC642732	similar to CG10721-PA	642732	11q22.3
213934_s_at	ZNF19 /// ZNF23	zinc finger protein 19 /// zinc finger protein 23 (KOX 16)	7567 /// 7571	16q22
214381_at	LOC441601	septin 7 pseudogene	441601	11p11.12
214823_at	ZNF204	zinc finger protein 204	7754	6p21.3
214881_s_at	UBTF	upstream binding transcription factor, RNA polymerase I	7343	17q21.3
215274_at	SLC12A3	solute carrier family 12 (sodium/chloride transporters), member 3	6559	16q13
215359_x_at	ZNF44	zinc finger protein 44	51710	19p13.2
215470_at	DKFZP686M0199	general transcription factor IIH, polypeptide 2, 44kDa-like	653238	5q13.2
215822_x_at	MYT1	myelin transcription factor 1	4661	20q13.33
215933_s_at	HHEX	hematopoietically expressed homeobox	3087	10q23.33
216277_at	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	699	2q14
216499_at	---	MRNA; cDNA DKFZp434K0610 (from clone DKFZp434K0610)	---	---
