Description	Sequence
Adv. glycosylation end product-sp. receptor	M91211
Cathepsin Z	AF032906
Ceruloplasmin	M13699
Chromogranin A	U03749
Chromogranin C	M25756
Human amyloid precursor-like protein 1 mRNA	U48437
Hypothetical protein 384D8_6	U62317
Insulinoma-associated 1	M93119
ISL1 transcription factor	U07559
Keratin 5	M21389
KIAA0736 protein	AB018279
KIAA1087 protein	AB029010
Protein tyrosine phosphatase, receptor type, N	L18983
Secretagogin	Y16752
Secretory granule, neuroendocrine protein 1	Y00757
Synaptosomal-associated protein, 25 kDa	D21267
Tumor protein 63 kDa with strong homology to p53	Y16961
