Zg	Fold Change	Gene Name	Accession Number	Affymetrix Code
6.1	12.8	AICL, activation-induced  C-type lectin	X96719	40698_at
6	41.5	septin II-like cell division protein	from clone DKFZp564M1416	38033_at
5.3	10.1	dystrophin DMD	M18533	40488_at
4.7	11.1	gravin	U81607	37680_at
4.1	13.2	fibroblast muscle-type tropomyosin	M12125	32314_g_at
3.6	5.8	photolyase	D83702	38148_at
3.6	3	kallikrein	AA658877	41721_at
3.4	5.6	lipoprotein lipase	M15856	41209_at
3.3	7.8	BCL7A	X89984	32842_at
3.2	4.9	calcireticulin	CH19HHR23	1752_at
3.2	2.4	unknown	AL080192	38630_at
3.1	5.8	KCNG1	AL050404	37498_at
3	3.3	WSB-2	AF038187	40167_s_at
2.9	2.4	V4-31 lg variable region	U80114	34094_i_at
2.8	4.6	unknown	AA883101	39815_at
2.7	5.6	dipeptidyl peptidase IV	X60708	34823_at
2.2	4.4	CD30	M83554	34929_at
2.2	3.7	LDOC1	AB019527	39967_at
2.1	2	phorbolin-like prot. MDS019	AL078641	41472_at
2	4.6	unknown	AA523313	33582_s_at
-5.2	-26.5	FGL2, fibrinogen-like protein 2	AI432401	39593_at
-5.1	-6.4	unknown	AB023194	41755_at
-2.7	-8.5	MEGT1	AJ012008	33609_at
