Gene cluster	GenBank acc. no.	Gene symbol	Location	S	Gene description	Putative function
G5 1	AB004904	SOCS-3	17q25.3	1	suppressor of cytokine signaling 3; STAT-induced STAT inhibitor 3 (STATI3)	SOCS3 is involved in negative regulation of cytokines that signal through the JAK/STAT pathway. Inhibits cytokine signal transduction by binding to tyrosine kinase receptors including gp130, LIF, erythropoietin, insulin, and leptin receptors. Interacts with multiple activated proteins of the tyrosine kinase signaling pathway, including IGF1 receptor, insulin receptor, and JAK2 (40) .
G5 2	M32977	VEGF	6p21.1	1	VEGF-A	Growth factor active in angiogenesis, vasculogenesis, and endothelial cell growth. It induces endothelial cell proliferation, promotes cell migration, inhibits apoptosis, and induces permeabilization of blood vessels.
G5 3	M35410	IGFBP2	2q35	1	IGFBP2	IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth-promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors.
G5 4	U01134	FLT1	3q12.2	1	fms-related tyrosine kinase 1; vascular endothelial growth factor receptor 1 (VEGFR1)	Receptor for VEGF, VEGFB, and PGF. Has a tyrosine-protein kinase activity. The VEGF-kinase ligand/receptor signaling system plays a key role in vascular development and regulation of vascular permeability.
G5 5	M96322	AKAP12	6q25.1	1	A kinase anchor protein 12, gravin	Anchoring protein that mediates the subcellular compartmentation of protein kinase (PKA) and protein kinase C (PKC). May play a role in wound repair and vascular development (48) .
G5 6	AB004903	SOCS-2	12q22	1	Suppressor of cytokine signaling 2, STAT-induced STAT inhibitor 2 (STATI2)	Negative feedback system that regulates cytokine signal transduction. SOCS2 appears to be a negative regulator in the growth hormone/IGF1 signaling pathway (40) .
G5 7	M57399	PTN	7q33	0	Pleiotrophin; heparin-binding growth factor 8, neurite growth-promoting factor 1	Heparin-binding mitogenic protein. Has neurite extension activity. Angiogenic properties have been demonstrated (25)
G5 8	J04111	JUN	1p32.1	0	c-jun proto-oncogene; transcription factor AP-1	Transcription factor, interacts with c-fos to form a dimer. Interacts with SMAD3/SMAD4 heterodimers. Interacts with TCF20. Cooperates with HIF-1 in hypoxia-induced gene transcription (49)
G5 9	X79067	ZFP36L1	14q24.1	0	Zinc finger protein 36, C3H type-like 1, TIS11B protein; EGF response factor 1	Probable regulatory protein involved in regulating the response to growth factors.
G12 1	D78345	IGHG3	14q32.33	1	Human DNA for Ig gamma heavy-chain, membrane-bound-type and secrete-type	sigma-region located between C mu and C delta genes of human immunoglobulin heavy chain.
G12 2	U12255	FCGRT	19q13.33	0	IgG receptor Fc large subunit P51; FcRN	Binds to the Fc region of monomeric immunoglobulins gamma. Mediates the uptake of IgG from milk. Possible role in transfer of immunoglobulin G from mother to fetus.
G12 3	X78817	ARHGAP4	Xq28	0	rho-GAP hematopoietic protein C1 (RGC1); KIAA0131, (rho GTPase activating protein 4)	Inhibitory effect on stress fiber organization. May down-regulate rho-like GTPase in hematopoietic cells. Predominantly in hematopoietic cells.
G12 4	U19713	AIF1	6p21.33	1	allograft inflammatory factor 1 (AIF1); glutathione-S-transferase (GST) homologue, glutathione transferase omega.	May play a role in macrophage activation and function.
G12 5	U90313	GSTTLp28	10q25.1		Acts as a small stress response protein likely involved in cellular redox homeostasis
G12 6	X00497	CD74	5q33.1	0	invariant polypeptide of major histocompatibility complex, class II antigen-associated	Plays a critical role in MHC class II antigen processing.
G12 7	K01171	HLA-DRA	6p21.32	1	Major histocompatibility complex, class II, DR alpha, HLA class II histocompatibility antigen alpha chain	MHC class II receptor activity
G12 8	AF019562	TYROBP	19q13.12	1	TYRO protein tyrosine kinase binding protein, DNAX activation protein 12 (DAP12)	Noncovalently associates with membrane glycoproteins of the killer-cell inhibitory receptor (KIR) family without an ITIM in their cytoplasmic domain.
G12 9	J04164	IFITM1	CHR 11	0	IFN-induced transmembrane protein 1 (9–27), Leu13, CD225	Control of cell growth. Component of a multimeric complex involved in the transduction of antiproliferative and homotypic adhesion signals.
G12 10	J04162	FCGR3A	1q23.3	1	Fc fragment of gammaG, low affinity IIIa, leukocyte IgG receptor (Fc-gamma-R), CD16	Receptor for the Fc region of IgG. Mediates antibody-dependent cellular cytotoxicity (adcc) and other antibody-dependent responses, such as phagocytosis.
G12 11	X04011	CYBB	Xp11.4	0	Cytochrome b-245, beta polypeptide (chronic granulomatous disease), GP91-PHOX	Critical component of the membrane-bound oxidase of phagocytes that generates superoxide.
G12 12	X14356	FCGR1A	1q21.2	0	Fc fragment of IgG, high affinity Ia, CD64	Binds to the Fc region of immunoglobulins gamma.
G12 13	M33882	MX1	21q22.3	0	IFN-regulated resistance GTP-binding protein MXA (IFI-78K); IFN-induced protein P78	Shows activity against influenza virus and vsv, a rhabdovirus.
