CloneID	UnigeneID	AccessionNo.	Gene	TranscriptName	Locus	LocusID	P-value
2306668	Hs.30882	AI650641	ARRDC2	arrestindomaincontaining2	19,p13.11	27106	2.6E-12
1049250	Hs.129794	AA620849	SPATA12	spermatogenesisassociated12	3,p14.3	353324	0.00000057
52616	Hs.122708	H29301	LMTK2	lemurtyrosinekinase2	7,q21.3	22853	0.00000057
141806	Hs.211600	R70479	TNFAIP3	tumornecrosisfactoralpha-inducedprotein3	6,q23.3	7128	0.00000057
770670	Hs.211600	AA433807	TNFAIP3	tumornecrosisfactoralpha-inducedprotein3	6,q23.3	7128	0.00000057
1627937	Hs.184245	AI017101	SHARP	SMART/HDAC1associatedrepressorprotein	1,p36.13	23013	0.00000057
712570	Hs.454832	AA281504	NA	similartoForminbindingprotein2(srGAP2)	NA	391156	0.00000057
50562	Hs.283683	H16793	C8orf4	chromosome8openreadingframe4	8,p11.21	56892	0.00000057
1070346	Hs.107382	AA780809	DHX37	DEAH(Asp-Glu-Ala-His)boxpolypeptide37	NA	57647	0.0000068
310406	Hs.512234	N98591	IL6	interleukin6(interferonbeta2)	7,p15.3	3569	0.0000068
767641	Hs.446179	AA418293	LSM8	LSM8homologU6smallnuclearRNAassociated(S.cerevisiae)	NA	51691	0.0000068
366950	Hs.251754	AA026192	SLPI	secretoryleukocyteproteaseinhibitor(antileukoproteinase)	20,q13.12	6590	0.0000068
69309	Hs.118722	T58619	FUT8	fucosyltransferase8(alpha(16)fucosyltransferase)	14,q23.3	2530	0.0000068
1558642	Hs.297405	AA976544	MLPH	melanophilin	2,q37.3	79083	0.0000068
280989	Hs.101307	N47685	SLC14A1	solutecarrierfamily14(ureatransporter)member1(Kiddbloodgroup)	18,q12.3	6563	0.0000068
1685363	Hs.32973	AI003205	GLRB	glycinereceptorbeta	4,q32.1	2743	0.0000068
915245	Hs.101307	AA578919	SLC14A1	solutecarrierfamily14(ureatransporter)member1(Kiddbloodgroup)	18,q12.3	6563	0.00006
340734	Hs.81328	W55872	NFKBIA	nuclearfactorofkappalightpolypeptidegeneenhancerinB-cellsinhibitoralpha	14,q13.2	4792	0.00006
743054	Hs.511904	AA406081	EIF4A2	eukaryotictranslationinitiationfactor4Aisoform2	3,q27.3	1974	0.00006
161998	Hs.321164	H26181	NPAS2	neuronalPASdomainprotein2	2,q11.2	4862	0.00006
898328	Hs.165263	AA598840	PHC2	polyhomeotic-like2(Drosophila)	1,p35.1	1912	0.00006
153025	Hs.2250	R50018	LIF	leukemiainhibitoryfactor(cholinergicdifferentiationfactor)	22,q12.2	3976	0.00006
143322	Hs.367688	R74357	NA	CloneIMAGE:4794726mRNA	7,p21.1	NA	0.00006
1606557	Hs.8302	AA995282	FHL2	fourandahalfLIMdomains2	2,q12.1	2274	0.00025
810213	Hs.82112	AA464525	IL1R1	interleukin1receptortypeI	2,q11.2	3554	0.00025
471835	Hs.411865	AA035137	IPO4	importin4	14,q11.2	79711	0.00025
753034	Hs.35841	AA436459	NFIX	nuclearfactorI/X(CCAAT-bindingtranscriptionfactor)	19,p13.2	4784	0.00025
1601601	Hs.1349	AA995402	CSF2	colonystimulatingfactor2(granulocyte-macrophage)	5,q23.3	1437	0.00025
753080	Hs.7913	AA436481	Ells1	hypotheticalproteinElls1	7,p15.1	222166	0.00025
308238	Hs.172928	N92415	COL1A1	collagentypeI	NA	1277	0.00025
346861	Hs.64896	W78156	NPL	N-acetylneuraminatepyruvatelyase(dihydrodipicolinatesynthase)	1,q25.3	80896	0.00025
197737	Hs.464971	R93701	PIK3C3	phosphoinositide-3-kinase,class3	18,q12.3	NA	0.00025
48631	Hs.440497	H14383	KCNAB2	potassiumvoltage-gatedchannelshaker-relatedsubfamily	1,p36.31	8514	0.00025
753071	Hs.82101	AA436565	PHLDA1	pleckstrinhomology-likedomainfamilyA	12,q21.2	22822	0.00025
1574206	Hs.124776	AA938345	NA	MRNA;cDNADKFZp564N1116(fromcloneDKFZp564N1116)	5,p13.3	NA	0.00025
753062	Hs.15476	AA436473	DEF6	differentiallyexpressedinFDCP6homolog(mouse)	6,p21.31	50619	0.00025
627939	Hs.83577	AA195959	CSRP3	cysteineandglycine-richprotein3(cardiacLIMprotein)	11,p15.1	8048	0.00087
753973	Hs.86998	AA478950	NFAT5	nuclearfactorofactivatedT-cells5tonicity-responsive	16,q22.1	10725	0.00087
2544061	NA	AW058321	NA	NA	3,p22.3	NA	0.00087
487794	Hs.24192	AA043349	SYNPO2	synaptopodin2	4,q26	171024	0.00087
2027488	Hs.440835	AI356319	SF1	splicingfactor1	11,q13.1	7536	0.00087
121637	Hs.288300	T97554	FLJ23231	hypotheticalproteinFLJ23231	1,p34.3	80149	0.00087
297392	Hs.374950	N80129	MT1X	metallothionein1X	16,q12.2	4501	0.00087
120480	Hs.17551	T95297	MSF	MLLseptin-likefusion	17,q25.3	NA	0.00087
111437	Hs.15200	T83209	LOC64744	hypotheticalproteinAL133206	1,p34.2	NA	0.00087
788285	Hs.211202	AA450009	EDNRA	endothelinreceptortypeA	4,q31.22	1909	0.00087
1207263	Hs.291277	AA657881	MGC17330	HGFLgene	22,q12.2	NA	0.00087
78353	Hs.438737	T56221	MT1F	metallothionein1F(functional)	16,q12.2	4494	0.00087
