GenBank accession	Gene symbol	Chromosomal location	Fold change
M83248	SPP1	10.08	4q21-q25
NM_005101	G1P2	4.64	1p36.33
NM_021105	PLSCR1	3.86	3q23
NM_018098	ECT2	3.71	3q26.1-q26.2
NM_000935	PLOD2	3.71	3q23-q24
NM_005531	IFI16	3.17	1q22
NM_016448	RAMP	3.1	1
NM_001034	RRM2	2.89	2p25-p24
NM_002800	PSMB9	2.85	6p21.3
NM_005844	HCG9	-2.03	6p21.3
BF973387	ESTs	-2.08
BE563442	IL1RN	-2.11	2q14.2
NM_005046	KLK7	-2.12	19q13.41
NM_000114	EDN3	-2.19	20q13.2-q13.3
NM_007196	KLK8	-2.38	19q13.3-q13.4
BC002710	KLK10	-2.41	19q13.3-q13.4
AA181179	CAMKK2	-2.43	12q24.2
NM_006853	KLK11	-2.5	19q13.3-q13.4
AA292789	FLJ11029	-2.5	17q23.2
NM_004605	SULT2B1	-2.52	19q13.3
NM_024046	MGC8407	-2.55	3p21.31
NM_006393	NEBL	-2.56	10p12
AV724216	NDRG4	-2.57	16q21-q22.1
AF062006	LGR5	-2.58	12q22-q23
NM_016433	GLTP	-2.59	12q24.11
AF133207	HSPB8	-2.61	12q24.23
AL049698	MLLT4	-2.62	6q27
U92457	GRM4	-2.67	6p21.3
AF007162	CRYAB	-2.7	11q22.3-q23.1
AF124790	ESR2	-2.71	14q
NM_003113	SP100	-2.77	2q37.1
NM_002705	PPL	-2.87	16p13.3
NM_005975	PTK6	-2.9	20q13.3
NM_003986	BBOX1	-3.04	11p14.2
NM_001557	IL8RB	-3.05	2q35
NM_023067	FOXL2	-3.06	3q23
NM_007268	VSIG4	-3.1	Xq12-q13.3
U24056	KCNJ4	-3.1	22q13.1
NM_004262	HAT	-3.17	4q13.2
U79275	HSU79275	-3.18	12q13.1
NM_016321	RHCG	-3.19	15q25
NM_001423	EMP1	-3.19	12p12.3
NM_016610	TLR8	-3.21	Xp22
X05421	KRT3	-3.22	12q12-q13
S76346	RUNX1	-3.29	21q22.3
NM_014456	PDCD4	-3.31	10q24
NM_006079	CITED2	-3.33	6q23.3
BC000059	CELSR1	-3.35	22q13.3
NM_024508	ZBED2	-3.43	3q13.13
AI923984	SPRR1A	-3.44	1q21-q22
NM_005416	SPRR3	-3.48	1q21-q22
NM_014058	DESC1	-3.58	4q13.2
AA548647	UPK1A	-3.68	19q13.13
AI770004	EPB41L3	-3.73	18p11.32
NM_030819	MGC11335	-3.8	16q22.1
NM_006945	SPRR2B	-3.86	1q21-q22
X07695	KRT4	-3.94	12q12-q13
AL049699	ME1	-3.95	6q12
NM_006518	SPRR2C	-4	1q21-q22
NM_002084	GPX3	-4.16	5q23
NM_024888	FLJ11535	-4.32	19p13.3
NM_001432	EREG	-4.49	4q13.3
NM_002771	PRSS3	-4.53	9p11.2
AF009664	PRSS2	-4.53	7q34
NM_001785	CDA	-4.56	1p36.2-p35
U63296	HPGD	-5.03	4q34-q35
NM_019598	KLK12	-5.1	19q13.3-q13.4
NM_003843	SCEL	-5.13	13q22
NM_025087	FLJ21511	-5.28	4p12-p11
NM_003245	TGM3	-5.36	20q11.2
NM_006846	SPINK5	-5.59	5q32
S70004	GYS2	-5.8	12p12.2
NM_001942	DSG1	-6.24	18q12.1
NM_015596	KLK13	-6.38	19q13.3-q13.4
NM_006025	P11	-6.45	12q13.1
N26005	PPP1R3C	-6.93	10q23-q24
NM_006121	KRT1	-6.96	12q12-q13
NM_004669	CLIC3	-7.69	9q34.3
BF671400	ESTs	-7.77
NM_019060	C1orf42	-9.08	1q21
AB059408	HOP	-9.27	4q11-q12
NM_020427	SLURP1	-11.36	8q24.3
NM_016190	C1orf10	-14.92	1q21
NM_006061	CRISP3	-38.61	6p12.3
