Protein/gene	Accession number	Average	Function
Desmocollin-3A/3B precursor (DSC3) + desmocollin-4 (DSC4)	X83929 + D17427	3.3+/-0.64	Cell adhesion receptor proteins
DNA-binding protein CPBP	U44975	3.3+/-0.96	DNA binding and chromatin proteins
Chromatin assembly factor 1 p48 subunit (CAF-1 p48 subunit), retinoblastoma-binding protein 4 (RBBP-4), RBAP-48, msi-1 protein homolog	X74262	4.2+/-0.22	DNA binding and chromatin proteins
IFN-inducible RNA-dependent protein kinase (p68 kinase)	M35663, U50648	3.6+/-0.64	Apoptosis-associated genes
KIAA0078, RAD-21	D38551	4.1+/-0.27	DNA synthesis, recombination and repair
ras-related C3 botulinum toxin substrate 1, p21-rac1, ras-like protein TC-25	M29870, M31467	3.1+/-0.52	Intracellular transducers/effectors/modulators
CDC-42 homolog, G25K GTP-binding protein (brain isoform + placental isoform)	M35543 + M57298	3.1+/-0.37	Intracellular transducers/effectors/modulators
KIAA0175	D79997	2.8+/-0.35	Intracellular transducers/effectors/modulators
PTPCAAX1 nuclear tyrosine phosphatase (PRL-1)	U48296	3.0+/-0.32	Cell cycle
CDC-10 protein homolog	S72008	3.0+/-0.57	Cell cycle
Cell division control protein 2 homolog (CDC2), p34 protein kinase, CDK1	X05360	3.8+/-1.31	Cell cycle
MCM-4 DNA replication licensing factor, CDC21 homolog	X74794	3.5+/-0.30	Cell cycle
G1 to S-phase transition protein 1 homolog, GTP-binding protein GST1-HS	X17644	2.3+/-0.34	Cell cycle
G2/mitosis-specific cyclin B1 (CCNB1)	M25753	2.3+/-0.36	Cell cycle
G2/mitosis-specific cyclin G1 (CCNG1, CYCG1)	U47413	2.6+/-0.70	Cell cycle
L-Lactate dehydrogenase H subunit (LDHB)	Y00711	2.7+/-0.13	Metabolism
