UniGene ID	Gene name	Symbol	GISTs with KIT mutation	GISTs with PDGFRA mutation†	p value	Function
Hs.162	insulin-like growth factor binding protein 2 (36kD)	IGFBP2	0.28	2.1	0.007	signal transduction
Hs.2962	S100 calcium binding protein P	S100P	0.48	0.19	0.007	signal transduction
Hs.283016	phosphodiesterase 7B	PDE7B	1.03	2.29	0.008	signal transduction
Hs.89605	cholinergic receptor, nicotinic, alpha polypeptide 3	CHRNA3	1.23	3.8	0.007	signal transduction
Hs.203238	phosphodiesterase 1B, calmodulin-dependent	PDE1B	1.23	8.14	0.007	signal transduction
Hs.2488	lymphocyte cytosolic protein 2 (SH2 domain-containing leukocyte protein of 76kD)	LCP2	1.3	2.63	0.008	signal transduction
Hs.1516	insulin-like growth factor binding protein 4	IGFBP4	1.45	6.06	0.007	signal transduction
Hs.234249	mitogen-activated protein kinase 8 interacting protein 1	MAPK8IP1	1.47	3.99	0.007	signal transduction
Hs.182416	ankyrin repeat and SOCS box-containing 2	ASB2	1.68	13.89	0.007	signal transduction
Hs.12337	kinase insert domain receptor (a type III receptor tyrosine kinase)	KDR	1.81	4.5	0.009	signal transduction
Hs.149957	ribosomal protein S6 kinase, 90kD, polypeptide 1	RPS6KA1	1.83	0.81	0.007	signal transduction
Hs.78877	inositol 1,4,5-trisphosphate 3-kinase B	ITPKB	2.22	7.12	0.007	signal transduction
Hs.74615	platelet-derived growth factor receptor, alpha polypeptide	PDGFRA	4.46	22.39	0.007	signal transduction
Hs.76391	myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)	MX1	5.01	19.35	0.007	signal transduction
Hs.292707	S100 calcium binding protein A1	S100A1	12.44	3.2	0.007	signal transduction
Hs.12246	reelin	RELN	0.32	2.58	0.007	development
Hs.8025	angiopoietin-like 2	ANGPTL2	1.24	5.41	0.007	development
Hs.200594	KIAA0605 gene product	KIAA0605	3.01	14.3	0.007	development
Hs.38260	ubiquitin specific protease 18	USP18	0.79	2.41	0.008	protein metabolism
Hs.833	interferon-stimulated protein, 15 kDa	ISG15	1.07	14.33	0.007	protein metabolism
Hs.334691	splicing factor 3a, subunit 1, 120kD	SF3A1	1.08	2.56	0.007	protein metabolism
Hs.334873	carboxypeptidase M	CPM	1.3	2.83	0.007	protein metabolism
Hs.105468	hypothetical protein FLJ22690	FLJ22690	2.1	5.81	0.008	protein metabolism
Hs.169756	complement component 1, s subcomponent	C1S	3.41	12.28	0.007	protein metabolism
Hs.289114	hexabrachion (tenascin C, cytotactin)	HXB	0.15	1.12	< 0.01	cell adhesion
Hs.74583	KIAA0275 gene product	KIAA0275	1.13	3.59	0.009	cell adhesion
